# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 117.837 88.5689 344.29 19.2775 160.907 312.106 17.802
# goal = displacement(m,base) 1.57655e-06 -1.44397e-05 -4.57607e-05 orientation held
# duration_s = 8
# timesteps = 10
# final_error = 1.676010831e-09
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 1.223520691e-06 -1.452274764e-05 -4.558442861e-05 (norm 4.785757342e-05)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0.026,117.8370001,88.56889967,-15.71000004,19.27750055,160.907,-47.8939998,17.80200006,6.231900515e-06,-2.566018135e-05,-2.889685149e-06,4.224589425e-05,-8.845061375e-07,1.55734323e-05,4.698382981e-06
0.027,117.8370001,88.56889964,-15.71000004,19.27750059,160.907,-47.89399978,17.80200007,6.470768196e-06,-2.66437317e-05,-3.000446285e-06,4.386517213e-05,-9.184091075e-07,1.617035928e-05,4.878471196e-06
0.028,117.8370001,88.56889961,-15.71000004,19.27750064,160.907,-47.89399976,17.80200007,6.709575749e-06,-2.762703452e-05,-3.111179547e-06,4.54840425e-05,-9.523035472e-07,1.676713604e-05,5.058514085e-06
0.029,117.8370001,88.56889958,-15.71000005,19.27750068,160.907,-47.89399975,17.80200008,6.948323202e-06,-2.861008982e-05,-3.221884934e-06,4.710250534e-05,-9.861894439e-07,1.736376258e-05,5.238511654e-06
0.03,117.8370001,88.56889956,-15.71000005,19.27750073,160.907,-47.89399973,17.80200008,7.187010536e-06,-2.959289759e-05,-3.332562444e-06,4.872056066e-05,-1.020066817e-06,1.796023889e-05,5.418463902e-06
0.031,117.8370001,88.56889953,-15.71000005,19.27750078,160.907,-47.89399971,17.80200009,7.425637752e-06,-3.057545783e-05,-3.44321208e-06,5.033820846e-05,-1.053935653e-06,1.855656497e-05,5.598370827e-06
0.032,117.8370001,88.56889949,-15.71000006,19.27750083,160.907,-47.89399969,17.80200009,7.664204854e-06,-3.155777053e-05,-3.553833843e-06,5.195544875e-05,-1.087795965e-06,1.915274082e-05,5.778232429e-06
0.033,117.8370001,88.56889946,-15.71000006,19.27750089,160.907,-47.89399967,17.8020001,7.902711838e-06,-3.253983572e-05,-3.664427729e-06,5.357228151e-05,-1.121647735e-06,1.974876645e-05,5.958048709e-06
0.034,117.8370001,88.56889943,-15.71000006,19.27750094,160.907,-47.89399965,17.8020001,8.14115871e-06,-3.352165338e-05,-3.77499374e-06,5.518870676e-05,-1.155490974e-06,2.034464185e-05,6.137819667e-06
0.035,117.8370001,88.5688994,-15.71000007,19.277501,160.907,-47.89399963,17.80200011,8.379545469e-06,-3.450322351e-05,-3.885531877e-06,5.680472449e-05,-1.189325689e-06,2.094036702e-05,6.317545302e-06
0.036,117.8370002,88.56889936,-15.71000007,19.27750105,160.907,-47.89399961,17.80200012,8.617872109e-06,-3.548454611e-05,-3.996042138e-06,5.842033469e-05,-1.223151874e-06,2.153594196e-05,6.497225615e-06
0.037,117.8370002,88.56889932,-15.71000008,19.27750111,160.907,-47.89399959,17.80200012,8.856138637e-06,-3.646562119e-05,-4.106524524e-06,6.003553738e-05,-1.25696951e-06,2.213136669e-05,6.676860605e-06
0.038,117.8370002,88.56889929,-15.71000008,19.27750117,160.907,-47.89399957,17.80200013,9.094345045e-06,-3.744644874e-05,-4.216979037e-06,6.165033255e-05,-1.290778628e-06,2.272664118e-05,6.856450274e-06
0.039,117.8370002,88.56889925,-15.71000008,19.27750124,160.907,-47.89399954,17.80200014,9.332491342e-06,-3.842702876e-05,-4.327405673e-06,6.32647202e-05,-1.32457921e-06,2.332176544e-05,7.035994619e-06
0.04,117.8370002,88.56889921,-15.71000009,19.2775013,160.907,-47.89399952,17.80200014,9.570577526e-06,-3.940736125e-05,-4.437804435e-06,6.487870033e-05,-1.358371267e-06,2.391673948e-05,7.215493644e-06
0.041,117.8370002,88.56889917,-15.71000009,19.27750137,160.907,-47.8939995,17.80200015,9.808603591e-06,-4.038744623e-05,-4.548175321e-06,6.649227294e-05,-1.392154788e-06,2.451156329e-05,7.394947345e-06
0.042,117.8370002,88.56889913,-15.7100001,19.27750143,160.907,-47.89399947,17.80200016,1.004656954e-05,-4.136728365e-05,-4.658518334e-06,6.810543803e-05,-1.42592976e-06,2.510623687e-05,7.574355724e-06
0.043,117.8370002,88.56889909,-15.7100001,19.2775015,160.907,-47.89399945,17.80200017,1.028447538e-05,-4.234687357e-05,-4.76883347e-06,6.971819561e-05,-1.459696221e-06,2.570076023e-05,7.75371878e-06
0.044,117.8370002,88.56889904,-15.71000011,19.27750157,160.907,-47.89399942,17.80200017,1.052232109e-05,-4.332621595e-05,-4.879120732e-06,7.133054566e-05,-1.493454132e-06,2.629513336e-05,7.933036516e-06
0.045,117.8370002,88.568899,-15.71000011,19.27750164,160.907,-47.89399939,17.80200018,1.07601067e-05,-4.430531081e-05,-4.989380119e-06,7.294248819e-05,-1.527203532e-06,2.688935626e-05,8.112308927e-06
0.046,117.8370003,88.56889896,-15.71000012,19.27750172,160.907,-47.89399937,17.80200019,1.099783219e-05,-4.528415814e-05,-5.099611631e-06,7.455402321e-05,-1.56094437e-06,2.748342894e-05,8.291536017e-06
0.047,117.8370003,88.56889891,-15.71000012,19.27750179,160.907,-47.89399934,17.8020002,1.123549756e-05,-4.626275793e-05,-5.209815268e-06,7.61651507e-05,-1.594676697e-06,2.807735139e-05,8.470717785e-06
0.048,117.8370003,88.56889886,-15.71000013,19.27750187,160.907,-47.89399931,17.80200021,1.147310283e-05,-4.72411102e-05,-5.319991031e-06,7.777587068e-05,-1.628400487e-06,2.867112361e-05,8.649854229e-06
