# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 0 15 180 230 0 55 90
# goal = joints(deg) 0 15 180 234 0 59 90
# duration_s = 10
# timesteps = 10
# final_error = 5.845072818e-05
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 0.015012273 2.352699058e-09 -0.04904647973 (norm 0.05129254833)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0.025,-9.865711187e-07,14.99999991,180.0000012,-129.9999251,1.381971786e-07,55.00007481,89.9999996,-7.884401643e-05,-7.300064235e-06,9.509991577e-05,0.005984527665,1.104433367e-05,0.005978623682,-3.186701597e-05
0.026,-1.066987895e-06,14.9999999,180.0000013,-129.999919,1.494618217e-07,55.00008091,89.99999957,-8.198943063e-05,-7.591294017e-06,9.889384508e-05,0.006223275247,1.148493785e-05,0.00621713573,-3.313832315e-05
0.027,-1.150549769e-06,14.99999989,180.0000014,-129.9999127,1.611670248e-07,55.00008724,89.99999953,-8.513421252e-05,-7.882465254e-06,0.0001026870117,0.006461974835,1.192545347e-05,0.00645559983,-3.440937477e-05
0.028,-1.237256109e-06,14.99999989,180.0000015,-129.9999061,1.733126991e-07,55.00009382,89.9999995,-8.82783621e-05,-8.173577946e-06,0.0001064794157,0.006700626428,1.236588051e-05,0.006694015984,-3.568017082e-05
0.029,-1.327106283e-06,14.99999988,180.0000016,-129.9998993,1.858987563e-07,55.00010063,89.99999946,-9.142187937e-05,-8.464632095e-06,0.000110271057,0.006939230027,1.280621899e-05,0.006932384191,-3.695071131e-05
0.03,-1.420099657e-06,14.99999987,180.0000017,-129.9998922,1.989251076e-07,55.00010768,89.99999943,-9.456476434e-05,-8.755627698e-06,0.0001140619356,0.007177785632,1.324646888e-05,0.007170704451,-3.822099624e-05
0.031,-1.5162356e-06,14.99999986,180.0000018,-129.9998849,2.123916645e-07,55.00011497,89.99999939,-9.7707017e-05,-9.046564757e-06,0.0001178520515,0.007416293243,1.368663021e-05,0.007408976764,-3.949102559e-05
0.032,-1.61551348e-06,14.99999985,180.0000019,-129.9998774,2.262983385e-07,55.0001225,89.99999935,-0.0001008486373,-9.337443271e-06,0.0001216414048,0.007654752859,1.412670296e-05,0.00764720113,-4.076079939e-05
0.033,-1.717932664e-06,14.99999984,180.0000021,-129.9998696,2.406450409e-07,55.00013027,89.99999931,-0.0001039896254,-9.628263241e-06,0.0001254299954,0.007893164481,1.456668714e-05,0.007885377549,-4.203031762e-05
0.034,-1.82349252e-06,14.99999983,180.0000022,-129.9998616,2.554316833e-07,55.00013827,89.99999926,-0.0001071299811,-9.919024666e-06,0.0001292178233,0.008131528109,1.500658275e-05,0.008123506021,-4.329958029e-05
0.035,-1.932192416e-06,14.99999982,180.0000023,-129.9998533,2.706581769e-07,55.00014652,89.99999922,-0.0001102697046,-1.020972755e-05,0.0001330048885,0.008369843742,1.544638979e-05,0.008361586546,-4.456858738e-05
