frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,dq_cur_left_0,dq_cur_left_1,dq_cur_left_2,dq_cur_left_3,dq_cur_left_4,dq_cur_left_5,dq_cur_left_6,dq_cur_right_0,dq_cur_right_1,dq_cur_right_2,dq_cur_right_3,dq_cur_right_4,dq_cur_right_5,dq_cur_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,left_fplate_x,left_fplate_y,left_fplate_z,right_fplate_x,right_fplate_y,right_fplate_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx,sub_action_idx
1893529,-89.9901,90.0015,-14.9917,44.9899,5.0034,4.99012,-175.001,89.985,90.0056,15.0016,44.9924,4.99964,4.99489,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,-0.000303151,0,0,0,0,0,0.000607678,0.000759597,0.000303836,0.000303839,0,0,0,5.40151,-0.0203178,1.82448,-6.65548,-0.600349,-2.07889,0.113301,-5.04133,2.93454,-1.98859,-6.07632,-1.29282,-1.56474,-0.574506,0.0260359,-0.621777,1.51062,1.84639,0.227922,-1.72062,-0.060569,-0.609149,1.51494,-1.93697,0.192739,-1.75611,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.714392,-0.878684,1.17098,0.215385,-1.03362,0.864767,0,0,0,0,0,0,0,0,0,0,0,0,-0.199609,-1.03731,1.66841,-40.9824,-12.8552,-558.528,45.5641,-4.25979,-458.767,-172.86,-534.174,1573.8,-161.333,-569.999,1614.99,-195.015,-549.169,1519.61,160.459,-588.706,1560.02,147.531,-606.849,1591.98,171.834,-603.327,1508.31,-286.904,-384.866,776.992,-261.162,-336.742,803.542,-208.971,-373.103,825.239,-278.54,-346.316,840.559,161.664,-465.946,809.87,206.119,-427.957,802.276,239.558,-475.76,757.304,257.353,-490.457,785.83,-782.329,-713.007,1293.03,0,0,0,-738.241,-713.412,1270.86,-796.025,870.561,1279.35,-769.104,869.846,1246.97,-749.554,871.735,1292.71,-792.632,-354.788,1273.26,-747.965,-354.205,1253.81,-756.25,-352.999,1297.3,0.370905,-1.32903,1.70687,1,0
1893530,-89.9901,90.0015,-14.9917,44.9899,5.0034,4.99012,-175.001,89.985,90.0056,15.0016,44.9924,4.99964,4.99489,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,-0.000303609,0,0,0,0,0.000606307,0.000607218,0.000912198,0.000303839,0,0,0,0,5.44719,-0.00318353,1.81108,-6.64721,-0.580379,-2.06096,0.125163,-5.01848,2.911,-1.99877,-6.06568,-1.26186,-1.55257,-0.58666,0.0260341,-0.621792,1.51061,1.8465,0.227309,-1.7211,-0.0603893,-0.607982,1.51448,-1.93871,0.200475,-1.75448,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.715328,-0.878571,1.17192,0.214939,-1.03414,0.864878,0,0,0,0,0,0,0,0,0,0,0,0,-0.199985,-1.03734,1.6683,-41.1319,-13.2975,-558.493,45.8678,-3.35134,-459.363,-172.836,-533.829,1573.93,-161.259,-569.78,1614.7,-195.034,-548.626,1519.53,160.482,-588.701,1559.99,147.546,-606.804,1591.97,171.856,-603.327,1508.3,-286.733,-384.84,776.875,-260.983,-336.722,803.44,-208.752,-373.162,825.09,-278.366,-346.286,840.448,161.866,-466.106,809.795,206.296,-428.104,802.243,239.725,-475.9,757.323,257.513,-490.646,785.794,-782.312,-713.04,1293.06,0,0,0,-738.269,-713.396,1270.77,-796.009,870.542,1279.38,-769.164,869.827,1246.93,-749.521,871.694,1292.67,-792.697,-354.812,1273.38,-748.05,-354.206,1253.84,-756.248,-353.025,1297.34,0.370912,-1.32904,1.70687,1,0
1893531,-89.9899,90.0015,-14.9916,44.9898,5.0034,4.99006,-175.001,89.9847,90.0058,15.0016,44.9919,4.99964,4.99478,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00151577,0,0.000607678,-0.00106183,0,-0.000607218,0.000606301,-0.00303609,0.00334223,0.000303839,-0.00440566,0,-0.00106103,0,5.43701,-0.0597705,1.81905,-6.62338,-0.619909,-2.05604,0.116205,-5.03755,2.93667,-1.97291,-6.06739,-1.28358,-1.55885,-0.592566,0.026074,-0.621792,1.51058,1.84657,0.2274,-1.72075,-0.060442,-0.607799,1.51435,-1.93902,0.201924,-1.75687,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.716237,-0.878458,1.17283,0.214504,-1.03464,0.864986,0,0,0,0,0,0,0,0,0,0,0,0,-0.200358,-1.03736,1.66819,-42.0239,-13.6213,-558.517,45.5963,-3.49356,-457.254,-172.755,-533.693,1573.88,-161.293,-569.757,1614.51,-195.001,-548.497,1519.46,160.508,-588.654,1559.98,147.578,-606.758,1591.95,171.89,-603.262,1508.29,-286.558,-384.808,776.775,-260.824,-336.683,803.361,-208.583,-373.094,825.009,-278.196,-346.23,840.362,162.022,-466.222,809.798,206.453,-428.241,802.184,239.863,-476.007,757.303,257.761,-490.867,785.762,-782.342,-713.02,1293.08,0,0,0,-738.313,-713.446,1270.79,-795.99,870.511,1279.4,-769.119,869.768,1246.89,-749.371,871.666,1292.69,-793.088,-353.641,1273.09,-748.156,-354.197,1253.84,-756.284,-353.026,1297.37,0.370908,-1.32904,1.70687,1,0
1893532,-89.9899,90.0015,-14.9916,44.9898,5.0034,4.99001,-175.001,89.9847,90.0058,15.0016,44.9919,4.99964,4.99461,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00151461,0,0.000607678,-0.00106184,0,-0.00106184,0.000606307,-0.0033397,0.00334223,0,-0.0047095,0,-0.00273045,0,5.44345,-0.100555,1.77405,-6.6319,-0.590211,-2.04215,0.121132,-5.05355,2.89409,-1.96941,-6.05795,-1.26348,-1.54407,-0.589237,0.0260885,-0.621744,1.51052,1.84679,0.227296,-1.72145,-0.0601378,-0.607268,1.51466,-1.93778,0.1992,-1.75439,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.717121,-0.878346,1.1737,0.21408,-1.03511,0.865089,0,0,0,0,0,0,0,0,0,0,0,0,-0.200726,-1.03738,1.66809,-41.7267,-12.9758,-557.753,44.2287,-4.60543,-458.74,-172.712,-533.534,1573.83,-161.237,-569.575,1614.5,-194.912,-548.753,1519.44,160.548,-588.632,1559.96,147.611,-606.682,1591.92,171.937,-603.222,1508.28,-286.393,-384.768,776.695,-260.677,-336.637,803.282,-208.428,-373.081,824.913,-278.045,-346.188,840.264,162.145,-466.316,809.766,206.612,-428.368,802.148,239.982,-476.117,757.276,257.883,-491.04,785.706,-782.391,-713.044,1293.11,0,0,0,-738.568,-713.555,1270.51,-796.007,870.516,1279.43,-769.19,869.769,1246.89,-749.845,871.428,1292.24,-792.826,-354.812,1273.52,-748.218,-354.222,1253.9,-756.32,-353.056,1297.43,0.370913,-1.32904,1.70687,1,0
1893533,-89.9899,90.0015,-14.9916,44.9897,5.0034,4.98995,-175.001,89.9847,90.0059,15.0016,44.9919,4.99964,4.99445,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.0018189,0,0.000607678,-0.0015169,0,-0.00166733,0,-0.00364327,0.00364331,0,-0.0047095,0,-0.00439569,0,5.4086,-0.182703,1.79458,-6.64542,-0.591936,-2.05961,0.113624,-5.04891,2.89129,-1.98154,-6.07855,-1.26471,-1.56181,-0.552213,0.0261274,-0.621684,1.51048,1.8467,0.227539,-1.72202,-0.0606586,-0.608519,1.51411,-1.93965,0.198031,-1.75956,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.717978,-0.878235,1.17453,0.213668,-1.03556,0.865188,0,0,0,0,0,0,0,0,0,0,0,0,-0.201089,-1.03741,1.668,-42.9377,-13.2939,-557.77,44.523,-3.37733,-459.195,-172.641,-533.585,1573.57,-161.173,-569.426,1614.41,-194.897,-548.162,1519.4,160.618,-588.59,1559.94,147.668,-606.641,1591.91,172.001,-603.113,1508.28,-286.254,-384.75,776.609,-260.519,-336.619,803.184,-208.301,-373.072,824.833,-277.89,-346.16,840.185,162.256,-466.452,809.707,206.748,-428.506,802.084,240.124,-476.242,757.244,258.057,-491.2,785.667,-782.411,-713.058,1293.11,0,0,0,-738.404,-713.434,1270.68,-795.988,870.517,1279.44,-769.163,869.738,1246.9,-749.866,871.4,1292.21,-793.189,-353.663,1273.19,-748.26,-354.21,1253.92,-756.332,-353.079,1297.44,0.370921,-1.32904,1.70686,1,0
1893534,-89.9899,90.0015,-14.9916,44.9897,5.0034,4.98995,-175.001,89.9847,90.0059,15.0016,44.9919,4.99964,4.99423,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.0018189,0,0.000607678,-0.0015169,0,-0.00166733,0,-0.00394692,0.00394991,0,-0.00500199,0,-0.00652273,0,5.4086,-0.182703,1.79458,-6.64542,-0.591936,-2.05961,0.113624,-5.07502,2.88056,-1.97587,-6.06074,-1.2733,-1.53985,-0.579196,0.0261274,-0.621684,1.51048,1.8467,0.227539,-1.72202,-0.0606586,-0.608519,1.51411,-1.93965,0.198031,-1.75956,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.717978,-0.878235,1.17453,0.213668,-1.03556,0.865188,0,0,0,0,0,0,0,0,0,0,0,0,-0.201089,-1.03741,1.668,-42.9377,-13.2939,-557.77,44.523,-3.37733,-459.195,-172.557,-533.412,1573.54,-161.133,-569.254,1614.33,-194.823,-547.989,1519.36,160.683,-588.527,1559.9,147.736,-606.571,1591.9,172.071,-603.048,1508.24,-286.126,-384.705,776.548,-260.358,-336.586,803.085,-208.169,-373.089,824.75,-277.725,-346.102,840.1,162.375,-466.573,809.684,206.894,-428.617,802.027,240.277,-476.376,757.223,258.174,-491.342,785.63,-782.435,-713.078,1293.11,0,0,0,-738.454,-713.439,1270.67,-795.993,870.521,1279.44,-769.191,869.745,1246.88,-749.847,871.417,1292.22,-793.199,-353.647,1273.2,-748.267,-354.237,1253.93,-756.339,-353.073,1297.47,0.370921,-1.32904,1.70686,1,0
1893535,-89.9899,90.0015,-14.9916,44.9897,5.0034,4.98973,-175.001,89.9846,90.0059,15.0016,44.9919,4.99964,4.99401,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.0018203,-0.000303839,0.000911517,-0.00182028,0,-0.00379225,0.000607218,-0.00425053,0.00334219,0,-0.00515746,0,-0.00865286,0,5.38084,-0.277864,1.78672,-6.71728,-0.599574,-2.07911,0.114755,-5.08879,2.84086,-2.00217,-6.07912,-1.25486,-1.54163,-0.578178,0.0262768,-0.621513,1.51052,1.84692,0.225362,-1.72219,-0.0604951,-0.608176,1.51406,-1.93951,0.197869,-1.75951,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.719619,-0.878016,1.17608,0.212883,-1.03638,0.865371,0,0,0,0,0,0,0,0,0,0,0,0,-0.201801,-1.03744,1.66781,-40.832,-13.4393,-557.902,43.3144,-3.52921,-458.737,-172.488,-533.247,1573.49,-161.027,-569.067,1614.32,-194.738,-547.842,1519.32,160.76,-588.472,1559.86,147.805,-606.482,1591.87,172.124,-603.215,1508.19,-285.985,-384.682,776.466,-260.207,-336.564,803.003,-208.018,-373.063,824.677,-277.592,-346.037,840.02,162.443,-466.674,809.657,207.014,-428.724,801.965,240.394,-476.494,757.165,258.269,-491.435,785.608,-782.45,-713.071,1293.13,0,0,0,-738.469,-713.43,1270.72,-796.005,870.521,1279.46,-769.188,869.733,1246.89,-749.898,871.443,1292.17,-793.192,-353.638,1273.19,-748.263,-354.209,1253.9,-756.326,-353.074,1297.44,0.370921,-1.32903,1.70686,1,0
1893536,-89.9899,90.0015,-14.9916,44.9897,5.0034,4.98957,-175.001,89.9846,90.0059,15.0016,44.9919,4.99964,4.99385,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.0018203,-0.000303836,0.000909452,-0.00212687,0,-0.00546084,0,-0.00425374,0.00333466,0,-0.00515746,0,-0.0103227,0,5.35441,-0.361008,1.78498,-6.70536,-0.600508,-2.07451,0.108185,-5.07928,2.89333,-2.02581,-6.07265,-1.26473,-1.55001,-0.568833,0.0262768,-0.621513,1.51052,1.84692,0.225362,-1.72219,-0.0604951,-0.608176,1.51406,-1.93951,0.197869,-1.75951,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.719619,-0.878016,1.17608,0.212883,-1.03638,0.865371,0,0,0,0,0,0,0,0,0,0,0,0,-0.201801,-1.03744,1.66781,-40.832,-13.4393,-557.902,43.3144,-3.52921,-458.737,-172.382,-533.068,1573.44,-160.968,-568.863,1614.25,-194.704,-547.72,1519.49,160.826,-588.409,1559.81,147.894,-606.41,1591.82,172.207,-603.135,1508.15,-285.861,-384.65,776.39,-260.049,-336.56,802.918,-207.879,-373.037,824.586,-277.462,-345.984,839.951,162.525,-466.678,809.577,207.128,-428.831,801.888,240.487,-476.621,757.072,258.329,-491.531,785.532,-782.406,-713.081,1293.13,0,0,0,-738.47,-713.428,1270.69,-796.021,870.561,1279.47,-769.373,869.893,1247.04,-749.773,871.474,1292.22,-793.203,-353.584,1273.14,-748.236,-354.214,1253.87,-756.284,-353.044,1297.4,0.370921,-1.32903,1.70686,1,0
1893537,-89.9899,90.0015,-14.9916,44.9896,5.0034,4.98946,-175.001,89.9846,90.0059,15.0016,44.9918,4.99964,4.99374,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00182028,-0.000303609,0.000910148,-0.00243071,0,-0.00651781,0,-0.00439573,0.00333721,0,-0.00545677,0,-0.0113852,0,5.35305,-0.308115,1.75737,-6.72774,-0.595938,-2.09003,0.136409,-5.08206,2.90162,-2.02758,-6.05098,-1.26441,-1.5529,-0.56964,0.0264529,-0.621466,1.51045,1.84685,0.224707,-1.72202,-0.0603949,-0.60798,1.51398,-1.93961,0.197563,-1.76127,-0.760642,0.0785092,1.25966,-0.00353893,0.999993,0.00119015,-0.72116,-0.877803,1.17749,0.212152,-1.0371,0.865532,0,0,0,0,0,0,0,0,0,0,0,0,-0.202494,-1.03748,1.66764,-42.4984,-12.8077,-556.578,45.4421,-5.03656,-457.713,-172.254,-532.867,1573.4,-160.852,-568.688,1614.23,-194.548,-547.474,1519.22,160.944,-588.334,1559.75,147.994,-606.328,1591.78,172.304,-603.076,1508.1,-285.728,-384.597,776.324,-259.902,-336.51,802.844,-207.717,-373.063,824.489,-277.326,-345.93,839.871,163.946,-467.175,808.663,207.235,-428.932,801.777,240.597,-476.762,756.985,258.414,-491.601,785.517,-782.35,-713.05,1293.15,0,0,0,-738.453,-713.359,1270.67,-795.985,870.588,1279.48,-769.3,869.872,1246.94,-749.804,871.497,1292.15,-793.213,-353.433,1273.12,-748.241,-354.166,1253.81,-756.22,-353.009,1297.34,0.37097,-1.32903,1.70693,1,0
1893538,-89.9899,90.0015,-14.9916,44.9896,5.00346,4.9893,-175.001,89.9846,90.0059,15.0016,44.9918,4.99964,4.99358,4.99714,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00182165,-0.000303609,0.000909452,-0.00258068,0.000606301,-0.00819125,0,-0.00485041,0.00303151,0,-0.00637098,0,-0.0130651,0,5.32782,-0.274693,1.7443,-6.71359,-0.585197,-2.06305,0.115021,-5.10706,2.90109,-2.01794,-6.07731,-1.2505,-1.55725,-0.589884,0.0265624,-0.621278,1.51045,1.84648,0.225043,-1.72214,-0.0605047,-0.608498,1.5141,-1.94069,0.191093,-1.76231,-0.760304,0.0784235,1.26026,-0.00379326,0.999992,0.000872307,-0.721891,-0.877704,1.17814,0.211807,-1.03742,0.865603,0,0,0,0,0,0,0,0,0,0,0,0,-0.202834,-1.0375,1.66756,-41.552,-12.2167,-558.79,45.7132,-4.60705,-460.104,-172.118,-532.676,1573.36,-160.616,-568.236,1614.48,-194.485,-547.345,1519.41,161.058,-588.246,1559.71,148.121,-606.254,1591.72,172.393,-603,1508.06,-285.621,-384.537,776.268,-259.782,-336.464,802.751,-207.616,-373.013,824.446,-277.212,-345.868,839.791,163.989,-467.212,808.637,207.371,-429.032,801.715,240.633,-476.894,756.87,258.494,-491.732,785.424,-782.283,-712.972,1293.19,0,0,0,-738.382,-713.317,1270.66,-796.02,870.667,1279.55,-769.326,869.932,1246.95,-749.62,871.461,1292.11,-792.767,-354.743,1273.55,-748.218,-354.115,1253.77,-756.142,-352.97,1297.3,0.370934,-1.32903,1.70686,1,0
