frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
1430771,-90,90.0015,-14.9979,44.9908,5.00281,4.99229,-175.001,89.999,90.0099,15.0032,44.9932,5.00122,4.9906,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.97149,0.834531,0.274764,-6.14084,-0.796594,-2.17601,-0.127782,0.735497,5.24248,-0.498372,-5.20784,-1.1336,-1.12017,-0.19703,0.013777,-0.187242,1.42769,1.8823,0.0121365,-1.57061,-0.0728391,-0.190683,1.43812,-2.01029,-0.0888387,-1.62705,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0590896,-0.566115,1.58562,0.0442949,-0.572115,1.58079,-189.203,-116.319,1488.91,-168.137,-141.899,1539.06,-212.555,-145.098,1445.25,140.364,-118.113,1469.3,129.107,-129.02,1504.13,155.776,-138.992,1421.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-833.573,-957.639,1278.78,-876.592,-957.202,1284.58,-816.417,625.279,1285.06,-857.568,623.827,1268.45,0,0,0,0,0,0,-874.175,-595.344,1252.44,-847.472,-600.914,1292.37,-0.00738903,-0.569111,1.58318,0.300017,-1.42276,1.71048,0
1430772,-90,90.0015,-14.9979,44.9908,5.00281,4.99229,-175.001,89.999,90.0099,15.0032,44.9932,5.00122,4.9906,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.98985,0.849396,0.279748,-6.18597,-0.765886,-2.17737,-0.133906,0.74239,5.21872,-0.512485,-5.20296,-1.1441,-1.12502,-0.192273,0.0137686,-0.187177,1.42763,1.88255,0.0125462,-1.57102,-0.0728215,-0.19061,1.43807,-2.01059,-0.0883604,-1.62654,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0591103,-0.566109,1.58557,0.044345,-0.572112,1.58075,-189.207,-116.319,1488.92,-168.112,-141.916,1539.06,-212.561,-145.093,1445.25,140.373,-118.107,1469.3,129.103,-129.022,1504.13,155.79,-138.975,1421.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-862.095,-955.989,1236.6,-833.609,-957.634,1278.75,-876.602,-957.197,1284.61,-816.417,625.275,1285.05,-857.668,623.896,1268.46,0,0,0,-829.643,-596.919,1246.02,-874.181,-595.342,1252.42,-847.499,-600.847,1292.39,-0.00738899,-0.569111,1.58318,0.298627,-1.42161,1.70927,0
1430773,-90,90.0015,-14.9979,44.9908,5.00281,4.99229,-175.001,89.999,90.0104,15.0032,44.9927,5.00122,4.99054,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.98985,0.849396,0.279748,-6.18597,-0.765886,-2.17737,-0.133906,0.721193,5.17662,-0.508517,-5.1901,-1.13924,-1.10367,-0.165246,0.0137402,-0.187098,1.42766,1.8823,0.0127443,-1.57131,-0.0727861,-0.190535,1.43801,-2.01108,-0.0887058,-1.6258,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0591116,-0.566103,1.58557,0.0443225,-0.572115,1.58076,-189.198,-116.322,1488.9,-168.063,-141.893,1539.03,-212.549,-145.12,1445.26,140.374,-118.119,1469.31,129.115,-129.036,1504.12,155.775,-139.005,1421.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-861.863,-956.131,1236.47,-833.611,-957.636,1278.76,-876.632,-957.162,1284.63,-816.419,625.246,1285.03,-857.658,623.898,1268.46,-823.913,628.605,1243.97,-828.941,-596.06,1246.54,0,0,0,-847.489,-600.845,1292.38,-0.00738916,-0.569111,1.58318,0.3,-1.42276,1.71047,0
1430774,-90,90.0015,-14.9978,44.9907,5.00281,4.99224,-175.001,89.999,90.0108,15.0033,44.9915,5.00122,4.99043,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.97175,0.839345,0.285408,-6.1902,-0.757854,-2.16126,-0.148645,0.706335,5.24495,-0.550524,-5.2048,-1.14249,-1.09992,-0.178927,0.0136815,-0.187008,1.42765,1.88234,0.0128727,-1.57225,-0.0727885,-0.190579,1.43807,-2.01051,-0.0879526,-1.62634,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.059113,-0.566105,1.58556,0.0443197,-0.572117,1.58077,-189.193,-116.306,1488.93,-168.097,-141.896,1539.06,-212.553,-145.099,1445.22,140.379,-118.123,1469.31,129.108,-129.03,1504.12,155.76,-138.998,1421.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-833.582,-957.658,1278.78,-876.68,-957.126,1284.72,-816.425,625.244,1285.06,0,0,0,-823.885,628.585,1243.99,0,0,0,-874.182,-595.346,1252.42,-847.498,-600.867,1292.38,-0.00738928,-0.569111,1.58318,0.298603,-1.42162,1.70931,0
1430775,-90,90.0015,-14.9978,44.9907,5.00286,4.99213,-175.001,89.999,90.0108,15.0033,44.9914,5.00122,4.99022,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.97862,0.811325,0.279944,-6.19892,-0.766523,-2.19377,-0.154678,0.724814,5.23845,-0.514349,-5.24221,-1.13787,-1.14569,-0.213382,0.0137486,-0.18708,1.42764,1.88243,0.0127309,-1.57128,-0.0728564,-0.19075,1.43809,-2.01042,-0.0880592,-1.62782,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0591136,-0.566099,1.58557,0.0443362,-0.572104,1.58076,-189.157,-116.319,1488.94,-168.108,-141.933,1539.06,-212.554,-145.09,1445.23,140.376,-118.111,1469.3,129.107,-129.042,1504.13,155.779,-138.992,1421.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-862.073,-956.015,1236.59,-833.614,-957.633,1278.75,-876.639,-957.175,1284.66,-816.447,625.224,1285.05,-857.608,623.893,1268.51,-823.909,628.603,1243.97,-829.63,-596.842,1246.01,0,0,0,-847.471,-600.888,1292.38,-0.00738907,-0.569111,1.58318,0.29997,-1.42273,1.71044,0
1430776,-90,90.0015,-14.9978,44.9907,5.00286,4.99207,-175.001,89.999,90.0108,15.0033,44.9913,5.00122,4.99005,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.98282,0.821919,0.287712,-6.15672,-0.781483,-2.16814,-0.144062,0.726558,5.23517,-0.533848,-5.21834,-1.15209,-1.11442,-0.199479,0.0136825,-0.186957,1.4276,1.88259,0.0131936,-1.57252,-0.0728282,-0.190636,1.43803,-2.01081,-0.0879398,-1.6269,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0591265,-0.566099,1.58556,0.0443029,-0.572126,1.58079,-189.176,-116.329,1488.94,-168.091,-141.922,1539.04,-212.555,-145.096,1445.25,140.389,-118.127,1469.31,129.105,-129.045,1504.12,155.778,-139.001,1421.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-833.589,-957.675,1278.78,-876.589,-957.209,1284.64,-816.427,625.232,1285.06,-857.627,623.9,1268.52,-823.88,628.573,1243.98,0,0,0,0,0,0,-847.469,-600.889,1292.36,-0.0073891,-0.569111,1.58318,0.300049,-1.42278,1.71047,0
1430777,-90,90.0015,-14.9978,44.9907,5.00286,4.99207,-175.001,89.999,90.0108,15.0033,44.9913,5.00122,4.99005,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.98282,0.821919,0.287712,-6.15672,-0.781483,-2.16814,-0.144062,0.726558,5.23517,-0.533848,-5.21834,-1.15209,-1.11442,-0.199479,0.013716,-0.18713,1.42765,1.88238,0.0125205,-1.57166,-0.072853,-0.190675,1.43804,-2.01079,-0.0881745,-1.62708,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0591162,-0.566111,1.58557,0.0443631,-0.572101,1.58074,-189.187,-116.332,1488.93,-168.1,-141.943,1539.05,-212.569,-145.095,1445.25,140.372,-118.13,1469.3,129.101,-129.035,1504.13,155.765,-138.997,1421.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-862.616,-955.654,1236.88,-833.582,-957.631,1278.77,-876.658,-957.149,1284.7,-816.428,625.216,1285.05,-857.598,623.883,1268.5,-823.859,628.537,1243.97,0,0,0,0,0,0,-847.485,-600.904,1292.37,-0.007389,-0.569111,1.58318,0.300228,-1.42242,1.70898,0
1430778,-90,90.0015,-14.9978,44.9907,5.00286,4.99202,-175.001,89.999,90.0109,15.0033,44.9913,5.00122,4.98962,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.94372,0.839909,0.282146,-6.13194,-0.779486,-2.17929,-0.152882,0.756202,5.21842,-0.516046,-5.2403,-1.12341,-1.10404,-0.172691,0.0136854,-0.187015,1.42762,1.88239,0.0129595,-1.57227,-0.0728722,-0.190813,1.43815,-2.01032,-0.0890596,-1.62736,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0591063,-0.566117,1.58561,0.0443628,-0.572142,1.58077,-189.207,-116.328,1488.91,-168.13,-141.899,1539.1,-212.579,-145.092,1445.24,140.383,-118.137,1469.3,129.106,-129.053,1504.12,155.768,-139.018,1421.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-833.575,-957.655,1278.78,-876.593,-957.201,1284.62,-816.434,625.218,1285.05,-857.592,623.865,1268.49,-823.896,628.634,1243.98,0,0,0,0,0,0,-847.485,-600.862,1292.38,-0.00738896,-0.569111,1.58318,0.298694,-1.42162,1.70929,0
1430779,-90,90.0015,-14.9977,44.9907,5.00286,4.9918,-175.001,89.999,90.011,15.0033,44.9913,5.00128,4.9894,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.97753,0.811989,0.297596,-6.13761,-0.769269,-2.16997,-0.134249,0.696885,5.21296,-0.515511,-5.2273,-1.14237,-1.13366,-0.16398,0.0137258,-0.18708,1.42766,1.88229,0.0127813,-1.57161,-0.0728887,-0.19083,1.43811,-2.01049,-0.0887962,-1.62772,-0.837663,-0.16405,1.25673,0.0191957,0.999805,0.00454083,0,0,0,0,0,0,-0.0591259,-0.566104,1.58557,0.0443347,-0.572122,1.58078,-189.188,-116.332,1488.92,-168.118,-141.92,1539.09,-212.579,-145.088,1445.24,140.381,-118.135,1469.31,129.119,-129.051,1504.13,155.775,-139.022,1421.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-862.06,-956.023,1236.58,-833.582,-957.658,1278.79,-876.625,-957.207,1284.66,0,0,0,-857.601,623.874,1268.48,-823.869,628.599,1243.97,-829.631,-596.868,1246.02,0,0,0,-847.451,-600.885,1292.34,-0.00738893,-0.569111,1.58318,0.3,-1.42275,1.71049,0
1430780,-90,90.0015,-14.9978,44.9907,5.00286,4.99169,-175.001,89.999,90.011,15.0033,44.9912,5.00128,4.98924,4.99617,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-1.96935,0.853943,0.285495,-6.15673,-0.770734,-2.1611,-0.144083,0.717781,5.2123,-0.514201,-5.21825,-1.14128,-1.08836,-0.176464,0.0137546,-0.187121,1.42761,1.8826,0.0127866,-1.57124,-0.0728464,-0.19081,1.43813,-2.01018,-0.0881979,-1.62762,-0.837673,-0.1641,1.25699,0.0190996,0.999813,0.00313898,0,0,0,0,0,0,-0.0591198,-0.566112,1.58556,0.0442751,-0.572117,1.58079,-189.172,-116.346,1488.94,-168.117,-141.948,1539.1,-212.551,-145.094,1445.23,140.372,-118.129,1469.3,129.1,-129.053,1504.12,155.788,-139.009,1421.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-861.766,-956.215,1236.4,-833.58,-957.66,1278.79,-876.651,-957.172,1284.66,-816.382,625.273,1285.07,-857.609,623.861,1268.48,-823.893,628.614,1243.99,-828.923,-596.042,1246.57,-874.164,-595.353,1252.42,-847.48,-600.894,1292.38,-0.00738909,-0.569111,1.58318,0.300006,-1.42275,1.71048,0
