frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
1838864,-90.0036,90.0017,-14.9983,44.9933,4.99827,4.99409,-175.001,90.0031,90.0061,15.0036,44.9944,5.00166,4.99054,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.21173,-0.0576824,-1.1806,-5.67571,-0.364312,-1.97344,-0.131821,4.34145,3.68332,0.110291,-5.24456,-0.88576,-1.29726,-0.460965,0.014837,-0.183541,1.30688,1.83961,-0.122487,-1.48362,-0.0724604,-0.187049,1.31058,-1.9491,-0.134489,-1.55885,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.876,-119.171,1350.77,-178.057,-137.367,1400.49,-216.064,-154.553,1305.74,136.77,-105.974,1334.26,127.625,-114.459,1371.23,152.488,-134.607,1289.79,-341.716,-273.618,559.028,-322.822,-211.233,568.311,-266.847,-231.358,593.68,-354.264,-272.123,589.599,130.367,-245.165,586.396,171.662,-203.912,560.427,207.843,-253.065,536.932,227.438,-253.902,567.838,-722.223,-866.448,1295.68,-691.33,-863.96,1267.75,-733.787,-865.219,1248.06,-740.496,719.376,1284.67,-716.901,717.073,1242.72,-691.845,717.139,1274.53,-705.657,-507.614,1243.48,-701.476,-504.692,1289.13,-742.567,-504.46,1272.75,0.0155883,-0.483534,1.62391,0.382196,-1.41189,1.71058,0
1838865,-90.0036,90.0017,-14.9983,44.9933,4.99827,4.99409,-175.001,90.0031,90.0061,15.0036,44.9944,5.00166,4.99054,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.21173,-0.0576824,-1.1806,-5.67571,-0.364312,-1.97344,-0.131821,4.34145,3.68332,0.110291,-5.24456,-0.88576,-1.29726,-0.460965,0.01477,-0.182973,1.30659,1.83988,-0.119318,-1.48385,-0.0724292,-0.186916,1.31055,-1.94926,-0.13405,-1.55826,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.876,-119.144,1350.78,-178.037,-137.369,1400.5,-216.059,-154.565,1305.73,136.756,-105.95,1334.27,127.648,-114.568,1371.08,152.474,-134.656,1289.78,-341.704,-273.603,559.044,-322.81,-211.255,568.313,-266.848,-231.334,593.7,-354.256,-272.113,589.586,130.37,-245.159,586.397,171.662,-203.911,560.414,207.858,-253.05,536.936,227.43,-253.896,567.828,-722.223,-866.444,1295.68,-691.157,-863.981,1267.83,-733.773,-865.22,1248.04,-740.477,719.378,1284.67,-716.922,717.1,1242.71,-691.85,717.143,1274.53,-705.633,-507.572,1243.46,-701.469,-504.694,1289.13,-742.561,-504.462,1272.75,0.0155884,-0.483534,1.62391,0.382174,-1.41191,1.71063,0
1838866,-90.0036,90.0017,-14.9983,44.9933,4.99827,4.99409,-175.001,90.0031,90.0061,15.0036,44.9944,5.00166,4.9906,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.23468,-0.0903237,-1.21498,-5.70285,-0.372914,-2.00046,-0.143593,4.34222,3.67071,0.147485,-5.22626,-0.925442,-1.30177,-0.472283,0.0147883,-0.18338,1.30682,1.83993,-0.122181,-1.48426,-0.0724214,-0.186938,1.31056,-1.94911,-0.134163,-1.5583,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.874,-119.156,1350.78,-178.042,-137.375,1400.5,-216.045,-154.556,1305.73,136.765,-105.953,1334.28,127.608,-114.451,1371.22,152.49,-134.646,1289.79,-341.733,-273.632,559.02,-322.795,-211.237,568.313,-266.897,-231.358,593.683,-354.268,-272.13,589.595,130.361,-245.155,586.401,171.669,-203.914,560.408,207.857,-253.072,536.936,227.44,-253.889,567.822,-722.218,-866.456,1295.69,-690.959,-864.002,1267.99,-733.77,-865.211,1248.04,-740.489,719.378,1284.68,-716.91,717.073,1242.72,-691.845,717.14,1274.54,-705.649,-507.638,1243.51,-701.477,-504.689,1289.13,-742.576,-504.459,1272.77,0.0155887,-0.483535,1.62391,0.382184,-1.41191,1.71064,0
1838867,-90.0037,90.0017,-14.9983,44.9933,4.99827,4.99409,-175.001,90.0033,90.0065,15.0037,44.9937,5.00166,4.99043,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.19936,-0.103665,-1.19342,-5.71087,-0.370652,-2.00525,-0.146492,4.34709,3.65211,0.124761,-5.20212,-0.869274,-1.2784,-0.471133,0.0147986,-0.18346,1.30683,1.83992,-0.122059,-1.4842,-0.0723991,-0.186836,1.31055,-1.94923,-0.133898,-1.55779,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.879,-119.135,1350.79,-178.033,-137.361,1400.5,-216.046,-154.574,1305.73,136.766,-105.963,1334.28,127.608,-114.451,1371.22,152.496,-134.638,1289.76,-341.76,-273.671,559.007,-322.806,-211.22,568.301,-266.869,-231.322,593.72,-354.272,-272.108,589.604,130.353,-245.158,586.409,171.672,-203.919,560.423,207.858,-253.067,536.939,227.443,-253.896,567.82,-722.215,-866.438,1295.69,-690.887,-864.055,1268.09,-733.784,-865.217,1248.05,-740.475,719.373,1284.67,-716.929,717.104,1242.71,-691.827,717.165,1274.54,-705.688,-507.747,1243.53,-701.461,-504.691,1289.12,-742.561,-504.453,1272.76,0.0155888,-0.483535,1.62391,0.382167,-1.41191,1.71061,0
1838868,-90.0037,90.0018,-14.9983,44.9933,4.99827,4.99409,-175.001,90.0033,90.0066,15.0037,44.9936,5.00166,4.99,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.22681,-0.104609,-1.19968,-5.6949,-0.385115,-2.03126,-0.140521,4.33639,3.68764,0.0984949,-5.21648,-0.900028,-1.30207,-0.489624,0.0148068,-0.183442,1.30683,1.84,-0.12239,-1.48422,-0.0724524,-0.187015,1.31055,-1.94925,-0.134202,-1.55868,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.873,-119.159,1350.78,-178.038,-137.378,1400.5,-216.067,-154.545,1305.73,136.774,-105.966,1334.27,127.611,-114.457,1371.23,152.503,-134.647,1289.79,-341.741,-273.655,559.026,-322.807,-211.246,568.316,-266.836,-231.344,593.653,-354.277,-272.106,589.61,130.371,-245.169,586.414,171.664,-203.913,560.423,207.84,-253.034,536.924,227.44,-253.896,567.826,-722.212,-866.45,1295.7,-692.023,-863.604,1267.31,-733.765,-865.217,1248.03,-740.473,719.384,1284.68,-716.915,717.098,1242.71,-691.84,717.139,1274.54,-705.661,-507.621,1243.49,-701.464,-504.688,1289.13,-742.564,-504.46,1272.77,0.0155889,-0.483535,1.62391,0.382183,-1.41192,1.71062,0
1838869,-90.0037,90.0017,-14.9983,44.9933,4.99827,4.99404,-175.001,90.0033,90.0066,15.0037,44.9935,5.00166,4.98978,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.24074,-0.0784461,-1.21728,-5.68459,-0.385532,-2.02709,-0.138105,4.36774,3.66575,0.144139,-5.20138,-0.932963,-1.28207,-0.491436,0.0147702,-0.183358,1.30684,1.83981,-0.122243,-1.4845,-0.0724356,-0.186916,1.31051,-1.94937,-0.133753,-1.55826,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.877,-119.148,1350.78,-178.03,-137.392,1400.49,-216.063,-154.538,1305.72,136.769,-105.954,1334.27,127.612,-114.452,1371.23,152.481,-134.651,1289.79,-341.711,-273.601,559.045,-322.815,-211.251,568.319,-266.931,-231.311,593.712,-354.277,-272.113,589.61,130.37,-245.149,586.402,171.672,-203.899,560.417,207.853,-253.05,536.941,227.438,-253.878,567.821,-722.217,-866.449,1295.69,-691.831,-863.681,1267.39,-733.762,-865.215,1248.03,-740.472,719.37,1284.67,-716.944,717.1,1242.73,-691.834,717.147,1274.53,-705.645,-507.614,1243.51,-701.463,-504.691,1289.14,-742.56,-504.459,1272.78,0.015589,-0.483535,1.62391,0.382156,-1.41189,1.71062,0
1838870,-90.0037,90.0018,-14.9983,44.9932,4.99827,4.99404,-175.001,90.0033,90.0066,15.0037,44.9935,5.00166,4.98956,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.24092,-0.0765183,-1.19576,-5.69732,-0.364542,-1.99063,-0.127423,4.36676,3.68108,0.128513,-5.19628,-0.911771,-1.27978,-0.465316,0.0147934,-0.183059,1.30659,1.84003,-0.119436,-1.48386,-0.0724339,-0.186985,1.31056,-1.94922,-0.134152,-1.55826,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.884,-119.163,1350.78,-178.041,-137.368,1400.51,-216.065,-154.549,1305.72,136.769,-105.965,1334.28,127.654,-114.562,1371.08,152.49,-134.632,1289.78,-341.695,-273.592,559.046,-322.806,-211.228,568.31,-266.885,-231.309,593.685,-354.266,-272.106,589.612,130.363,-245.156,586.401,171.662,-203.892,560.398,207.852,-253.062,536.948,227.423,-253.878,567.818,-722.211,-866.437,1295.69,-691.79,-863.7,1267.43,-733.781,-865.222,1248.04,-740.467,719.386,1284.66,-716.921,717.094,1242.73,-691.832,717.145,1274.53,-705.537,-507.29,1243.26,-701.465,-504.682,1289.13,-742.56,-504.461,1272.79,0.0155892,-0.483535,1.62391,0.382187,-1.41192,1.71061,0
1838871,-90.0037,90.0018,-14.9983,44.9932,4.99827,4.99399,-175.001,90.0033,90.0066,15.0038,44.9935,5.00166,4.98934,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.21456,-0.0704817,-1.19196,-5.69303,-0.367073,-2.00595,-0.152589,4.35765,3.68955,0.120953,-5.20199,-0.921905,-1.30071,-0.485926,0.0148042,-0.183432,1.30683,1.83979,-0.121872,-1.48407,-0.072423,-0.18691,1.31054,-1.94918,-0.133843,-1.55828,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.873,-119.149,1350.79,-178.037,-137.388,1400.5,-216.05,-154.553,1305.72,136.77,-105.962,1334.28,127.621,-114.461,1371.22,152.49,-134.62,1289.78,-341.73,-273.634,559.019,-322.812,-211.257,568.317,-266.929,-231.325,593.72,-354.262,-272.102,589.596,130.371,-245.148,586.393,171.666,-203.907,560.411,207.855,-253.054,536.938,227.43,-253.872,567.817,-722.213,-866.447,1295.69,-691.871,-863.689,1267.4,-733.772,-865.213,1248.04,-740.475,719.379,1284.66,-716.92,717.095,1242.74,-691.833,717.157,1274.54,-705.586,-507.445,1243.38,-701.478,-504.67,1289.12,-742.577,-504.462,1272.76,0.0155893,-0.483535,1.62391,0.382182,-1.41192,1.71064,0
1838872,-90.0037,90.0018,-14.9983,44.9932,4.99827,4.99399,-175.001,90.0033,90.0066,15.0038,44.9935,5.00166,4.98934,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.21456,-0.0704817,-1.19196,-5.69303,-0.367073,-2.00595,-0.152589,4.35765,3.68955,0.120953,-5.20199,-0.921905,-1.30071,-0.485926,0.0148046,-0.183135,1.30661,1.84,-0.119388,-1.48365,-0.0724617,-0.187011,1.31055,-1.94926,-0.134125,-1.55877,-0.708996,-0.0728913,1.25617,-0.000313794,0.999998,-0.00195508,0,0,0,0,0,0,0,0,0,0,0,0,-196.874,-119.162,1350.78,-178.045,-137.384,1400.49,-216.072,-154.555,1305.73,136.761,-105.975,1334.29,127.65,-114.561,1371.08,152.488,-134.621,1289.79,-341.699,-273.629,559.025,-322.791,-211.238,568.307,-266.867,-231.313,593.692,-354.269,-272.113,589.601,130.377,-245.156,586.403,171.657,-203.898,560.401,207.849,-253.064,536.947,227.444,-253.896,567.827,-722.201,-866.45,1295.69,-691.979,-863.586,1267.29,-733.781,-865.219,1248.06,-740.485,719.385,1284.68,-716.9,717.105,1242.72,-691.607,717.328,1274.72,-705.625,-507.472,1243.47,-701.454,-504.681,1289.13,-742.548,-504.445,1272.76,0.0155894,-0.483536,1.62391,0.382177,-1.41192,1.71065,0
1838873,-90.0037,90.0018,-14.9983,44.9932,4.99827,4.99399,-175.001,90.0033,90.0066,15.0038,44.9935,5.00171,4.98918,4.99911,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-5.2277,-0.100676,-1.18438,-5.69677,-0.35273,-1.9918,-0.143619,4.35012,3.71514,0.130249,-5.2263,-0.909076,-1.31251,-0.474129,0.0147939,-0.183424,1.30684,1.8399,-0.122242,-1.48437,-0.0724324,-0.186923,1.31051,-1.94938,-0.133892,-1.55823,-0.708992,-0.0728921,1.25617,-0.000317208,0.999998,-0.00195721,0,0,0,0,0,0,0,0,0,0,0,0,-196.876,-119.157,1350.78,-178.03,-137.387,1400.49,-216.058,-154.545,1305.73,136.776,-105.963,1334.28,127.617,-114.448,1371.23,152.494,-134.632,1289.79,-341.712,-273.625,559.027,-322.813,-211.255,568.304,-266.839,-231.325,593.699,-354.261,-272.113,589.596,130.368,-245.149,586.405,171.672,-203.912,560.411,207.856,-253.066,536.941,227.437,-253.887,567.826,-722.208,-866.439,1295.69,-691.979,-863.613,1267.31,-733.759,-865.211,1248.03,-740.48,719.379,1284.67,-716.912,717.1,1242.71,-691.832,717.135,1274.53,-705.626,-507.483,1243.45,-701.451,-504.708,1289.12,-742.562,-504.457,1272.77,0.0155896,-0.483536,1.62391,0.382298,-1.41185,1.71053,0
