frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
1045868,-90.0356,90.0233,-14.962,44.9659,5.0038,4.99933,-175.006,90.0036,90.0113,15.0021,44.9915,4.99921,4.98818,4.99197,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.19435,0.533689,-0.940242,-4.92895,-0.752283,-2.03893,0.539397,3.14415,4.95516,0.153579,-4.82343,-0.601618,-1.24019,-0.194088,0.0023508,-0.241269,1.32943,1.87925,-0.103869,-1.4424,-0.0859085,-0.246958,1.33212,-2.00191,-0.121448,-1.54155,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.745,-180.162,1379.53,-187.027,-198.604,1428.22,-229.847,-214.252,1335.23,119.455,-158.621,1363.04,109.418,-168.119,1399.14,138.073,-185.277,1318.55,-391.112,-319.538,591.313,-373.747,-259.539,602.28,-312.757,-283.968,624.473,-387.372,-261.926,638.648,145.711,-284.736,612.299,188.935,-241.713,589.605,224.008,-291.487,564.418,206.727,-243.821,621.911,-878.82,-652.428,1236.33,-857.063,-651.224,1278.32,-898.719,-654.088,1282.05,-843.968,928.887,1288.21,-844.567,928.781,1245.84,0,0,0,-874.29,-293.176,1289.49,-896.443,-291.461,1251.49,-850.551,-292.642,1249.97,0,0,0,0.238067,-1.41413,1.71005,0
1045869,-90.0356,90.0233,-14.9621,44.9658,5.0038,4.99927,-175.006,90.0037,90.0118,15.0021,44.9914,4.99921,4.98812,4.99197,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.1784,0.51263,-0.920519,-4.94948,-0.746857,-2.03965,0.526227,3.17824,4.94566,0.128391,-4.79772,-0.59297,-1.22341,-0.214992,0.00242558,-0.241217,1.32945,1.87884,-0.10343,-1.44198,-0.0858049,-0.247037,1.3322,-2.00167,-0.121943,-1.54127,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.677,-180.155,1379.53,-186.951,-198.545,1428.26,-229.763,-214.212,1335.22,119.526,-158.631,1363.05,109.511,-168.171,1399.15,138.129,-185.286,1318.57,-391.11,-319.467,591.309,-373.685,-259.471,602.289,-312.716,-283.943,624.466,-387.272,-261.927,638.656,145.749,-284.777,612.279,188.986,-241.771,589.594,224.057,-291.535,564.43,206.804,-243.833,621.898,-878.836,-652.439,1236.33,-857.059,-651.237,1278.32,-898.71,-654.079,1282.05,-843.949,928.873,1288.21,-844.543,928.773,1245.88,0,0,0,-874.311,-293.157,1289.49,-896.38,-291.507,1251.53,-850.496,-292.612,1249.97,0,0,0,0.238069,-1.41413,1.71004,0
1045870,-90.0381,90.0233,-14.9621,44.9657,5.00375,4.99917,-175.006,90.0047,90.0121,15.0021,44.9912,4.99921,4.98812,4.99197,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.08897,0.502391,-0.933636,-4.93452,-0.747836,-2.0406,0.532231,3.13132,4.94443,0.165682,-4.83751,-0.60359,-1.24573,-0.172625,0.00247152,-0.241246,1.32946,1.87885,-0.103646,-1.44263,-0.0857734,-0.246971,1.33213,-2.00205,-0.12178,-1.54152,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.606,-180.117,1379.53,-186.86,-198.57,1428.27,-229.715,-214.191,1335.24,119.616,-158.662,1363.04,109.589,-168.179,1399.16,138.204,-185.315,1318.55,-391.025,-319.46,591.302,-373.636,-259.431,602.304,-312.661,-283.924,624.478,-387.221,-261.886,638.65,145.77,-284.861,612.214,189.041,-241.793,589.585,224.118,-291.598,564.372,206.846,-243.891,621.866,-878.879,-652.428,1236.34,-857.062,-651.23,1278.33,-898.719,-654.086,1282.05,-844.425,928.668,1287.64,-844.57,928.779,1245.87,0,0,0,-874.308,-293.17,1289.5,-896.41,-291.501,1251.55,-850.542,-292.654,1249.95,0,0,0,0.238075,-1.41413,1.71005,0
1045871,-90.0411,90.0233,-14.9621,44.9656,5.00375,4.99911,-175.006,90.0129,90.0122,15.0021,44.9912,4.99921,4.98801,4.99197,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.06027,0.445339,-0.888788,-5.00626,-0.73771,-2.03552,0.543614,2.9733,4.98375,0.135071,-4.81284,-0.598917,-1.24164,-0.205006,0.00260449,-0.241281,1.32944,1.87858,-0.102981,-1.44165,-0.0857106,-0.247108,1.33222,-2.00183,-0.122561,-1.54201,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.525,-180.092,1379.52,-186.788,-198.509,1428.31,-229.645,-214.158,1335.24,119.69,-158.669,1363.04,109.694,-168.209,1399.11,138.28,-185.279,1318.55,-391.002,-319.411,591.332,-373.563,-259.4,602.296,-312.627,-283.879,624.473,-387.213,-261.798,638.632,145.8,-284.877,612.263,189.057,-241.844,589.577,224.146,-291.64,564.35,206.906,-243.94,621.862,-878.696,-652.055,1236.89,-857.08,-651.208,1278.32,-898.71,-654.081,1282.06,-844.41,928.726,1287.63,-844.54,928.795,1245.87,0,0,0,-874.302,-293.154,1289.5,-896.43,-291.496,1251.53,-850.535,-292.625,1249.95,0,0,0,0.238078,-1.41415,1.71004,0
1045872,-90.0411,90.0233,-14.9621,44.9656,5.00375,4.99911,-175.006,90.0129,90.0122,15.0021,44.9912,4.99921,4.98801,4.99197,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.06027,0.445339,-0.888788,-5.00626,-0.73771,-2.03552,0.543614,2.9733,4.98375,0.135071,-4.81284,-0.598917,-1.24164,-0.205006,0.00258008,-0.241103,1.32939,1.87876,-0.103083,-1.44319,-0.0856405,-0.247039,1.33222,-2.00181,-0.12277,-1.54181,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.469,-180.08,1379.51,-186.733,-198.496,1428.29,-229.571,-214.156,1335.25,119.787,-158.678,1363.01,109.766,-168.214,1399.11,138.346,-185.328,1318.53,-390.953,-319.427,591.345,-373.504,-259.399,602.285,-312.598,-283.879,624.502,-387.168,-261.792,638.636,145.834,-284.921,612.236,189.112,-241.874,589.582,224.179,-291.649,564.33,206.951,-243.948,621.872,-878.653,-652.024,1236.86,-857.055,-651.211,1278.33,-898.717,-654.059,1282.05,-843.98,928.921,1288.23,-844.555,928.796,1245.88,0,0,0,-874.289,-293.163,1289.5,-896.413,-291.465,1251.52,-850.539,-292.642,1249.96,0,0,0,0.238069,-1.41414,1.71004,0
1045873,-90.0455,90.0233,-14.9622,44.9656,5.00375,4.99906,-175.006,90.0271,90.0123,15.0021,44.9911,4.99921,4.98785,4.99197,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-2.96306,0.391207,-0.864186,-4.96411,-0.744666,-2.05604,0.554533,2.77707,4.96417,0.0690955,-4.80905,-0.594944,-1.24239,-0.184243,0.00270884,-0.241234,1.3294,1.87876,-0.103396,-1.4424,-0.0855316,-0.246929,1.33216,-2.00203,-0.122317,-1.54103,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.399,-180.074,1379.51,-186.64,-198.485,1428.28,-229.488,-214.145,1335.24,119.844,-158.669,1362.99,109.828,-168.195,1399.09,138.437,-185.334,1318.49,-390.935,-319.407,591.371,-373.49,-259.383,602.311,-312.559,-283.894,624.521,-387.171,-261.711,638.657,145.85,-284.926,612.229,189.157,-241.885,589.544,224.223,-291.682,564.327,206.988,-244.007,621.835,-878.688,-651.995,1236.87,-857.081,-651.212,1278.33,-898.718,-654.064,1282.06,-844.396,928.732,1287.63,-844.532,928.803,1245.9,0,0,0,-874.28,-293.109,1289.49,-896.424,-291.476,1251.55,-850.537,-292.662,1249.94,0,0,0,0.238066,-1.41413,1.71005,0
1045874,-90.0514,90.0234,-14.9622,44.9656,5.00375,4.999,-175.006,90.0604,90.0395,15.0021,44.9897,4.99915,4.98534,4.99191,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-2.86587,0.351885,-0.86632,-5.00856,-0.727903,-2.03708,0.545817,2.34033,3.76816,-0.0321715,-5.4705,-0.629678,-1.40813,-0.222711,0.00268869,-0.241109,1.32931,1.87917,-0.103315,-1.44397,-0.0855216,-0.247085,1.33221,-2.0021,-0.123042,-1.54196,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.326,-180.064,1379.51,-186.582,-198.448,1428.29,-229.456,-214.164,1335.25,119.931,-158.68,1362.95,109.885,-168.184,1399.04,138.495,-185.335,1318.45,-390.893,-319.413,591.371,-373.466,-259.354,602.299,-312.545,-283.856,624.498,-387.127,-261.673,638.616,145.872,-284.918,612.179,189.192,-241.897,589.526,224.247,-291.729,564.294,207.039,-243.992,621.828,-878.705,-652.053,1236.9,-857.063,-651.207,1278.34,-898.705,-654.058,1282.06,-843.915,928.9,1288.22,-844.529,928.821,1245.87,0,0,0,-874.303,-293.124,1289.49,-896.406,-291.495,1251.6,-850.536,-292.637,1249.95,0,0,0,0.238085,-1.41414,1.71005,0
1045875,-90.0718,90.0233,-14.9633,44.9655,5.00375,4.99884,-175.006,90.0824,90.0559,15.0021,44.9889,4.99915,4.98185,4.99191,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-2.59121,-0.0397403,-0.807092,-5.07615,-0.730632,-2.06447,0.532097,2.10929,3.39989,0.0374695,-5.60897,-0.62666,-1.4984,-0.187409,0.00286274,-0.241248,1.32932,1.8788,-0.103811,-1.44228,-0.0854305,-0.246975,1.33211,-2.00265,-0.122846,-1.54109,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.262,-180.065,1379.49,-186.474,-198.448,1428.26,-229.386,-214.164,1335.25,119.984,-158.655,1362.89,109.968,-168.163,1398.99,138.58,-185.323,1318.41,-390.797,-319.388,591.382,-373.384,-259.319,602.325,-312.471,-283.829,624.489,-387.057,-261.63,638.616,145.919,-284.947,612.151,189.17,-241.911,589.423,224.25,-291.738,564.25,207.019,-243.987,621.773,-878.845,-652.37,1236.36,-857.068,-651.185,1278.32,-898.713,-654.037,1282.05,-843.917,928.888,1288.23,-844.495,928.807,1245.88,0,0,0,-874.297,-293.134,1289.52,-896.417,-291.475,1251.58,-850.544,-292.61,1249.95,0,0,0,0.238086,-1.41414,1.71005,0
1045876,-90.0875,90.0233,-14.9637,44.9654,5.00375,4.99878,-175.006,90.1005,90.0751,15.0021,44.9885,4.99915,4.98131,4.99191,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-2.36536,-0.342108,-0.77537,-5.2603,-0.72801,-2.09531,0.533826,2.03827,3.13725,-0.0101968,-5.53542,-0.625953,-1.40034,-0.172797,0.00287905,-0.241234,1.32932,1.87846,-0.10414,-1.44279,-0.0854151,-0.247177,1.33224,-2.0021,-0.123641,-1.54215,-0.852655,0.136762,1.2536,0.0123347,0.999909,-0.00543908,0,0,0,0,0,0,0,0,0,0,0,0,-208.208,-180.067,1379.5,-186.46,-198.427,1428.31,-229.35,-214.181,1335.25,120.05,-158.646,1362.82,110.03,-168.145,1398.95,138.612,-185.305,1318.35,-390.661,-319.291,591.428,-373.263,-259.204,602.312,-312.321,-283.728,624.516,-386.88,-261.596,638.625,145.924,-284.943,612.096,189.159,-241.882,589.37,224.252,-291.712,564.169,207.009,-243.976,621.707,-878.669,-652.025,1236.92,-857.062,-651.195,1278.34,-898.7,-654.058,1282.06,-843.918,928.897,1288.19,-844.547,928.821,1245.87,0,0,0,-874.295,-293.147,1289.5,-896.415,-291.458,1251.54,-850.551,-292.625,1249.95,0,0,0,0.237972,-1.41403,1.70997,0
1045877,-90.1039,90.0232,-14.9645,44.958,5.00375,4.99862,-175.006,90.121,90.0942,15.0021,44.9885,4.99915,4.98136,4.99186,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-2.14811,-0.309245,-0.782329,-5.09516,-0.735737,-2.10091,0.52384,1.97777,3.22819,-0.0507487,-5.49859,-0.624645,-1.45115,-0.199556,0.00300714,-0.241376,1.32933,1.87822,-0.104723,-1.44151,-0.0853324,-0.247192,1.33221,-2.00299,-0.124672,-1.54085,-0.852652,0.136767,1.25361,0.0123265,0.999909,-0.00546838,0,0,0,0,0,0,0,0,0,0,0,0,-208.166,-180.103,1379.49,-186.338,-198.385,1428.33,-229.311,-214.249,1335.27,120.078,-158.607,1362.76,110.076,-168.092,1398.9,138.667,-185.266,1318.29,-390.402,-319.196,591.506,-373.002,-259.102,602.349,-312.08,-283.579,624.523,-386.766,-261.354,638.669,145.88,-284.888,612.034,189.124,-241.88,589.271,224.175,-291.659,564.085,206.967,-243.967,621.644,-878.68,-652.043,1236.87,-857.065,-651.213,1278.34,-898.71,-654.062,1282.06,-843.924,928.913,1288.21,-844.548,928.829,1245.87,0,0,0,-874.284,-293.164,1289.51,-896.459,-291.456,1251.56,-850.532,-292.629,1249.98,0,0,0,0.238064,-1.41412,1.71004,0
