frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx
2500592,-89.9904,90.0026,-14.9932,44.9908,5.00366,4.99235,-174.997,89.9861,90.0061,14.9966,44.9904,5.00035,4.99149,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.41948,-0.846502,1.95839,-6.98765,-0.699725,-1.70615,-0.61277,-7.58187,3.30417,-2.60523,-5.57135,-0.9853,-1.10909,-0.0444635,0.0360754,-0.64009,1.39701,1.85378,0.321686,-1.54219,-0.0526087,-0.643051,1.4021,-1.96249,0.292831,-1.58979,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245494,-0.978657,0.765561,0.235025,-0.951498,0.733805,0,0,0,0,0,0,0,0,0,0,0,0,-0.000219514,-1.21296,1.31505,-174.634,-594.397,1469.09,-156.223,-631.384,1506.38,-195.18,-607.229,1413.78,162.372,-588.86,1452.02,152.718,-611.783,1481.83,176.424,-596.52,1399.21,-324.834,-392.976,688.654,-304.135,-343.559,724.526,-248.17,-373.146,738.848,-337.356,-406.106,717.926,142.427,-404.086,713.646,185.82,-358.443,705.391,219.717,-396.503,662.592,239.588,-410.232,689.891,-746.18,-829.376,1252.63,-733.08,-826.804,1292.1,-697.859,-828.912,1261.6,-714.708,756.244,1243.67,-686.128,753.611,1282.35,-726.053,754.489,1292.17,-713.667,-468.071,1243.72,-702.038,-469.626,1289.74,-746.061,-468.018,1274.42,0.374298,-1.35432,1.70977,0
2500593,-89.9904,90.0026,-14.9932,44.9908,5.00366,4.99235,-174.997,89.9856,90.0062,14.9965,44.9901,5.00035,4.99143,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.41948,-0.846502,1.95839,-6.98765,-0.699725,-1.70615,-0.61277,-7.57488,3.30476,-2.62979,-5.54987,-0.995891,-1.08045,-0.0466642,0.0360169,-0.640036,1.39702,1.85354,0.32162,-1.54291,-0.0525552,-0.642227,1.40223,-1.96225,0.295443,-1.58861,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245434,-0.978894,0.765585,0.235032,-0.95163,0.733826,0,0,0,0,0,0,0,0,0,0,0,0,-0.000191625,-1.213,1.31501,-174.658,-594.223,1469.22,-156.243,-631.404,1506.31,-195.196,-607.262,1413.73,162.36,-588.91,1451.99,152.696,-611.837,1481.81,176.393,-596.59,1399.19,-324.765,-393.161,688.551,-304.041,-343.727,724.385,-248.063,-373.327,738.736,-337.298,-406.251,717.837,142.507,-404.266,713.553,186.013,-358.658,705.382,219.783,-396.733,662.504,239.632,-410.45,689.838,-746.182,-829.382,1252.63,-733.09,-826.792,1292.12,-697.867,-828.915,1261.62,-714.712,756.229,1243.67,-686.054,753.692,1282.36,-726.009,754.428,1292.13,-713.774,-468.015,1243.78,-702.072,-469.556,1289.71,-745.923,-468.057,1274.39,0.37424,-1.3543,1.70984,0
2500594,-89.9903,90.0026,-14.9932,44.9907,5.00366,4.99235,-174.997,89.9847,90.0063,14.9965,44.9898,5.00035,4.99133,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.39689,-0.854863,1.96623,-7.00491,-0.693203,-1.7248,-0.606517,-7.54893,3.31667,-2.59435,-5.53462,-0.971162,-1.09567,-0.0345157,0.036027,-0.640149,1.39701,1.85359,0.32165,-1.54232,-0.0525721,-0.642259,1.40217,-1.96235,0.295499,-1.5885,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245382,-0.97912,0.765607,0.23504,-0.951764,0.733849,0,0,0,0,0,0,0,0,0,0,0,0,-0.000163557,-1.21304,1.31498,-174.675,-594.247,1469.18,-156.258,-631.379,1506.27,-195.227,-607.296,1413.66,162.338,-588.972,1451.98,152.693,-611.888,1481.78,176.383,-596.671,1399.15,-324.705,-393.311,688.443,-303.922,-343.901,724.261,-248.017,-373.463,738.636,-337.231,-406.398,717.738,142.596,-404.441,713.5,186.055,-358.834,705.337,219.859,-396.983,662.431,239.719,-410.673,689.753,-746.19,-829.371,1252.62,-733.089,-826.797,1292.11,-697.863,-828.911,1261.62,-714.694,756.236,1243.65,-686.178,753.55,1282.3,-726.056,754.492,1292.16,-713.679,-468.081,1243.76,-702.075,-469.584,1289.72,-745.936,-468.031,1274.37,0.374311,-1.35433,1.70976,0
2500595,-89.9903,90.0026,-14.9931,44.9906,5.00366,4.99235,-174.997,89.9845,90.0063,14.9965,44.9897,5.00035,4.99127,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.32897,-0.875305,1.94571,-6.99221,-0.699395,-1.71413,-0.608881,-7.51982,3.32115,-2.5952,-5.56712,-1.01819,-1.07927,-0.0444519,0.0360094,-0.640148,1.39704,1.85345,0.321715,-1.54228,-0.0525679,-0.642357,1.40215,-1.96236,0.294464,-1.5885,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245338,-0.979335,0.765628,0.235048,-0.951901,0.733872,0,0,0,0,0,0,0,0,0,0,0,0,-0.000135343,-1.21307,1.31495,-174.669,-594.251,1469.12,-156.236,-631.39,1506.27,-195.223,-607.341,1413.62,162.326,-589.03,1451.97,152.689,-611.955,1481.76,176.362,-596.756,1399.14,-324.677,-393.48,688.33,-303.871,-344.058,724.138,-247.974,-373.643,738.516,-337.182,-406.509,717.644,142.64,-404.624,713.449,186.52,-359.146,705.407,219.926,-397.193,662.415,239.798,-410.929,689.703,-746.198,-829.382,1252.63,-733.085,-826.81,1292.09,-697.893,-828.911,1261.62,-714.706,756.245,1243.66,-686.08,753.649,1282.41,-726.025,754.418,1292.12,-713.762,-468.07,1243.8,-702.113,-469.578,1289.73,-746.072,-468.01,1274.42,0.374318,-1.35434,1.70977,0
2500596,-89.9903,90.0026,-14.993,44.9906,5.00366,4.9923,-174.997,89.9847,90.0063,14.9965,44.9897,5.00035,4.99116,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.33893,-0.88662,1.91874,-6.98526,-0.673803,-1.70348,-0.596009,-7.52892,3.31119,-2.5829,-5.54031,-0.981091,-1.09352,-0.0353987,0.0361479,-0.639985,1.39703,1.85365,0.324435,-1.53909,-0.0527537,-0.642943,1.40229,-1.96131,0.293863,-1.59332,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.2453,-0.979539,0.765647,0.235057,-0.952041,0.733898,0,0,0,0,0,0,0,0,0,0,0,0,-0.000107052,-1.21311,1.31492,-174.676,-594.299,1469.08,-156.433,-631.76,1506.3,-195.231,-607.386,1413.57,162.313,-589.093,1451.95,152.779,-612.115,1481.56,176.359,-596.848,1399.13,-324.597,-393.644,688.198,-303.819,-344.239,724.018,-247.893,-373.864,738.395,-337.133,-406.645,717.555,142.746,-404.877,713.385,186.62,-359.367,705.349,220.044,-397.494,662.304,239.868,-411.154,689.676,-746.202,-829.384,1252.61,-733.099,-826.81,1292.1,-697.886,-828.917,1261.62,-714.713,756.238,1243.67,-686.112,753.618,1282.39,-725.941,754.256,1292.05,-713.729,-468.066,1243.8,-702.108,-469.538,1289.71,-745.935,-468.059,1274.38,0.374301,-1.35434,1.70977,0
2500597,-89.9903,90.0026,-14.993,44.9906,5.00366,4.9923,-174.997,89.9847,90.0063,14.9965,44.9897,5.00035,4.99116,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.33893,-0.88662,1.91874,-6.98526,-0.673803,-1.70348,-0.596009,-7.52892,3.31119,-2.5829,-5.54031,-0.981091,-1.09352,-0.0353987,0.0361792,-0.640087,1.39697,1.85412,0.324356,-1.53863,-0.0528003,-0.643796,1.4021,-1.96124,0.290551,-1.59358,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245268,-0.979734,0.765663,0.235068,-0.952183,0.733924,0,0,0,0,0,0,0,0,0,0,0,0,-7.87002e-05,-1.21315,1.31489,-174.7,-594.534,1468.83,-156.431,-631.78,1506.29,-195.23,-607.432,1413.53,162.304,-589.159,1451.94,152.766,-612.176,1481.53,176.38,-596.928,1399.11,-324.515,-393.87,688.093,-303.765,-344.431,723.914,-247.793,-374.077,738.296,-337.067,-406.829,717.426,142.934,-405.223,713.322,186.686,-359.586,705.281,220.093,-397.768,662.228,239.948,-411.391,689.63,-746.206,-829.385,1252.61,-733.121,-826.804,1292.11,-697.914,-828.932,1261.62,-714.703,756.234,1243.67,-686.072,753.649,1282.42,-726.011,754.382,1292.13,-713.769,-468.087,1243.8,-702.11,-469.585,1289.72,-746.08,-468.015,1274.41,0.374295,-1.35434,1.70977,0
2500598,-89.9903,90.0026,-14.993,44.9905,5.00366,4.9923,-174.997,89.9847,90.0063,14.9965,44.9897,5.00035,4.99105,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.34536,-0.88401,1.92944,-7.00158,-0.69037,-1.73145,-0.601999,-7.50878,3.29844,-2.58998,-5.55576,-0.995506,-1.08055,-0.0306896,0.0361233,-0.640057,1.39698,1.85387,0.324206,-1.53931,-0.0530457,-0.643822,1.40207,-1.96121,0.293029,-1.5988,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245241,-0.979919,0.765678,0.235079,-0.952326,0.733953,0,0,0,0,0,0,0,0,0,0,0,0,-5.0396e-05,-1.21318,1.31487,-174.706,-594.563,1468.77,-156.712,-631.993,1505.95,-195.263,-607.478,1413.47,162.292,-589.222,1451.91,152.745,-612.248,1481.51,176.347,-597.012,1399.08,-324.495,-394.016,687.981,-303.679,-344.618,723.776,-247.706,-374.271,738.17,-337.034,-407.009,717.317,142.936,-405.404,713.282,186.751,-359.835,705.189,219.901,-397.731,662.069,240.133,-411.739,689.437,-746.216,-829.389,1252.62,-733.135,-826.794,1292.11,-697.919,-828.926,1261.62,-714.696,756.23,1243.66,-686.097,753.612,1282.38,-725.986,754.345,1292.1,-713.689,-468.086,1243.74,-702.122,-469.561,1289.72,-746.079,-468.009,1274.41,0.374319,-1.35434,1.70978,0
2500599,-89.9903,90.0026,-14.993,44.9905,5.00366,4.9923,-174.997,89.9846,90.0063,14.9965,44.9896,5.00035,4.99083,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.35309,-0.868559,1.94238,-7.02739,-0.704422,-1.71126,-0.602264,-7.51621,3.29713,-2.60236,-5.57985,-0.995291,-1.0945,-0.0428745,0.0362255,-0.64147,1.39675,1.85405,0.319302,-1.53757,-0.0528145,-0.643729,1.40197,-1.96163,0.290763,-1.59302,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245217,-0.980094,0.765691,0.235093,-0.95247,0.733982,0,0,0,0,0,0,0,0,0,0,0,0,-2.21769e-05,-1.21322,1.31485,-174.723,-594.591,1468.75,-156.449,-631.708,1506.14,-195.273,-607.534,1413.43,162.269,-589.518,1451.69,152.729,-612.328,1481.5,176.338,-597.121,1399.06,-324.397,-394.184,687.886,-303.625,-344.782,723.688,-247.638,-374.423,738.104,-336.884,-407.252,717.246,142.962,-405.566,713.193,186.848,-360.076,705.111,219.961,-397.944,662.011,240.154,-411.968,689.382,-746.233,-829.397,1252.61,-733.135,-826.814,1292.09,-697.939,-828.896,1261.6,-714.703,756.251,1243.66,-686.119,753.606,1282.35,-725.934,754.265,1292.05,-713.747,-468.055,1243.77,-702.099,-469.591,1289.73,-745.96,-468.048,1274.38,0.374309,-1.35433,1.70976,0
2500600,-89.9902,90.0026,-14.993,44.9904,5.00366,4.99224,-174.997,89.9846,90.0063,14.9965,44.9895,5.00035,4.99073,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.44011,-0.892453,1.97307,-7.02197,-0.69818,-1.71519,-0.609022,-7.51457,3.25244,-2.63753,-5.55814,-0.985964,-1.09568,-0.0378774,0.0362639,-0.641674,1.3967,1.85436,0.319106,-1.53658,-0.0529019,-0.644021,1.40192,-1.96175,0.290098,-1.59481,-0.710152,-0.0364438,1.25803,0.0106211,0.999941,0.00247743,-0.245197,-0.980258,0.765703,0.235109,-0.952616,0.734013,0,0,0,0,0,0,0,0,0,0,0,0,6.23831e-06,-1.21326,1.31484,-174.715,-594.622,1468.68,-156.496,-631.77,1506.1,-195.289,-607.549,1413.39,162.245,-589.597,1451.66,152.716,-612.408,1481.47,176.337,-597.198,1399.03,-324.339,-394.354,687.786,-303.545,-344.967,723.587,-247.564,-374.581,738.029,-336.821,-407.398,717.159,142.842,-405.603,713.32,186.905,-360.338,705.017,219.999,-398.191,661.976,240.082,-412.058,689.498,-746.234,-829.387,1252.63,-733.132,-826.803,1292.09,-697.926,-828.912,1261.63,-714.697,756.242,1243.68,-686.123,753.591,1282.36,-725.991,754.375,1292.14,-713.747,-468.08,1243.77,-702.104,-469.58,1289.7,-746.088,-468.017,1274.41,0.374238,-1.3543,1.70984,0
2500601,-89.9901,90.0026,-14.993,44.9903,5.00366,4.99219,-174.996,89.9846,90.0063,14.9965,44.9895,5.00035,4.99062,5.00017,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.47384,-0.879245,1.99395,-7.01572,-0.702145,-1.72471,-0.623411,-7.50033,3.27013,-2.60177,-5.59069,-1.01753,-1.09527,-0.0409423,0.0361886,-0.641549,1.39669,1.85432,0.319181,-1.53798,-0.0530518,-0.643143,1.40215,-1.96109,0.295876,-1.59857,-0.710155,-0.0364445,1.25803,0.0106209,0.999941,0.00247844,-0.24518,-0.980413,0.765712,0.235126,-0.952762,0.734044,0,0,0,0,0,0,0,0,0,0,0,0,3.44189e-05,-1.2133,1.31482,-174.745,-594.464,1468.85,-156.788,-632.094,1505.81,-195.313,-607.588,1413.36,162.245,-589.678,1451.64,152.684,-612.492,1481.45,176.322,-597.305,1399.01,-324.26,-394.54,687.691,-303.49,-345.099,723.501,-247.536,-374.718,737.922,-336.764,-407.563,717.059,142.954,-405.915,713.252,186.955,-360.572,704.951,220.061,-398.441,661.929,240.153,-412.354,689.397,-746.228,-829.392,1252.6,-733.129,-826.814,1292.09,-697.922,-828.904,1261.61,-714.712,756.243,1243.68,-686.151,753.579,1282.36,-725.994,754.353,1292.12,-713.795,-468.071,1243.79,-702.083,-469.599,1289.75,-746.089,-468.022,1274.41,0.374241,-1.3543,1.70985,0
