frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,dq_cur_left_0,dq_cur_left_1,dq_cur_left_2,dq_cur_left_3,dq_cur_left_4,dq_cur_left_5,dq_cur_left_6,dq_cur_right_0,dq_cur_right_1,dq_cur_right_2,dq_cur_right_3,dq_cur_right_4,dq_cur_right_5,dq_cur_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,left_fplate_x,left_fplate_y,left_fplate_z,right_fplate_x,right_fplate_y,right_fplate_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx,sub_action_idx
2362995,-90.0024,90.001,-14.9977,44.9917,5.00238,4.99273,-174.997,90.0048,90.0071,15.0001,44.9947,5.00095,4.99419,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0,-0.000303151,0,-0.000607678,-0.00060676,0,0,0,0,0,0,0,-5.14639,-0.898907,-1.23225,-5.38164,-0.657784,-2.03092,-0.648264,4.28748,3.70347,0.317864,-5.40311,-0.578709,-1.01583,-0.470451,0.0112544,-0.0536461,1.34371,1.82636,-0.117988,-1.44816,-0.0748884,-0.0627606,1.34901,-1.96055,-0.14684,-1.49355,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269369,-0.465808,1.57791,0,0,0,6.69725,3.5637,-32.6474,-202.925,-2.77318,1389.79,-182.545,-19.0959,1439.33,-220.277,-40.3165,1345.42,130.857,27.9046,1369.7,122.52,19.0439,1406.69,146.822,0.277002,1325.14,147.689,-66.4391,600.187,194.438,-114.336,571.641,116.994,-110.458,621.687,214.53,-114.537,601.801,-345.805,-158.465,599.112,-274.754,-113.44,634.162,-348.456,-100.526,645.954,-333.777,-99.8359,606.422,-810.191,-715.729,1285.75,-784.885,-714.758,1244.97,-761.435,-717.865,1279.24,0,0,0,-755.735,866.166,1244.84,-752.899,867.974,1295.08,-805.2,-358.296,1259.17,-760.828,-357.821,1256.08,-780.059,-356.324,1295.97,0.359253,-1.33294,1.70602,0,0
2362996,-90.0024,90.001,-14.9977,44.9917,5.00238,4.99273,-174.997,90.0048,90.0071,15.0001,44.9947,5.00095,4.99419,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0,-0.000303151,0,-0.000607212,-0.000606307,0,0,0,0,0,0,0,-5.11518,-0.861085,-1.21377,-5.37389,-0.652746,-2.00314,-0.619223,4.28402,3.68576,0.341706,-5.35913,-0.543359,-1.00666,-0.459408,0.0111934,-0.0535779,1.34371,1.82647,-0.118196,-1.44906,-0.0748715,-0.0627324,1.34901,-1.96063,-0.146983,-1.49299,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269374,-0.465808,1.57791,0,0,0,7.01624,3.77173,-29.9698,-202.94,-2.78652,1389.78,-182.545,-19.0831,1439.33,-220.276,-40.3217,1345.42,130.862,27.8952,1369.7,122.51,19.0481,1406.7,146.805,0.265207,1325.15,147.671,-66.4561,600.188,194.365,-114.779,571.542,117.117,-110.373,621.749,214.536,-114.551,601.811,-345.806,-158.462,599.124,-274.738,-113.451,634.158,-348.46,-100.514,645.967,-333.758,-99.8182,606.428,-810.201,-715.725,1285.76,-784.824,-714.759,1244.98,-761.473,-717.885,1279.31,0,0,0,-755.721,866.179,1244.83,-752.202,867.235,1295.03,-805.194,-358.301,1259.16,-760.847,-357.81,1256.07,-780.067,-356.329,1295.97,0.35924,-1.33295,1.70603,0,0
2362997,-90.0024,90.001,-14.9977,44.9916,5.00238,4.99273,-174.997,90.0049,90.0075,15.0001,44.9943,5.00101,4.99419,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.000910139,-0.000303154,0,-0.000607218,-0.000606301,0.00121352,0.00364607,0,-0.00364056,0.00060676,0,0,-5.14033,-0.903255,-1.21014,-5.38746,-0.65128,-2.02141,-0.632213,4.29408,3.67445,0.334245,-5.36708,-0.568991,-1.00936,-0.475186,0.011197,-0.0534973,1.34367,1.82661,-0.118173,-1.44897,-0.0748882,-0.0627685,1.34898,-1.96076,-0.146775,-1.49331,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269373,-0.465808,1.57791,0,0,0,8.51003,4.55609,-30.432,-202.929,-2.79854,1389.79,-182.54,-19.0999,1439.32,-220.282,-40.3203,1345.43,130.862,27.9113,1369.69,122.508,19.0435,1406.69,146.813,0.262522,1325.16,147.681,-66.4529,600.184,194.422,-114.324,571.637,116.974,-110.466,621.682,214.541,-114.548,601.787,-345.806,-158.459,599.111,-274.752,-113.448,634.168,-348.458,-100.507,645.965,-333.77,-99.8337,606.418,-810.193,-715.719,1285.75,-784.769,-714.801,1245.02,-761.481,-717.864,1279.27,0,0,0,-755.864,866.288,1244.84,-752.88,867.979,1295.08,-805.19,-358.309,1259.15,-760.835,-357.809,1256.08,-780.054,-356.329,1295.97,0.35925,-1.33293,1.70603,0,0
2362998,-90.0024,90.001,-14.9977,44.9916,5.00238,4.99273,-174.997,90.0049,90.0076,15.0001,44.9941,5.00101,4.99414,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.000910139,-0.00030338,0,-0.000607218,0,0.00121536,0.00425374,0,-0.00545671,0.00060676,-0.000606307,0,-5.12903,-0.896073,-1.18346,-5.3726,-0.655722,-1.99662,-0.616906,4.29183,3.70636,0.325819,-5.40906,-0.534698,-1.0266,-0.447825,0.0110865,-0.053291,1.34365,1.82659,-0.117721,-1.45074,-0.0749003,-0.0628001,1.34901,-1.96055,-0.146844,-1.49382,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269373,-0.465808,1.57791,0,0,0,6.99232,4.2158,-31.1522,-202.92,-2.7853,1389.79,-182.543,-19.1191,1439.34,-220.282,-40.3309,1345.42,130.895,27.9176,1369.7,122.527,19.0493,1406.7,146.792,0.273783,1325.15,147.674,-66.4395,600.162,194.402,-114.332,571.632,116.985,-110.462,621.67,214.511,-114.567,601.797,-345.809,-158.454,599.101,-274.753,-113.464,634.152,-348.472,-100.511,645.944,-333.769,-99.8268,606.409,-810.198,-715.723,1285.75,-784.759,-714.785,1245.04,-761.475,-717.874,1279.29,0,0,0,-755.844,866.295,1244.83,-752.871,867.981,1295.08,-805.198,-358.311,1259.15,-760.847,-357.816,1256.09,-780.061,-356.33,1295.97,0.359233,-1.33294,1.70603,0,0
2362999,-90.0024,90.001,-14.9977,44.9916,5.00238,4.99273,-174.997,90.0049,90.0076,15.0001,44.9941,5.00101,4.99414,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.000910139,-0.00030338,0,-0.000607218,0,0.00121536,0.00425374,0,-0.00545671,0.00060676,-0.000606307,0,-5.12903,-0.896073,-1.18346,-5.3726,-0.655722,-1.99662,-0.616906,4.29183,3.70636,0.325819,-5.40906,-0.534698,-1.0266,-0.447825,0.0110865,-0.053291,1.34365,1.82659,-0.117721,-1.45074,-0.0749003,-0.0628001,1.34901,-1.96055,-0.146844,-1.49382,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269373,-0.465808,1.57791,0,0,0,6.99232,4.2158,-31.1522,-202.926,-2.79448,1389.79,-182.542,-19.089,1439.32,-220.282,-40.328,1345.42,130.886,27.9203,1369.7,122.531,19.0574,1406.69,146.86,0.312815,1325.15,147.669,-66.441,600.175,194.407,-114.318,571.637,116.984,-110.46,621.673,214.532,-114.545,601.788,-345.799,-158.458,599.094,-274.741,-113.468,634.136,-348.458,-100.51,645.95,-333.767,-99.8353,606.406,-810.206,-715.73,1285.75,-784.875,-714.754,1244.97,-761.421,-717.84,1279.25,0,0,0,-755.844,866.303,1244.82,-752.821,867.961,1295.08,-805.192,-358.327,1259.17,-760.841,-357.826,1256.07,-780.058,-356.334,1295.96,0.359233,-1.33294,1.70603,0,0
2363000,-90.0024,90.001,-14.9977,44.9916,5.00238,4.99267,-174.997,90.005,90.0076,15.0001,44.9941,5.00101,4.99414,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.000910148,-0.000606301,0,-0.00106262,0,0.00151919,0.00425053,0,-0.00575986,0.00060676,-0.00060676,0,-5.1401,-0.879106,-1.19637,-5.40584,-0.658198,-2.01646,-0.633029,4.28959,3.68858,0.325257,-5.38415,-0.546209,-1.0172,-0.478813,0.0112822,-0.0536212,1.34365,1.82678,-0.117971,-1.44838,-0.0748849,-0.062791,1.349,-1.96068,-0.146874,-1.49339,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269368,-0.465808,1.57791,0,0,0,7.75761,4.23173,-30.4134,-202.943,-2.79128,1389.79,-182.533,-19.0915,1439.34,-220.288,-40.3194,1345.43,130.891,27.9349,1369.7,122.534,19.0727,1406.71,146.835,0.31805,1325.15,147.669,-66.4402,600.173,194.384,-114.769,571.567,117.102,-110.368,621.743,214.539,-114.535,601.787,-345.789,-158.461,599.084,-274.74,-113.477,634.126,-348.463,-100.513,645.943,-333.754,-99.8234,606.413,-810.207,-715.731,1285.75,-784.839,-714.734,1244.99,-761.444,-717.887,1279.23,0,0,0,-755.736,866.2,1244.83,-752.873,867.991,1295.08,-805.192,-358.316,1259.16,-760.836,-357.81,1256.07,-780.067,-356.34,1295.96,0.359226,-1.33294,1.70603,0,0
2363001,-90.0024,90.001,-14.9977,44.9916,5.00238,4.99267,-174.997,90.005,90.0076,15.0001,44.994,5.00101,4.99409,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.000911517,-0.000607678,0,-0.00106103,0.000606301,0.00151805,0.00486142,0,-0.00652267,0.00060676,-0.00106103,0,-5.12569,-0.868105,-1.21569,-5.36054,-0.658905,-1.9881,-0.653208,4.29809,3.69117,0.335323,-5.37302,-0.560894,-1.03421,-0.463909,0.0112641,-0.0535447,1.34364,1.82696,-0.118256,-1.44863,-0.0748574,-0.062716,1.34897,-1.96081,-0.146555,-1.49282,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269368,-0.465808,1.57791,0,0,0,7.75734,4.36135,-32.0737,-202.927,-2.79175,1389.8,-182.523,-19.092,1439.33,-220.27,-40.3134,1345.42,130.886,27.9389,1369.7,122.521,19.0769,1406.7,146.864,0.299558,1325.17,147.671,-66.439,600.165,194.369,-114.771,571.548,117.119,-110.359,621.739,214.542,-114.54,601.812,-345.803,-158.448,599.081,-274.724,-113.494,634.11,-348.476,-100.496,645.955,-333.78,-99.8087,606.411,-810.205,-715.721,1285.75,-784.784,-714.755,1245.01,-761.456,-717.861,1279.28,0,0,0,-755.667,866.175,1244.85,-752.878,867.986,1295.08,-805.205,-358.33,1259.17,-760.844,-357.819,1256.08,-780.061,-356.342,1295.98,0.359235,-1.33295,1.70604,0,0
2363002,-90.0024,90.001,-14.9977,44.9916,5.00238,4.99262,-174.997,90.005,90.0076,15.0001,44.994,5.00101,4.99403,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.000911517,-0.000759605,0,-0.00166733,0.000606301,0.00151919,0.00485775,0,-0.00697774,0.000606301,-0.00166859,0,-5.14809,-0.894523,-1.18102,-5.38028,-0.689531,-2.01337,-0.61584,4.26791,3.6904,0.295441,-5.36553,-0.52851,-1.0163,-0.459315,0.011129,-0.0533606,1.34365,1.82673,-0.117708,-1.45043,-0.0748813,-0.0627985,1.34903,-1.9605,-0.146815,-1.49365,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269369,-0.465808,1.57791,0,0,0,7.9198,4.71293,-29.831,-202.916,-2.78096,1389.8,-182.549,-19.0719,1439.32,-220.268,-40.2854,1345.43,130.902,27.9311,1369.71,122.53,19.0703,1406.71,146.813,0.313125,1325.15,147.673,-66.4354,600.166,194.42,-114.327,571.646,116.985,-110.456,621.677,214.532,-114.557,601.808,-345.8,-158.458,599.087,-274.735,-113.485,634.146,-348.439,-100.518,645.947,-333.759,-99.8455,606.392,-810.204,-715.717,1285.74,-784.804,-714.752,1245.01,-761.478,-717.883,1279.3,0,0,0,-755.831,866.307,1244.83,-752.178,867.253,1295.04,-805.206,-358.326,1259.18,-760.841,-357.8,1256.08,-780.058,-356.34,1295.98,0.35923,-1.33294,1.70603,0,0
2363003,-90.0024,90.001,-14.9977,44.9916,5.00238,4.99262,-174.997,90.005,90.0076,15.0001,44.9939,5.00101,4.99398,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.000911517,-0.000759023,0,-0.00106102,0.00106263,0.00182165,0.00486142,0,-0.00728662,0.000607678,-0.00212208,0,-5.15222,-0.925918,-1.24064,-5.36935,-0.692997,-2.01232,-0.632368,4.29187,3.71079,0.30423,-5.37041,-0.558467,-1.01377,-0.471599,0.0111269,-0.0533249,1.34366,1.82661,-0.117768,-1.45024,-0.0748815,-0.0627306,1.34899,-1.96066,-0.146496,-1.49337,-0.762181,0.0747051,1.25727,0.0096665,0.999953,0.00112865,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269371,-0.465808,1.57791,0,0,0,7.30033,4.34219,-32.5115,-202.923,-2.7706,1389.8,-182.541,-19.0822,1439.32,-220.275,-40.2897,1345.43,130.895,27.94,1369.71,122.531,19.075,1406.7,146.804,0.306872,1325.17,147.671,-66.4242,600.176,194.424,-114.328,571.647,116.983,-110.457,621.664,214.531,-114.543,601.799,-345.809,-158.452,599.086,-274.727,-113.449,634.133,-348.467,-100.488,645.96,-333.758,-99.8332,606.402,-810.192,-715.726,1285.74,-784.917,-714.705,1244.96,-761.466,-717.887,1279.26,0,0,0,-755.699,866.213,1244.85,-752.821,867.954,1295.08,-805.206,-358.349,1259.16,-760.831,-357.818,1256.08,-780.064,-356.329,1295.97,0.359232,-1.33294,1.70603,0,0
2363004,-90.0024,90.001,-14.9976,44.9916,5.00238,4.99257,-174.997,90.005,90.0076,15.0001,44.9939,5.00101,4.99392,5.00036,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0,0,0.00121536,-0.000759597,0,-0.00166733,0.00106263,0.00182303,0.00485775,0,-0.00789981,0.000607684,-0.00273042,0,-5.1379,-0.85831,-1.21021,-5.35575,-0.660484,-2.00736,-0.624821,4.26131,3.70692,0.322604,-5.39763,-0.529187,-0.999335,-0.454521,0.0112182,-0.0535293,1.34367,1.82667,-0.118065,-1.44902,-0.074876,-0.0628171,1.34905,-1.9604,-0.146896,-1.49382,-0.762185,0.0747104,1.25727,0.00966717,0.999953,0.00112753,6.7367e-310,6.7367e-310,6.7367e-310,5.21055e-310,6.73676e-310,5.21055e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0269373,-0.465808,1.57791,0,0,0,7.77409,4.39903,-29.5236,-202.906,-2.76884,1389.8,-182.546,-19.0593,1439.33,-220.263,-40.2914,1345.43,130.88,27.9249,1369.7,122.522,19.0666,1406.7,146.831,0.300157,1325.16,147.672,-66.4234,600.182,194.419,-114.327,571.638,116.986,-110.464,621.667,214.536,-114.52,601.807,-345.8,-158.445,599.089,-274.737,-113.462,634.141,-348.451,-100.501,645.956,-333.738,-99.8344,606.405,-810.203,-715.727,1285.75,-784.911,-714.726,1244.99,-761.451,-717.921,1279.18,0,0,0,-755.684,866.201,1244.86,-752.209,867.258,1295.04,-805.211,-358.328,1259.17,-760.836,-357.807,1256.07,-780.063,-356.328,1295.98,0.359235,-1.33294,1.70603,0,0
