frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx
1304807,-90.003,90.0022,-14.998,44.9928,5.002,4.99436,-175.001,90.0007,90.0037,15.0043,44.9957,4.99384,4.98944,4.9984,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.85404,0.528792,-0.272786,-5.56693,-0.795708,-1.96167,0.105921,3.00978,3.10536,0.125115,-5.7623,-0.815366,-1.30395,-0.614201,0.0290809,-0.32605,1.34023,1.85772,-0.0759904,-1.51636,-0.057926,-0.325455,1.34263,-1.93039,-0.11468,-1.57725,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.59623e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0137959,-0.736053,1.57609,-181.976,-256.428,1381.88,-164.467,-275.642,1431.29,-200.855,-290.534,1335.86,152.826,-252.514,1372.9,142.828,-262.206,1409.31,168.204,-278.393,1327.52,-314.284,-364.107,582.093,-297.341,-306.837,591.834,-240.49,-326.405,620.515,-313.179,-308.07,630.921,153.233,-353.635,618.832,187.794,-311.222,600.447,231.257,-361.931,570.498,250.507,-364.27,601.417,-789.529,-710.524,1298.44,-806.335,-709.287,1255.19,-764.715,-712.808,1256.48,-784.816,872.807,1289.61,0,0,0,-737.074,871.597,1276.19,-805.867,-352.315,1282.58,-780.056,-352.93,1244.86,-759.996,-351.35,1285.6,0.359721,-1.33309,1.70618,0
1304808,-90.003,90.0022,-14.998,44.9928,5.002,4.99436,-175.001,90.0007,90.0037,15.0043,44.9957,4.99384,4.98944,4.9984,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.82282,0.5534,-0.276135,-5.51744,-0.780512,-1.9572,0.10635,3.01774,3.1505,0.154713,-5.77099,-0.79901,-1.30807,-0.619565,0.0291336,-0.326198,1.34024,1.85774,-0.0762423,-1.51544,-0.057929,-0.32545,1.34264,-1.93034,-0.114538,-1.57739,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.61269e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.013796,-0.736053,1.57609,-181.972,-256.419,1381.89,-164.468,-275.652,1431.31,-200.855,-290.53,1335.87,152.809,-252.521,1372.9,142.82,-262.205,1409.31,168.21,-278.379,1327.53,-314.287,-364.12,582.09,-297.348,-306.855,591.845,-240.498,-326.39,620.532,-313.179,-308.069,630.915,153.209,-353.62,618.848,187.788,-311.347,600.354,231.243,-361.927,570.525,250.525,-364.272,601.437,-789.511,-710.545,1298.45,-806.339,-709.277,1255.2,-764.688,-712.797,1256.44,-784.709,872.769,1289.59,0,0,0,-737.056,871.582,1276.2,-805.878,-352.318,1282.58,-780.063,-352.901,1244.85,-760.001,-351.334,1285.59,0.359706,-1.33307,1.70618,0
1304809,-90.003,90.0022,-14.998,44.9928,5.002,4.99436,-175.001,90.0007,90.0037,15.0043,44.9957,4.99384,4.98944,4.9984,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.82282,0.5534,-0.276135,-5.51744,-0.780512,-1.9572,0.10635,3.01774,3.1505,0.154713,-5.77099,-0.79901,-1.30807,-0.619565,0.0290974,-0.326134,1.34018,1.85813,-0.0761103,-1.51628,-0.0579451,-0.325458,1.34257,-1.93076,-0.114503,-1.57734,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.62915e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0137963,-0.736053,1.57609,-181.972,-256.426,1381.88,-164.447,-275.655,1431.29,-200.867,-290.501,1335.88,152.817,-252.523,1372.89,142.805,-262.199,1409.31,168.217,-278.377,1327.52,-314.292,-364.112,582.101,-297.336,-306.85,591.842,-240.471,-326.407,620.554,-313.187,-308.059,630.927,153.218,-353.64,618.825,187.777,-311.212,600.452,231.258,-361.943,570.533,250.498,-364.282,601.427,-789.518,-710.532,1298.46,-806.395,-709.157,1254.96,-764.695,-712.809,1256.44,-784.804,872.827,1289.61,0,0,0,-737.082,871.589,1276.18,-805.885,-352.303,1282.59,-780.039,-352.94,1244.86,-760.018,-351.325,1285.58,0.359731,-1.33308,1.70617,0
1304810,-90.003,90.0022,-14.9979,44.9927,5.002,4.99431,-175.001,90.0008,90.004,15.0044,44.9953,4.99384,4.98933,4.9984,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.85223,0.527042,-0.286938,-5.52278,-0.804164,-1.9435,0.117976,3.00366,3.15034,0.152229,-5.76075,-0.812596,-1.29971,-0.640097,0.0291137,-0.326103,1.34019,1.85798,-0.0759538,-1.51593,-0.0579311,-0.325452,1.3426,-1.93047,-0.114293,-1.57735,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.64562e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0137964,-0.736053,1.57609,-181.971,-256.419,1381.89,-164.461,-275.646,1431.29,-200.858,-290.504,1335.86,152.817,-252.51,1372.9,142.817,-262.201,1409.3,168.219,-278.381,1327.53,-314.277,-364.118,582.088,-297.352,-306.844,591.834,-240.503,-326.38,620.521,-313.195,-308.055,630.919,153.222,-353.638,618.837,187.785,-311.213,600.445,231.234,-361.922,570.52,250.491,-364.269,601.42,-789.505,-710.534,1298.46,-806.325,-709.26,1255.18,-764.708,-712.796,1256.42,-784.777,872.825,1289.61,0,0,0,-737.047,871.571,1276.22,-805.863,-352.309,1282.57,-780.058,-352.919,1244.88,-759.998,-351.332,1285.59,0.359717,-1.33308,1.70617,0
1304811,-90.003,90.0022,-14.9979,44.9927,5.002,4.99426,-175.001,90.0008,90.0042,15.0044,44.9952,4.99384,4.989,4.99835,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.83312,0.580591,-0.280678,-5.53426,-0.780062,-1.95627,0.131855,2.98824,3.13166,0.123116,-5.73811,-0.834277,-1.30848,-0.640793,0.0291014,-0.326065,1.34017,1.85815,-0.0757639,-1.51623,-0.0579277,-0.325477,1.34266,-1.93027,-0.114767,-1.57741,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.6621e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0137966,-0.736053,1.57609,-181.973,-256.412,1381.89,-164.462,-275.65,1431.34,-200.854,-290.521,1335.86,152.82,-252.506,1372.91,142.811,-262.201,1409.31,168.225,-278.379,1327.52,-314.28,-364.111,582.091,-297.344,-306.839,591.846,-240.483,-326.396,620.543,-313.195,-308.059,630.926,153.206,-353.642,618.84,187.768,-311.22,600.452,231.232,-361.927,570.509,250.506,-364.282,601.419,-789.572,-710.467,1298.49,-806.316,-709.284,1255.2,-764.711,-712.786,1256.45,-784.821,872.866,1289.61,0,0,0,-737.054,871.591,1276.19,-805.874,-352.3,1282.58,-780.014,-352.935,1244.88,-760.001,-351.305,1285.59,0.359725,-1.33309,1.70617,0
1304812,-90.003,90.0022,-14.9979,44.9926,5.002,4.9942,-175.001,90.0008,90.0043,15.0044,44.9952,4.99384,4.98873,4.99835,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.81999,0.624949,-0.287833,-5.52254,-0.781845,-1.94633,0.105827,3.02689,3.13378,0.13092,-5.73462,-0.806967,-1.28137,-0.614206,0.0290868,-0.326048,1.34024,1.85761,-0.0759741,-1.51605,-0.0579242,-0.325431,1.34261,-1.93056,-0.114674,-1.57708,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.67858e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0137967,-0.736053,1.57609,-181.978,-256.41,1381.88,-164.449,-275.647,1431.32,-200.857,-290.498,1335.87,152.814,-252.498,1372.9,142.827,-262.192,1409.31,168.198,-278.394,1327.52,-314.279,-364.118,582.093,-297.333,-306.862,591.831,-240.474,-326.411,620.537,-313.16,-308.077,630.913,153.2,-353.643,618.827,187.77,-311.235,600.442,231.245,-361.92,570.51,250.483,-364.282,601.43,-789.524,-710.52,1298.47,-806.328,-709.266,1255.19,-764.705,-712.819,1256.47,-784.805,872.824,1289.61,0,0,0,-737.07,871.592,1276.18,-805.877,-352.308,1282.57,-780.029,-352.935,1244.84,-760.004,-351.32,1285.58,0.359861,-1.33299,1.7061,0
1304813,-90.003,90.0022,-14.9979,44.9926,5.002,4.99415,-175.001,90.0008,90.0043,15.0044,44.9952,4.99384,4.98846,4.99835,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.85136,0.57375,-0.264923,-5.50276,-0.789804,-1.94352,0.125304,3.02256,3.13799,0.114168,-5.73878,-0.809396,-1.30345,-0.636143,0.0291489,-0.326208,1.34023,1.85778,-0.0761957,-1.51527,-0.0579326,-0.325489,1.34263,-1.93051,-0.114692,-1.57738,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.69506e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0137968,-0.736053,1.57609,-181.968,-256.413,1381.89,-164.446,-275.646,1431.34,-200.859,-290.498,1335.87,152.81,-252.505,1372.89,142.82,-262.196,1409.31,168.221,-278.37,1327.52,-314.288,-364.108,582.105,-297.324,-306.862,591.841,-240.45,-326.411,620.524,-313.182,-308.071,630.925,153.21,-353.663,618.839,187.767,-311.22,600.455,231.216,-361.945,570.506,250.482,-364.275,601.416,-789.531,-710.536,1298.46,-806.387,-709.16,1254.97,-764.708,-712.789,1256.45,-784.813,872.815,1289.61,0,0,0,-737.072,871.603,1276.17,-805.888,-352.294,1282.58,-780.068,-352.89,1244.88,-759.998,-351.31,1285.57,0.359718,-1.3331,1.70617,0
1304814,-90.003,90.0022,-14.9979,44.9926,5.002,4.99409,-175.001,90.0008,90.0043,15.0044,44.9952,4.99384,4.98819,4.99835,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.86655,0.604691,-0.286017,-5.54013,-0.785968,-1.94944,0.115925,2.99423,3.12525,0.110739,-5.72459,-0.795344,-1.30777,-0.622645,0.0290569,-0.32595,1.34019,1.85803,-0.0759834,-1.51681,-0.0579565,-0.32551,1.34262,-1.93038,-0.114412,-1.57778,-0.766139,0.07987,1.26369,0.0135981,0.999904,0.00280071,6.67937e-310,6.67937e-310,0,5.13508e-310,2.71153e-318,6.67937e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0137969,-0.736053,1.57609,-181.971,-256.411,1381.89,-164.472,-275.639,1431.3,-200.869,-290.489,1335.86,152.825,-252.496,1372.9,142.815,-262.184,1409.3,168.206,-278.395,1327.53,-314.283,-364.112,582.096,-297.343,-306.839,591.841,-240.506,-326.371,620.546,-313.186,-308.071,630.925,153.212,-353.635,618.837,187.786,-311.22,600.462,231.234,-361.947,570.522,250.495,-364.277,601.419,-789.54,-710.526,1298.47,-806.348,-709.266,1255.19,-764.693,-712.82,1256.45,-784.803,872.784,1289.6,0,0,0,-736.903,871.637,1276.22,-805.883,-352.305,1282.58,-780.065,-352.931,1244.88,-760.02,-351.318,1285.6,0.35972,-1.33308,1.70617,0
