frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx
1779706,-89.993,90.0012,-14.9945,44.9905,4.99862,4.99382,-175.001,89.9806,90.0081,14.9987,44.9916,4.99942,4.98863,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.2323,-0.601262,1.58787,-6.72204,-0.317445,-2.13122,-0.0861092,-7.51603,4.23763,-1.8511,-5.52807,-1.17662,-1.38661,-0.489683,0.0129632,-0.591258,1.48784,-2.00132,0.257798,-1.64583,0.100658,-0.593216,1.48102,1.83006,0.251457,-1.58159,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.259854,-1.0001,0.804168,0.115298,-0.992924,1.43254,-0.159713,-0.773718,0.933117,0.232443,-0.745642,0.948523,0.0439686,-0.978337,1.22424,0.0499083,-0.961516,1.28683,0.0666991,-1.02598,1.70148,229.764,-542.887,1529.51,220.107,-563.325,1560.96,242.307,-554.834,1477.15,-104.105,-536.242,1557.39,-86.0814,-573.115,1594.75,-127.331,-550.704,1503.42,279.099,-406.663,727.867,203.216,-409.024,780.504,248.049,-365.236,769.017,299.219,-419.462,755.823,-291.699,-391.102,800.822,-255.943,-329.412,801.882,-279.869,-380.097,770.138,-200.395,-359.991,816.023,0,0,0,-748.354,-789.259,1274.09,-703.072,-791.587,1287.72,-688.547,792.873,1253.22,-705.575,791.384,1297.54,-736.651,791.813,1270.05,-727.093,-433.339,1295.62,-738.465,-430.345,1251.58,-695.757,-430.991,1261.45,0.374003,-1.35576,1.71061,0
1779707,-89.993,90.0012,-14.9945,44.9904,4.99862,4.99382,-175.001,89.9803,90.0082,14.9987,44.9914,4.99942,4.98852,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.21779,-0.647938,1.59276,-6.69533,-0.342414,-2.13048,-0.0920755,-7.60818,4.28836,-1.90318,-5.5103,-1.16588,-1.37291,-0.484418,0.0125087,-0.591369,1.48747,-2.00186,0.260867,-1.65,0.10061,-0.593861,1.48082,1.83147,0.251295,-1.57862,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.259147,-1.00017,0.80422,0.1161,-0.992572,1.4325,-0.156916,-0.776546,0.932466,0.232114,-0.745867,0.948604,0.0432539,-0.978222,1.22429,0.0492304,-0.961421,1.2869,0.067459,-1.02646,1.7009,229.519,-542.988,1529.53,219.876,-563.386,1560.98,242.145,-554.699,1477.33,-104.305,-535.943,1557.27,-86.4212,-572.853,1594.52,-127.64,-550.122,1503.18,279.37,-407.088,727.849,203.45,-409.31,780.495,248.325,-365.594,768.978,299.461,-419.859,755.845,-291.473,-390.848,800.572,-255.634,-329.242,801.601,-279.613,-379.9,769.876,-200.103,-359.796,815.797,0,0,0,-748.377,-789.23,1274.08,-703.039,-791.645,1287.78,-688.565,792.875,1253.21,-705.578,791.395,1297.53,-736.412,791.958,1269.75,-727.104,-433.342,1295.61,-738.471,-430.328,1251.56,-695.802,-431.004,1261.49,0.373999,-1.35576,1.71062,0
1779708,-89.993,90.0012,-14.9945,44.9904,4.99862,4.99382,-175.001,89.9803,90.0082,14.9987,44.9914,4.99942,4.98852,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.21779,-0.647938,1.59276,-6.69533,-0.342414,-2.13048,-0.0920755,-7.60818,4.28836,-1.90318,-5.5103,-1.16588,-1.37291,-0.484418,0.0122032,-0.591573,1.48803,-1.9986,0.256534,-1.65399,0.100184,-0.593474,1.48098,1.83109,0.249935,-1.58204,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.258444,-1.00023,0.804273,0.116888,-0.992224,1.43246,-0.157155,-0.7764,0.932416,0.231829,-0.746148,0.948676,0.0425664,-0.978162,1.22431,0.0485868,-0.961326,1.28695,0.068205,-1.02695,1.70031,229.278,-543.096,1529.54,219.582,-563.444,1561,241.866,-555.093,1477.22,-104.564,-535.606,1557.16,-86.9865,-572.624,1594.56,-127.76,-550.025,1503.19,279.658,-407.525,727.847,203.657,-409.599,780.449,248.611,-365.954,768.947,299.705,-420.285,755.847,-291.238,-390.627,800.289,-255.349,-329.071,801.324,-279.301,-379.697,769.608,-199.754,-359.691,815.568,0,0,0,-748.425,-789.221,1274.07,-703.112,-791.566,1287.72,-688.559,792.878,1253.21,-705.578,791.396,1297.54,-736.667,791.826,1270.04,-727.145,-433.3,1295.62,-738.506,-430.317,1251.56,-695.85,-430.99,1261.45,0.374,-1.35577,1.71063,0
1779709,-89.993,90.0012,-14.9944,44.9903,4.99862,4.99377,-175.001,89.9801,90.0085,14.9987,44.9912,4.99942,4.98846,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.21987,-0.714608,1.58399,-6.72834,-0.335537,-2.13279,-0.0985713,-7.79363,4.34353,-1.98298,-5.53316,-1.1944,-1.38092,-0.503281,0.0118447,-0.592135,1.48783,-1.99802,0.255585,-1.6549,0.0999247,-0.593619,1.48099,1.8314,0.249284,-1.58169,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.257748,-1.00029,0.804324,0.117662,-0.991878,1.43243,-0.157522,-0.776121,0.932371,0.231758,-0.746546,0.948571,0.0419092,-0.978049,1.22434,0.0479273,-0.961256,1.28701,0.0689372,-1.02744,1.69973,228.991,-543.19,1529.55,219.288,-563.531,1561.03,241.596,-555.225,1477.24,-104.836,-535.264,1557.03,-87.1885,-572.264,1594.77,-128.112,-549.432,1502.88,279.91,-407.924,727.864,203.915,-409.933,780.417,248.9,-366.361,768.903,299.976,-420.725,755.872,-290.994,-390.424,799.989,-254.995,-328.914,801.013,-278.989,-379.555,769.296,-199.44,-359.502,815.343,0,0,0,-748.463,-789.197,1274.08,-703.104,-791.602,1287.76,-688.551,792.89,1253.21,-705.579,791.403,1297.53,-736.676,791.858,1270.04,-727.208,-433.286,1295.63,-738.684,-430.283,1251.61,-695.866,-430.982,1261.46,0.373994,-1.35576,1.71062,0
1779710,-89.993,90.0012,-14.9944,44.9903,4.99862,4.99377,-175.001,89.98,90.0086,14.9987,44.9912,4.99942,4.98835,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.21685,-0.761227,1.5627,-6.78419,-0.32297,-2.17816,-0.104958,-7.89122,4.46051,-2.02396,-5.51782,-1.16923,-1.37351,-0.474424,0.0116641,-0.591814,1.48773,-1.99756,0.25401,-1.65195,0.0996798,-0.59375,1.48096,1.83215,0.24876,-1.58146,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.257059,-1.00034,0.804374,0.118422,-0.991535,1.4324,-0.157834,-0.775973,0.932312,0.231483,-0.746861,0.948641,0.0412356,-0.978024,1.2244,0.0472414,-0.961197,1.2871,0.0696545,-1.02794,1.69914,228.709,-543.292,1529.58,218.988,-563.604,1561.05,241.348,-555.34,1477.3,-105.178,-534.899,1556.88,-87.3706,-571.897,1594.82,-128.409,-549.069,1502.72,280.148,-408.523,727.703,204.16,-410.265,780.377,249.237,-366.763,768.874,300.21,-421.198,755.861,-290.702,-390.229,799.669,-254.679,-328.728,800.694,-278.698,-379.396,768.995,-199.325,-360.079,814.713,0,0,0,-748.495,-789.201,1274.08,-703.157,-791.616,1287.77,-688.544,792.898,1253.22,-705.588,791.417,1297.54,-736.651,791.839,1270.04,-727.152,-433.298,1295.57,-738.585,-430.319,1251.58,-695.879,-430.962,1261.46,0.374006,-1.35577,1.71062,0
1779711,-89.9929,90.0012,-14.9944,44.9903,4.99862,4.99366,-175.001,89.98,90.0086,14.9987,44.9912,4.99942,4.98825,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.23934,-0.827073,1.56919,-6.82735,-0.307605,-2.1769,-0.0932644,-8.00537,4.47239,-2.04916,-5.51369,-1.18559,-1.37264,-0.489675,0.0119359,-0.590183,1.48783,-1.99727,0.251621,-1.64285,0.0994332,-0.593868,1.48074,1.83366,0.249016,-1.58175,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.256375,-1.00039,0.804425,0.119167,-0.991194,1.43236,-0.158139,-0.77589,0.932244,0.231185,-0.747155,0.948696,0.0405723,-0.977953,1.22446,0.046547,-0.961123,1.28718,0.0703576,-1.02844,1.69855,228.425,-543.375,1529.6,218.642,-563.669,1561.07,241.119,-555.269,1477.44,-105.454,-534.602,1556.72,-87.4296,-571.18,1594.51,-128.497,-549.288,1502.7,280.446,-409.028,727.672,204.736,-411.063,780.102,249.587,-367.217,768.809,300.477,-421.714,755.862,-290.416,-390.027,799.321,-254.235,-328.647,800.311,-278.389,-379.231,768.655,-199.004,-360.03,814.397,0,0,0,-748.538,-789.218,1274.08,-703.21,-791.618,1287.74,-688.562,792.88,1253.2,-705.59,791.401,1297.53,-736.692,791.831,1270.07,-727.235,-433.313,1295.62,-738.731,-430.297,1251.62,-695.9,-430.983,1261.45,0.373986,-1.35577,1.71061,0
1779712,-89.9929,90.0012,-14.9944,44.9902,4.99862,4.99361,-175.001,89.98,90.0086,14.9987,44.9911,4.99942,4.98803,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.27312,-0.84205,1.59163,-6.83647,-0.31544,-2.19159,-0.101048,-8.11416,4.50706,-2.09845,-5.52378,-1.17766,-1.37609,-0.474643,0.0109135,-0.590677,1.48735,-1.99758,0.258351,-1.6554,0.0990296,-0.593544,1.4807,1.83412,0.249368,-1.58426,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.255698,-1.00044,0.804474,0.119898,-0.990857,1.43233,-0.158384,-0.775836,0.932154,0.230911,-0.747496,0.948742,0.0398796,-0.977925,1.2245,0.0458163,-0.961055,1.28723,0.0710465,-1.02894,1.69796,228.131,-543.471,1529.62,218.28,-563.767,1561.08,240.814,-555.413,1477.46,-105.808,-534.269,1556.54,-88.2869,-571.288,1594.01,-129.032,-548.457,1502.38,280.768,-409.615,727.623,205.019,-411.461,780.064,249.914,-367.696,768.76,300.77,-422.283,755.907,-290.105,-389.855,798.975,-253.881,-328.52,799.989,-278.05,-379.109,768.288,-198.716,-359.945,814.112,0,0,0,-748.558,-789.211,1274.07,-703.246,-791.617,1287.74,-688.57,792.856,1253.19,-705.584,791.4,1297.53,-736.694,791.793,1270.1,-727.245,-433.315,1295.59,-738.634,-430.343,1251.57,-695.892,-431.002,1261.48,0.373997,-1.35579,1.71062,0
1779713,-89.9929,90.0012,-14.9944,44.9902,4.99862,4.99355,-175.001,89.9799,90.0086,14.9987,44.9911,4.99942,4.9877,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.34294,-0.814744,1.61604,-6.8089,-0.326426,-2.18794,-0.0940793,-8.17292,4.50965,-2.1249,-5.52596,-1.18634,-1.36499,-0.488586,0.0107733,-0.590099,1.48741,-1.99698,0.256029,-1.65344,0.0986495,-0.593443,1.4807,1.83461,0.248776,-1.58594,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.25503,-1.00048,0.804522,0.120614,-0.990523,1.4323,-0.157463,-0.777043,0.932273,0.230654,-0.747821,0.948798,0.0391845,-0.977836,1.22459,0.0451295,-0.961027,1.28729,0.0717209,-1.02945,1.69737,227.818,-543.57,1529.64,217.911,-563.842,1561.12,240.504,-555.563,1477.5,-106.096,-533.982,1556.36,-88.5723,-570.846,1593.81,-129.231,-548.408,1502.31,281.133,-409.978,727.8,205.27,-411.885,779.979,250.219,-368.162,768.693,301.045,-422.846,755.884,-289.777,-389.71,798.603,-253.507,-328.384,799.593,-277.751,-378.965,767.913,-198.211,-359.434,814.05,0,0,0,-748.577,-789.23,1274.06,-703.267,-791.633,1287.73,-688.577,792.846,1253.21,-705.602,791.376,1297.54,-736.408,791.943,1269.74,-727.228,-433.311,1295.55,-738.632,-430.348,1251.55,-695.947,-431.037,1261.46,0.373979,-1.35578,1.71062,0
1779714,-89.9929,90.0012,-14.9944,44.9902,4.99862,4.99355,-175.001,89.9799,90.0086,14.9987,44.9911,4.99942,4.9877,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.34294,-0.814744,1.61604,-6.8089,-0.326426,-2.18794,-0.0940793,-8.17292,4.50965,-2.1249,-5.52596,-1.18634,-1.36499,-0.488586,0.0103043,-0.590199,1.4871,-1.99646,0.257653,-1.65489,0.0982245,-0.593286,1.48075,1.83458,0.248599,-1.58785,-0.710852,0.000753098,1.26449,0.0083605,0.999959,0.00334596,-0.254369,-1.00051,0.80457,0.121315,-0.990191,1.43228,-0.157775,-0.77685,0.932212,0.230364,-0.74816,0.948862,0.0384842,-0.977808,1.22465,0.0444107,-0.961014,1.28736,0.0723806,-1.02996,1.69678,227.489,-543.674,1529.68,217.55,-563.91,1561.14,240.151,-555.721,1477.53,-106.492,-533.674,1556.15,-89.0169,-570.491,1593.64,-129.665,-547.862,1501.96,281.437,-410.53,727.79,205.529,-412.309,779.883,250.539,-368.645,768.662,301.311,-423.387,755.904,-289.58,-389.63,798.344,-253.156,-328.243,799.208,-277.413,-378.86,767.556,-197.957,-359.38,813.732,0,0,0,-748.575,-789.26,1274.06,-703.243,-791.643,1287.73,-688.568,792.835,1253.2,-705.588,791.372,1297.54,-736.446,791.942,1269.75,-727.205,-433.389,1295.44,-738.637,-430.359,1251.55,-695.938,-430.995,1261.45,0.373975,-1.35577,1.71062,0
1779715,-89.9929,90.0012,-14.9944,44.9902,4.99862,4.9935,-175.001,89.9799,90.0087,14.9987,44.9911,4.99942,4.98726,4.99986,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.38438,-0.810164,1.6669,-6.82885,-0.309785,-2.21443,-0.0936893,-8.21241,4.54318,-2.16358,-5.54224,-1.18395,-1.36827,-0.479637,0.0101425,-0.589509,1.48732,-1.99489,0.255006,-1.65275,0.0977775,-0.593132,1.48091,1.8344,0.2474,-1.58937,-0.710856,0.000760701,1.26448,0.00837117,0.999959,0.00333966,-0.253716,-1.00054,0.804616,0.122,-0.989864,1.43225,-0.158949,-0.775579,0.931813,0.22989,-0.748441,0.949109,0.0377644,-0.977822,1.22472,0.0437143,-0.961027,1.28744,0.073025,-1.03047,1.69619,227.122,-543.794,1529.72,217.16,-564.006,1561.2,239.766,-556.062,1477.5,-106.87,-533.338,1555.97,-89.404,-570.208,1593.52,-129.889,-547.816,1501.92,281.743,-411.064,727.788,205.771,-412.763,779.856,250.907,-369.189,768.604,301.589,-423.963,755.924,-289.197,-389.373,797.844,-252.818,-328.137,798.833,-277.089,-378.743,767.187,-197.609,-359.291,813.399,0,0,0,-748.549,-789.261,1274.07,-703.242,-791.658,1287.74,-688.572,792.838,1253.22,-705.595,791.359,1297.54,-736.674,791.776,1270.06,-727.207,-433.41,1295.5,-738.633,-430.371,1251.54,-695.929,-431.022,1261.44,0.373986,-1.35579,1.71062,0
