frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,dq_cur_left_0,dq_cur_left_1,dq_cur_left_2,dq_cur_left_3,dq_cur_left_4,dq_cur_left_5,dq_cur_left_6,dq_cur_right_0,dq_cur_right_1,dq_cur_right_2,dq_cur_right_3,dq_cur_right_4,dq_cur_right_5,dq_cur_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,left_fplate_x,left_fplate_y,left_fplate_z,right_fplate_x,right_fplate_y,right_fplate_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx,sub_action_idx
1648932,-89.9891,90.0022,-14.9947,44.9906,5.00179,4.99306,-174.997,89.9332,90.0154,15.048,45.008,5.05267,5.09072,5.11319,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.000303609,-0.00242704,-0.00060676,-0.000759597,0,0,0,0.00030338,0,-0.00838088,0.00121536,-0.00273452,0.00166985,-0.00106344,7.67132,-0.401128,2.43476,-6.82268,-0.640915,-2.09373,-0.491003,-7.07053,-1.71569,-4.16944,-10.908,-2.8725,-4.66482,-2.09038,0.07321,-0.720773,1.52077,1.8467,0.29835,-1.94676,-0.00669357,-0.683987,1.52504,-1.9386,0.25449,-1.99024,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.456272,-0.953232,1.08281,0.135496,-1.1471,0.873298,0,0,0,0,0,0,0,0,0,0,0,0,-0.245822,-1.20064,1.53488,-40.8106,-19.699,-470.556,44.7902,6.03197,-570.654,-100.026,-588.561,1587.24,-98.0431,-628.211,1626.18,-123.852,-595.033,1531.9,210.527,-721.437,1573.99,193.004,-738.242,1604.64,219.824,-734.66,1521.36,-155.579,-372.21,799.615,-119.867,-332.636,829.306,-78.2372,-381.526,849.218,-140.136,-339.756,865.431,263.521,-551.717,833.957,314.413,-524.282,830.767,336.936,-575.666,782.755,349.826,-596.024,810.349,-279.532,-853.252,1008.53,-321.511,-829.734,1005.68,-314.841,-856.482,972.855,331.191,407.887,269.584,0,0,0,368.26,399.289,286.982,-147.323,-555.636,857.176,-176.956,-558.716,823.652,-137.497,-579.661,821.052,0.368395,-1.32834,1.70732,1,0
1648933,-89.9891,90.0022,-14.9947,44.9906,5.00179,4.99306,-174.997,89.9333,90.0154,15.0479,45.0081,5.05262,5.09072,5.11314,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.000303609,-0.00242704,-0.00060676,-0.000759597,0,0,0,0.00106263,-0.000303151,-0.00776159,0.00121536,-0.00273455,0.00167111,-0.00167111,7.67132,-0.401128,2.43476,-6.82268,-0.640915,-2.09373,-0.491003,-6.87474,-1.69817,-4.16385,-10.8733,-2.88562,-4.61557,-2.09488,0.07321,-0.720773,1.52077,1.8467,0.29835,-1.94676,-0.00669357,-0.683987,1.52504,-1.9386,0.25449,-1.99024,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.456272,-0.953232,1.08281,0.135496,-1.1471,0.873298,0,0,0,0,0,0,0,0,0,0,0,0,-0.245822,-1.20064,1.53488,-40.8106,-19.699,-470.556,44.7902,6.03197,-570.654,-99.4261,-588.568,1587.4,-97.307,-628.339,1626.35,-123.336,-595.031,1532.09,211.147,-721.48,1573.63,193.641,-738.268,1604.31,220.284,-734.715,1520.98,-156.1,-372.019,799.887,-120.477,-332.753,829.433,-78.6613,-381.34,849.366,-140.611,-339.592,865.717,262.684,-551.807,833.515,313.842,-524.32,830.268,336.411,-575.515,782.303,349.232,-596.004,809.771,-280.066,-853.166,1008.35,-321.58,-830.227,1005.6,-315.439,-856.448,972.878,330.175,408.504,270.112,0,0,0,367.313,399.749,287.393,-147.841,-555.523,857.231,-177.588,-558.589,823.761,-138.214,-579.53,821.009,0.368395,-1.32834,1.70732,1,0
1648934,-89.9891,90.0022,-14.9947,44.9906,5.00185,4.99306,-174.997,89.9331,90.0157,15.0479,45.006,5.05246,5.09039,5.11292,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00060676,-0.00136522,0.00060676,-0.000759597,0.000606307,0,0,-0.000607678,0.00242521,-0.00655542,-0.159043,-0.00440566,-0.00212526,-0.00379799,7.86019,-0.301824,2.52113,-6.81875,-0.656515,-2.07845,-0.485911,-6.70408,-1.63797,-4.17138,-10.7927,-2.97188,-4.5443,-2.16607,0.0740997,-0.721145,1.5205,1.84363,0.296159,-1.94644,-0.00541095,-0.683636,1.52496,-1.94175,0.254042,-1.98815,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.45607,-0.953212,1.08291,0.135754,-1.14738,0.87334,0,0,0,0,0,0,0,0,0,0,0,0,-0.245041,-1.20077,1.5353,-40.8297,-20.9952,-466.806,45.4953,5.6943,-573.486,-98.8339,-588.532,1587.51,-96.6507,-628.368,1626.48,-122.791,-595.012,1532.25,211.639,-721.505,1573.26,194.251,-738.283,1603.99,220.787,-734.712,1520.63,-156.664,-371.845,800.137,-120.754,-332.367,829.744,-79.1532,-381.178,849.489,-141.06,-339.45,865.966,262.273,-551.806,833.147,313.269,-524.334,829.782,335.714,-575.631,781.592,348.52,-596.082,809.132,-280.576,-853.144,1008.21,-322.381,-830.472,1006.28,-316.052,-856.375,972.898,329.466,408.91,270.545,0,0,0,366.172,400.265,287.744,-148.371,-555.415,857.298,-178.156,-558.544,823.788,-138.868,-579.363,820.992,0.368378,-1.32837,1.70732,1,0
1648935,-89.9891,90.0022,-14.9947,44.9906,5.00185,4.99306,-174.997,89.9331,90.0157,15.0479,45.006,5.05235,5.09017,5.11275,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00121352,-0.00106103,0.000909443,-0.00106343,0.000606307,0,0,-0.000910827,0.00242887,-0.00532205,0,-0.00547324,-0.00440566,-0.0054691,7.91293,-0.200515,2.51765,-6.84002,-0.637939,-2.09043,-0.467877,-6.56383,-1.65132,-4.16838,-10.856,-2.98831,-4.55443,-2.22314,0.0743601,-0.722318,1.52079,1.83999,0.292729,-1.93927,-0.00498706,-0.683869,1.52506,-1.9421,0.252169,-1.98746,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.455984,-0.953219,1.08296,0.135899,-1.14751,0.873357,0,0,0,0,0,0,0,0,0,0,0,0,-0.244648,-1.20083,1.53551,-40.6902,-20.4684,-463.197,43.3798,7.36737,-573.606,-98.3126,-588.504,1587.63,-96.0163,-628.272,1626.75,-122.286,-594.951,1532.39,212.121,-721.473,1572.92,195.094,-738.224,1603.66,221.133,-734.746,1520.25,-157.188,-371.668,800.394,-121.275,-332.154,829.99,-79.6633,-381.033,849.655,-141.471,-339.318,866.198,262.314,-552.46,832.233,312.637,-524.304,829.283,335.194,-575.597,781.115,347.787,-596.023,808.604,-281.113,-853.138,1008.19,-322.709,-830.189,1005.64,-316.911,-856.541,972.627,328.634,409.39,271.153,0,0,0,365.698,400.709,288.226,-148.905,-555.398,857.337,-178.871,-558.258,823.969,-139.575,-579.249,820.935,0.36833,-1.32842,1.70735,1,0
1648936,-89.9891,90.0022,-14.9947,44.9906,5.00185,4.99306,-174.997,89.9331,90.0157,15.0479,45.006,5.05235,5.09017,5.11275,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00121352,-0.00106103,0.000909443,-0.00106343,0.000606307,0,0,-0.000910827,0.00242887,-0.00532205,0,-0.00547324,-0.00440566,-0.0054691,7.91293,-0.200515,2.51765,-6.84002,-0.637939,-2.09043,-0.467877,-6.56383,-1.65132,-4.16838,-10.856,-2.98831,-4.55443,-2.22314,0.0743601,-0.722318,1.52079,1.83999,0.292729,-1.93927,-0.00498706,-0.683869,1.52506,-1.9421,0.252169,-1.98746,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.455984,-0.953219,1.08296,0.135899,-1.14751,0.873357,0,0,0,0,0,0,0,0,0,0,0,0,-0.244648,-1.20083,1.53551,-40.6902,-20.4684,-463.197,43.3798,7.36737,-573.606,-97.7744,-588.482,1587.74,-95.4603,-628.177,1626.83,-121.813,-594.894,1532.53,212.658,-721.474,1572.59,195.378,-738.25,1603.34,221.585,-734.735,1519.9,-157.7,-371.521,800.617,-121.811,-331.972,830.197,-80.3015,-381.103,849.767,-141.911,-339.158,866.43,261.593,-552.471,831.851,312.151,-524.231,828.828,334.309,-575.363,780.728,347.18,-595.98,808.098,-281.711,-853.044,1008.24,-323.791,-829.624,1005.84,-317.554,-856.015,972.533,328.346,409.632,271.576,0,0,0,365.581,400.902,288.651,-149.643,-555.171,857.383,-179.566,-558.058,824.1,-140.24,-579.035,820.901,0.36833,-1.32842,1.70735,1,0
1648937,-89.9891,90.0022,-14.9947,44.9906,5.00185,4.99306,-174.997,89.9331,90.0157,15.0479,45.0061,5.05197,5.0899,5.11248,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.0015169,-0.00030338,0.000910139,-0.000759597,0,0,0,-0.000607678,0.00273452,-0.00440229,-0.00143666,-0.00865941,-0.00698301,-0.00758449,7.95051,-0.125797,2.55738,-6.78053,-0.663804,-2.09404,-0.488091,-6.27776,-1.72078,-4.2224,-10.6531,-3.14629,-4.41433,-2.35643,0.0749829,-0.72087,1.52034,1.84006,0.295345,-1.94823,-0.00461946,-0.683949,1.52506,-1.94316,0.2518,-1.98875,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.455908,-0.953237,1.08301,0.136052,-1.14763,0.87337,0,0,0,0,0,0,0,0,0,0,0,0,-0.244254,-1.2009,1.53571,-40.5257,-21.2504,-463.529,46.9703,6.33317,-574.86,-97.2945,-588.461,1587.83,-95.0088,-628.149,1626.74,-121.376,-594.838,1532.65,213.103,-721.394,1572.27,195.922,-738.184,1603.04,221.997,-734.627,1519.57,-158.224,-371.35,800.855,-122.503,-332.093,830.266,-80.5699,-380.744,849.933,-142.324,-339.033,866.621,261.545,-551.275,831.751,311.641,-524.195,828.388,334.005,-575.264,780.185,346.639,-595.953,807.599,-282.269,-852.997,1008.22,-324.313,-830.165,1006.11,-318.37,-855.871,972.431,327.718,410.127,272.225,0,0,0,365.057,401.292,289.136,-150.184,-555.068,857.353,-180.245,-557.857,824.19,-140.944,-578.924,820.835,0.368381,-1.32836,1.70732,1,0
1648938,-89.989,90.0022,-14.9947,44.9906,5.00185,4.99306,-174.997,89.9331,90.0157,15.0478,45.0061,5.05197,5.08968,5.11248,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00182165,0.000303151,0.000910139,-0.000607678,0.000606307,0,0,0,0.00273248,-0.00318549,0.00241609,-0.00818507,-0.00926709,-0.00757877,7.93685,-0.0729655,2.5507,-6.82472,-0.656501,-2.08247,-0.469321,-6.17259,-1.71787,-4.14297,-10.602,-3.04626,-4.32522,-2.26205,0.0758275,-0.720568,1.5201,1.83728,0.295012,-1.94943,-0.00393902,-0.683748,1.52487,-1.94619,0.253672,-1.99257,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.455788,-0.953298,1.0831,0.136392,-1.14785,0.873387,0,0,0,0,0,0,0,0,0,0,0,0,-0.243462,-1.20103,1.53612,-41.1082,-20.7666,-462.758,43.903,7.34193,-577.808,-96.8099,-588.467,1587.93,-94.5558,-628.086,1626.7,-121.009,-594.801,1532.78,213.616,-721.315,1571.97,196.392,-738.135,1602.76,222.388,-734.572,1519.24,-158.711,-371.232,801.047,-122.775,-331.728,830.535,-81.178,-380.829,849.989,-142.793,-339.034,866.692,260.628,-551.309,831.182,311.026,-524.145,827.884,333.129,-575.508,779.634,346.151,-595.835,807.133,-282.836,-853.198,1007.3,-324.77,-829.704,1005.55,-319.281,-855.693,972.293,327.27,410.542,272.827,0,0,0,364.712,401.514,289.632,-150.72,-554.97,857.382,-180.85,-557.736,824.246,-141.802,-578.864,820.686,0.368382,-1.3284,1.70732,1,0
1648939,-89.989,90.0022,-14.9947,44.9906,5.00185,4.99306,-174.997,89.9331,90.0157,15.048,45.0062,5.05246,5.08979,5.11265,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.0015169,0.000303606,0.000909452,-0.00060676,0.000606301,0,0,-0.000607678,0.00273452,-0.00106184,0.00259866,-0.00318549,-0.00865277,-0.00591144,7.92621,-0.104051,2.53224,-6.81143,-0.647331,-2.07817,-0.468975,-6.11574,-1.68381,-3.82756,-10.2721,-2.40187,-3.97063,-1.74045,0.0761747,-0.721164,1.51981,1.83737,0.293501,-1.94538,-0.00366626,-0.683827,1.52492,-1.94695,0.252123,-1.99386,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.455745,-0.953339,1.08315,0.136575,-1.14795,0.873391,0,0,0,0,0,0,0,0,0,0,0,0,-0.243066,-1.20109,1.53632,-41.1078,-20.6047,-462.458,44.3484,7.61834,-579.619,-96.3681,-588.414,1587.98,-94.1081,-627.963,1626.77,-120.63,-594.779,1532.91,214.015,-721.219,1571.64,196.873,-738.057,1602.47,222.83,-734.486,1518.92,-159.233,-371.165,801.23,-123.229,-331.685,830.664,-81.6131,-380.815,850.067,-143.189,-338.861,866.941,259.586,-551.42,830.891,310.668,-524.029,827.5,332.895,-575.424,779.287,345.578,-595.813,806.634,-283.617,-853.439,1006.71,-325.62,-829.083,1006.06,-320.629,-854.748,972.393,327.194,411.051,273.867,0,0,0,364.863,401.453,289.889,-150.879,-555.179,857.161,-181.752,-557.098,824.603,-142.885,-578.658,820.082,0.368387,-1.32839,1.70732,1,0
1648940,-89.989,90.0022,-14.9947,44.9906,5.00185,4.99306,-174.997,89.9329,90.0158,15.0483,45.0068,5.05393,5.08979,5.11319,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.00121352,0.000303609,0.000607218,-0.000607218,0.000606766,0,0,-0.00243071,0.00364331,0.00212206,0.0155022,0.0119835,-0.00864632,-0.000606301,7.92519,-0.234141,2.52834,-6.81799,-0.66118,-2.08895,-0.500043,-6.4708,-1.28391,-3.06999,-9.61104,-1.474,-3.85057,-0.866907,0.0765087,-0.7206,1.51983,1.83524,0.293509,-1.94877,-0.00328864,-0.683685,1.52486,-1.94866,0.251585,-1.99351,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.455714,-0.953384,1.0832,0.136768,-1.14804,0.873391,0,0,0,0,0,0,0,0,0,0,0,0,-0.242669,-1.20115,1.53652,-39.7518,-20.4334,-461.113,44.1593,7.8498,-583.169,-95.9581,-588.363,1588.09,-93.6237,-628.038,1626.92,-120.33,-594.763,1533.04,214.427,-721.123,1571.38,197.313,-737.92,1602.21,223.095,-734.394,1518.65,-159.739,-371.068,801.427,-123.918,-331.814,830.725,-81.9231,-380.439,850.238,-143.7,-338.739,867.12,259.199,-551.319,830.641,310.089,-523.964,827.071,331.957,-575.261,778.916,345.101,-595.688,806.223,-285.157,-854.952,1003.25,-325.508,-828.762,1007.25,-323.654,-853.969,971.599,328.415,411.855,276.006,0,0,0,366.024,400.766,289.681,-149.572,-556.714,855.918,-182.623,-556.05,825.346,-144.969,-578.984,817.655,0.368557,-1.32822,1.70729,1,0
1648941,-89.989,90.0021,-14.9947,44.9905,5.00179,4.99285,-174.997,89.9329,90.0157,15.0497,45.0063,5.05393,5.08963,5.11325,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,0.0015169,-0.000303609,0.000303839,-0.00106183,0,-0.00212687,0,-0.00273455,0.0010128,0.0850114,0.0036974,0.0124292,-0.010315,0.000606307,8.06488,-0.453706,2.41689,-7.0203,-0.646936,-2.26403,-0.487492,-6.4464,-1.86564,-1.64698,-10.3125,-1.29287,-3.75886,-0.717478,0.0768422,-0.720231,1.51981,1.83339,0.29368,-1.95121,-0.00301732,-0.683651,1.52491,-1.94939,0.251006,-1.9942,0.0430205,-0.215624,0.636831,0.4651,0.770401,-0.436077,-0.455696,-0.953428,1.08328,0.13697,-1.14813,0.873388,0,0,0,0,0,0,0,0,0,0,0,0,-0.242273,-1.20122,1.53671,-40.3538,-21.3707,-461.885,45.661,8.388,-581.876,-95.599,-588.303,1588.2,-93.2614,-627.997,1627.02,-120.055,-594.756,1533.13,214.861,-721.008,1571.16,197.772,-737.78,1602,223.431,-734.248,1518.38,-160.383,-370.621,801.669,-124.44,-331.043,831.076,-82.5622,-379.762,850.412,-144.382,-338.294,867.39,259.038,-552.178,830.096,309.527,-523.897,826.664,331.478,-575.157,778.525,344.659,-595.592,805.831,-286.691,-857.182,997.394,-324.681,-828.486,1006.98,-327.923,-851.076,971.124,330.322,413.037,279.982,350.884,384.037,244.373,368.899,398.545,288.07,-146.869,-559.863,852.584,-183.149,-555.036,826.109,-148.221,-579.906,812.625,0.368395,-1.3284,1.70732,1,0
