frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
105649,-89.9762,89.9551,-15.0186,45.052,5.00549,4.97616,-174.993,90.0046,90.0076,15.0018,44.9914,5.00019,4.99036,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-3.9663,2.10444,-0.210308,-5.41838,-0.845408,-1.9249,-0.339407,2.81545,3.68859,-0.172626,-5.31627,-1.23941,-1.14335,-0.487294,0.033835,-0.0188577,1.33915,1.92083,-0.0861933,-1.46404,-0.0548965,-0.0210895,1.33864,-1.96244,-0.0800417,-1.56265,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-178.37,45.2448,1384.17,-159.05,24.598,1432.36,-198.493,12.0333,1337.28,150.908,61.1851,1379.13,139.239,51.0127,1414.78,170.524,36.0227,1335.22,-332.59,-69.2579,586.671,-315.866,-8.1875,598.342,-255.724,-33.2611,621.388,-330.994,-11.0606,634.065,202.664,-45.0755,626.885,247.486,-1.79934,608.034,283.19,-52.0861,583.29,264.377,-4.70984,641.355,-867.183,-653.652,1234.84,-848.621,-650.829,1278.65,-890.343,-654.558,1280.62,0,0,0,-845.53,931.26,1247.36,-847.482,930.824,1287.84,-868.879,-293.21,1289.56,-890.427,-292.5,1251.47,-844.014,-292.888,1251.19,0,0,0,0.236133,-1.41426,1.7111,0
105650,-89.9762,89.9551,-15.0186,45.052,5.00549,4.97616,-174.993,90.0047,90.008,15.0018,44.9909,5.00019,4.99025,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.00349,2.1899,-0.243515,-5.37952,-0.868374,-1.91171,-0.327948,2.80205,3.68866,-0.188771,-5.27397,-1.23698,-1.11997,-0.492249,0.0336212,-0.0187778,1.33913,1.92085,-0.0848903,-1.4652,-0.0549955,-0.0213505,1.33868,-1.96195,-0.0796609,-1.56282,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-178.484,45.1665,1384.16,-159.18,24.5819,1432.37,-198.611,12.0387,1337.19,150.78,61.1841,1379.2,139.103,51.0083,1414.82,170.385,36.0396,1335.19,-332.62,-69.3511,586.643,-315.953,-8.2696,598.366,-255.787,-33.378,621.351,-330.554,-11.3033,632.777,202.587,-45.0183,626.96,247.376,-1.72848,608.017,283.164,-51.9967,583.336,264.28,-4.70347,641.385,-867.1,-653.668,1234.86,-848.584,-650.777,1278.66,-890.33,-654.559,1280.61,0,0,0,-845.575,931.275,1247.34,-847.49,930.852,1287.86,-868.858,-292.98,1289.2,-890.411,-292.514,1251.52,-843.977,-292.919,1251.15,0,0,0,0.236137,-1.41425,1.71109,0
105651,-89.9767,89.9551,-15.0184,45.052,5.00544,4.97611,-174.993,90.0047,90.008,15.0018,44.9909,5.00019,4.99019,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.02713,2.20464,-0.257613,-5.375,-0.838625,-1.90587,-0.334644,2.80432,3.71788,-0.171699,-5.30642,-1.229,-1.12923,-0.488522,0.0335883,-0.0190026,1.33922,1.92078,-0.0859134,-1.46398,-0.0551542,-0.0213314,1.33872,-1.96185,-0.0803479,-1.56371,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-178.587,45.1276,1384.15,-159.326,24.4982,1432.34,-198.71,11.9389,1337.28,150.642,61.2054,1379.2,138.974,51.066,1414.84,170.277,36.0722,1335.22,-332.7,-69.4591,586.667,-316.043,-8.32842,598.296,-255.848,-33.4543,621.327,-331.084,-11.3025,633.806,202.532,-44.9765,626.93,247.303,-1.66119,608.038,283.095,-51.9001,583.339,264.157,-4.59981,641.382,-867.124,-653.706,1234.83,-848.934,-650.971,1278.36,-890.329,-654.56,1280.61,0,0,0,-845.55,931.261,1247.37,-847.507,930.856,1287.85,-868.849,-293.082,1289.32,-890.313,-292.468,1251.33,-844.06,-292.88,1251.25,0,0,0,0.236127,-1.41426,1.71111,0
105652,-89.9767,89.9552,-15.0184,45.052,5.00544,4.97605,-174.993,90.0047,90.0079,15.0018,44.9908,5.00019,4.99009,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.05973,2.18489,-0.263895,-5.3755,-0.85217,-1.90384,-0.347046,2.79671,3.6611,-0.204257,-5.31317,-1.22731,-1.13217,-0.481939,0.0334953,-0.0191884,1.33928,1.92095,-0.0868767,-1.46357,-0.0552531,-0.0213248,1.33862,-1.96188,-0.0792486,-1.56318,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-178.721,45.0752,1384.13,-159.439,24.415,1432.31,-198.834,11.944,1337.2,150.492,61.2098,1379.21,138.803,51.088,1414.9,170.143,36.1048,1335.25,-332.754,-69.5375,586.58,-316.167,-8.47968,598.431,-255.963,-33.4931,621.289,-331.222,-11.4198,633.909,202.432,-44.8595,626.887,247.218,-1.57488,608.057,283.037,-51.8798,583.347,264.015,-4.53352,641.353,-867.289,-653.579,1234.86,-848.652,-650.831,1278.52,-890.31,-654.559,1280.59,0,0,0,-845.591,931.254,1247.37,-847.478,930.845,1287.85,-868.819,-293.106,1289.36,-890.334,-292.472,1251.36,-843.82,-293.024,1251.16,0,0,0,0.236113,-1.41425,1.7111,0
105653,-89.9767,89.9552,-15.0184,45.052,5.00538,4.97605,-174.993,90.0047,90.0079,15.0018,44.9908,5.00019,4.98987,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.08242,2.17482,-0.277855,-5.38845,-0.844211,-1.92936,-0.358838,2.75429,3.58677,-0.165973,-5.33153,-1.20808,-1.1366,-0.490631,0.0335317,-0.0198372,1.33954,1.9205,-0.0884379,-1.46104,-0.0550496,-0.0197575,1.33885,-1.9614,-0.0831219,-1.5578,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-178.884,45.0148,1384.13,-159.636,24.3118,1432.12,-198.282,12.8846,1338.5,150.314,61.1431,1379.29,138.67,51.1401,1414.93,170.021,36.0945,1335.32,-332.898,-69.6196,586.605,-316.266,-8.54765,598.383,-256.12,-33.5785,621.175,-331.347,-11.4501,633.895,202.358,-44.7606,626.876,247.138,-1.48053,608.096,282.968,-51.7541,583.388,263.946,-4.3959,641.39,-867.203,-653.649,1234.87,-848.691,-650.873,1278.58,-890.357,-654.565,1280.62,0,0,0,-845.575,931.248,1247.38,-847.501,930.85,1287.87,-868.859,-293.13,1289.38,-890.384,-292.527,1251.49,-843.882,-292.938,1251.14,0,0,0,0.23614,-1.41425,1.71109,0
105654,-89.9767,89.9552,-15.0184,45.052,5.00538,4.97605,-174.993,90.0047,90.0079,15.0018,44.9908,5.00019,4.98987,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.08242,2.17482,-0.277855,-5.38845,-0.844211,-1.92936,-0.358838,2.75429,3.58677,-0.165973,-5.33153,-1.20808,-1.1366,-0.490631,0.0333364,-0.0197121,1.33949,1.92065,-0.0873509,-1.46158,-0.0551685,-0.0196582,1.33881,-1.96134,-0.0828898,-1.55727,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-179.039,44.977,1384.11,-159.778,24.2173,1432.12,-198.411,12.8253,1338.49,150.159,61.1744,1379.33,138.521,51.1709,1414.92,169.872,36.1227,1335.3,-332.933,-69.7366,586.613,-316.359,-8.6308,598.318,-255.876,-33.7276,621.44,-331.446,-11.5917,633.864,202.273,-44.6957,626.882,247.094,-1.45857,608.217,282.857,-51.7092,583.387,263.884,-4.31162,641.418,-867.179,-653.659,1234.83,-848.973,-651.039,1278.43,-890.321,-654.572,1280.6,0,0,0,-845.531,931.256,1247.32,-847.541,930.876,1287.88,-868.832,-292.976,1289.15,-890.389,-292.511,1251.48,-844.01,-292.914,1251.26,0,0,0,0.23614,-1.41426,1.71109,0
105655,-89.9767,89.9552,-15.0184,45.0519,5.00538,4.976,-174.993,90.0047,90.0079,15.0018,44.9907,5.00019,4.98954,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.10027,2.13398,-0.298593,-5.4116,-0.85455,-1.93162,-0.343384,2.7428,3.55745,-0.195622,-5.36146,-1.24812,-1.15271,-0.496368,0.0331894,-0.018828,1.33895,1.92103,-0.0808697,-1.46012,-0.0553823,-0.0196655,1.33876,-1.96137,-0.0824984,-1.55815,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-179.192,44.9151,1384.1,-159.982,24.1337,1432.01,-198.587,12.7029,1338.49,149.994,61.1741,1379.33,138.489,50.9546,1414.56,169.708,36.1639,1335.3,-333.015,-69.8374,586.55,-316.464,-8.69838,598.31,-255.972,-33.8046,621.391,-331.532,-11.6984,633.876,202.156,-44.6215,626.908,246.98,-1.35527,608.227,282.694,-51.6043,583.376,263.786,-4.28256,641.437,-867.106,-653.681,1234.85,-848.65,-650.822,1278.52,-890.347,-654.565,1280.63,0,0,0,-845.558,931.237,1247.35,-847.512,930.854,1287.88,-868.822,-293.005,1289.17,-890.432,-292.548,1251.59,-843.902,-292.926,1251.14,0,0,0,0.236133,-1.41426,1.71109,0
105656,-89.9767,89.9552,-15.0184,45.0519,5.00538,4.976,-174.993,90.0047,90.0079,15.0018,44.9907,5.00019,4.98894,4.99813,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.1187,2.13789,-0.314678,-5.40224,-0.82468,-1.93792,-0.348933,2.68484,3.41816,-0.183733,-5.41078,-1.22835,-1.16904,-0.490135,0.0330358,-0.0186009,1.33891,1.92094,-0.0803031,-1.45952,-0.0558265,-0.0203534,1.33839,-1.96347,-0.0805478,-1.56032,-0.849097,0.137634,1.25347,0.00310349,0.999994,-0.00178498,0,0,0,0,0,0,0,0,0,0,0,0,-179.393,44.8317,1384.08,-160.124,24.1496,1431.92,-199.272,11.7193,1337.75,149.821,61.245,1379.34,138.334,50.9562,1414.56,169.544,36.1829,1335.32,-333.101,-69.9427,586.515,-316.559,-8.83294,598.338,-256.328,-33.7861,621.139,-331.216,-11.8844,632.695,201.832,-44.0467,626.471,246.888,-1.28554,608.257,282.637,-51.5302,583.42,263.713,-4.18591,641.466,-867.099,-653.693,1234.85,-848.961,-651.052,1278.46,-890.323,-654.557,1280.6,0,0,0,-845.542,931.26,1247.43,-847.528,930.869,1287.89,-868.814,-293.074,1289.35,-890.353,-292.491,1251.44,-844.124,-292.866,1251.24,0,0,0,0.236128,-1.41426,1.71111,0
105657,-89.9768,89.9552,-15.0184,45.0519,5.00538,4.97595,-174.993,90.0047,90.0079,15.0018,44.9906,5.00019,4.98872,4.99807,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.1437,2.10856,-0.303914,-5.38588,-0.854222,-1.91105,-0.315045,2.6578,3.41351,-0.187238,-5.39505,-1.20508,-1.15128,-0.497746,0.0328598,-0.0192284,1.33927,1.92106,-0.0853203,-1.46067,-0.056054,-0.0206652,1.33851,-1.96255,-0.0805553,-1.56196,-0.849097,0.137635,1.25348,0.00309799,0.999994,-0.00180663,0,0,0,0,0,0,0,0,0,0,0,0,-179.561,44.742,1384.08,-160.354,24.0048,1431.97,-199.459,11.6396,1337.71,149.64,61.3065,1379.32,138.029,51.1669,1414.84,169.38,36.2212,1335.31,-333.163,-70.0319,586.465,-316.643,-8.98126,598.367,-256.419,-33.8689,621.12,-331.786,-11.9876,634.096,201.724,-43.9749,626.525,246.79,-1.20277,608.261,282.553,-51.4356,583.424,263.597,-4.17666,641.493,-867.146,-653.636,1234.88,-848.964,-651.034,1278.45,-890.339,-654.549,1280.62,0,0,0,-845.521,931.267,1247.37,-847.472,930.835,1287.87,-868.843,-293.095,1289.37,-890.397,-292.507,1251.48,-844.016,-292.929,1251.2,0,0,0,0.236149,-1.41424,1.71109,0
105658,-89.9768,89.9552,-15.0184,45.0519,5.00533,4.97589,-174.993,90.0047,90.0079,15.0018,44.9906,5.00019,4.98856,4.99807,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.17487,2.11413,-0.31879,-5.39419,-0.848147,-1.91021,-0.326774,2.67071,3.40821,-0.171694,-5.40721,-1.22109,-1.16341,-0.488804,0.0327307,-0.0194666,1.33936,1.92048,-0.0850379,-1.45994,-0.0561794,-0.0204525,1.33847,-1.96228,-0.0800301,-1.5612,-0.849097,0.137635,1.25348,0.00309799,0.999994,-0.00180663,0,0,0,0,0,0,0,0,0,0,0,0,-179.748,44.7141,1384.06,-160.558,23.9556,1431.89,-199.607,11.5176,1337.67,149.463,61.3042,1379.35,137.875,51.1859,1414.88,169.211,36.2639,1335.27,-333.237,-70.1439,586.492,-316.717,-9.07985,598.338,-256.49,-33.9327,621.126,-331.87,-12.0369,633.971,201.748,-44.178,626.865,246.683,-1.12293,608.257,282.505,-51.4252,583.418,263.437,-4.02497,641.463,-867.084,-653.656,1234.85,-848.937,-650.972,1278.37,-890.332,-654.559,1280.61,0,0,0,-845.532,931.251,1247.35,-847.526,930.906,1287.89,-868.864,-293.085,1289.34,-890.299,-292.518,1251.48,-843.949,-292.915,1251.23,0,0,0,0.236187,-1.41425,1.71108,0
