frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx
2025783,-89.992,89.9997,-14.995,44.9918,5.00284,4.99273,-174.997,89.9972,90.0049,15.0034,44.9987,5.00061,4.99384,5.00079,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.67172,-0.552259,1.38629,-6.70008,-0.781466,-2.3038,-0.717412,-8.84755,3.48494,-2.25879,-6.05996,-1.53119,-1.4078,-0.498967,0.0429665,-0.642003,1.4879,1.84077,0.240626,-1.71656,-0.0430651,-0.626148,1.49414,-1.96184,0.220029,-1.76442,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.608633,-1.03033,1.26072,0.213151,-1.05891,0.815235,0.16069,-0.819344,0.963797,-0.227821,-0.788632,0.943086,-0.0623854,-1.01406,1.21704,-0.0481418,-1.00783,1.29079,-0.147318,-1.06267,1.64445,-154.222,-554.009,1557.14,-142.239,-591.598,1596.61,-177.435,-567.904,1503.11,177.365,-609.02,1537.22,164.702,-627.561,1568.86,188.615,-622.946,1485.3,-281.456,-385.431,765.049,-251.809,-337.959,797.077,-201.231,-376.003,813.154,-295.565,-394.023,795.385,177.041,-481.816,786.422,227.826,-444.958,775.143,253.312,-490.503,734.936,271.273,-505.95,763.222,0,0,0,-749.342,-799.631,1275.43,-703.248,-802.083,1285.96,-690.03,782.541,1251.91,-704.061,781,1297.37,-736.746,781.392,1271.81,-726.282,-443.741,1295.6,-740.872,-440.655,1252.79,-697.592,-441.363,1259.76,0.373917,-1.35581,1.71076,1
2025784,-89.9921,89.9997,-14.995,44.9918,5.00284,4.99267,-174.997,89.9966,90.005,15.0034,44.9984,5.00061,4.99368,5.00079,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.52326,-0.519385,1.32925,-6.6897,-0.78884,-2.30748,-0.728345,-9.03346,3.25666,-2.29344,-6.17199,-1.515,-1.42379,-0.470252,0.0429733,-0.64169,1.48788,1.84055,0.24111,-1.71869,-0.0428843,-0.625533,1.49394,-1.96322,0.222165,-1.76296,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.610535,-1.03004,1.26395,0.212979,-1.05934,0.815278,0.160349,-0.819506,0.963795,-0.228025,-0.788377,0.943098,-0.0627273,-1.01424,1.21702,-0.0482646,-1.00818,1.29087,-0.148801,-1.06229,1.64433,-154.132,-553.849,1557.18,-142.072,-591.392,1596.46,-177.384,-567.748,1503.14,177.446,-609.017,1537.2,164.751,-627.546,1568.83,188.66,-622.951,1485.26,-281.546,-385.465,765.064,-251.884,-337.964,797.051,-201.278,-376.04,813.152,-295.643,-394.017,795.411,176.998,-481.82,786.408,227.793,-445.041,775.094,253.212,-490.908,734.684,271.218,-506.032,763.201,0,0,0,-749.596,-799.613,1275.43,-703.523,-802.007,1285.95,-689.992,782.549,1251.94,-704.061,780.999,1297.4,-736.724,781.43,1271.84,-726.66,-443.687,1295.41,-741.114,-440.652,1252.61,-697.796,-441.346,1259.59,0.373937,-1.35581,1.71075,1
2025785,-89.9921,89.9997,-14.995,44.9918,5.00284,4.99267,-174.997,89.9966,90.005,15.0034,44.9984,5.00061,4.99368,5.00079,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.52326,-0.519385,1.32925,-6.6897,-0.78884,-2.30748,-0.728345,-9.03346,3.25666,-2.29344,-6.17199,-1.515,-1.42379,-0.470252,0.0429998,-0.641602,1.48784,1.84038,0.240795,-1.71965,-0.0428148,-0.6254,1.49395,-1.96351,0.222469,-1.76386,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.61241,-1.02975,1.26711,0.212819,-1.05973,0.815309,0.16003,-0.819665,0.963793,-0.228218,-0.788129,0.943129,-0.062951,-1.01441,1.21699,-0.0482583,-1.00828,1.29083,-0.150282,-1.0619,1.64421,-153.993,-553.673,1557.23,-141.964,-591.172,1596.46,-177.277,-567.564,1503.18,177.519,-609.001,1537.13,164.81,-627.51,1568.78,188.712,-622.929,1485.2,-281.604,-385.47,765.075,-251.911,-337.969,797.041,-201.318,-376.062,813.119,-295.701,-394.012,795.423,176.941,-481.898,786.35,227.776,-445.112,775.033,253.175,-490.653,734.804,271.18,-506.115,763.127,0,0,0,-749.794,-799.541,1275.45,-703.674,-801.955,1285.98,-689.968,782.591,1251.96,-704.005,781.056,1297.44,-736.685,781.471,1271.86,-726.791,-443.641,1295.25,-741.156,-440.641,1252.45,-697.981,-441.304,1259.45,0.373921,-1.35582,1.71075,1
2025786,-89.992,89.9997,-14.9949,44.9917,5.00284,4.99267,-174.997,89.9926,90.005,15.0033,44.9971,5.00056,4.99324,5.00079,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.43753,-0.516559,1.34709,-6.68691,-0.791747,-2.31423,-0.707339,-9.18082,3.06071,-2.40444,-6.30679,-1.51749,-1.47951,-0.464552,0.0430702,-0.641439,1.48785,1.83987,0.240693,-1.72061,-0.0426851,-0.625227,1.49386,-1.96414,0.222266,-1.76346,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.614263,-1.02945,1.27018,0.212672,-1.06009,0.81533,0.159718,-0.819825,0.963769,-0.228445,-0.787865,0.943148,-0.0630872,-1.01465,1.21701,-0.0482335,-1.00855,1.2909,-0.151758,-1.06152,1.64409,-153.848,-553.485,1557.23,-141.761,-590.986,1596.48,-177.153,-567.341,1503.19,177.639,-608.96,1537.07,164.933,-627.454,1568.72,188.794,-622.904,1485.14,-281.655,-385.423,765.074,-251.928,-337.963,797.019,-201.338,-376.073,813.06,-295.772,-393.967,795.431,176.872,-482.005,786.267,227.723,-445.23,774.927,253.084,-491.173,734.469,271.127,-506.23,763.008,0,0,0,-750.059,-799.578,1275.47,-703.757,-801.903,1286,-689.895,782.67,1251.97,-703.933,781.104,1297.43,-736.629,781.527,1271.87,-726.781,-443.47,1295.31,-741.273,-440.573,1252.42,-698.013,-441.259,1259.37,0.373914,-1.35582,1.71076,1
2025787,-89.992,89.9997,-14.9949,44.9917,5.00284,4.99262,-174.997,89.9925,90.005,15.0033,44.997,5.00056,4.99297,5.00073,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.4539,-0.424852,1.42081,-6.73272,-0.815745,-2.3019,-0.72273,-9.25102,2.97368,-2.44595,-6.30129,-1.54745,-1.47498,-0.464024,0.0431961,-0.641485,1.4878,1.83975,0.240127,-1.72039,-0.0428877,-0.625808,1.49421,-1.9622,0.220087,-1.76895,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.616099,-1.02913,1.27316,0.212535,-1.06041,0.815337,0.159484,-0.819954,0.963791,-0.228682,-0.787602,0.943176,-0.0631218,-1.01488,1.21699,-0.0482606,-1.00899,1.29096,-0.153227,-1.06112,1.64398,-153.718,-553.271,1557.23,-141.906,-590.882,1596.64,-177.018,-567.117,1503.21,177.771,-608.924,1536.98,165.073,-627.407,1568.65,188.922,-622.892,1485.04,-281.656,-385.37,765.102,-251.899,-337.89,797.024,-201.365,-376.045,813.037,-295.785,-393.848,795.473,176.785,-482.158,786.156,227.702,-445.395,774.788,253.014,-490.997,734.553,270.753,-506.423,762.703,0,0,0,-749.97,-799.404,1275.46,-703.775,-801.841,1286.01,-689.849,782.751,1251.98,-703.881,781.174,1297.42,-736.589,781.585,1271.87,-726.67,-443.461,1295.23,-741.154,-440.502,1252.43,-697.956,-441.22,1259.39,0.373925,-1.35583,1.71076,1
2025788,-89.992,89.9997,-14.9949,44.9917,5.00284,4.99256,-174.997,89.9925,90.005,15.0033,44.997,5.00056,4.99253,5.00073,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.60207,-0.296091,1.47281,-6.73905,-0.794587,-2.32425,-0.711811,-9.28201,2.93774,-2.47834,-6.35004,-1.52934,-1.50129,-0.458969,0.0433063,-0.641166,1.48777,1.83948,0.240221,-1.72212,-0.0434777,-0.62712,1.49496,-1.95782,0.217082,-1.78203,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.617919,-1.0288,1.27602,0.212411,-1.0607,0.815334,0.15929,-0.820102,0.963766,-0.228885,-0.78735,0.94322,-0.0630395,-1.01513,1.21698,-0.0481114,-1.00915,1.29099,-0.154689,-1.06073,1.64387,-153.552,-553.022,1557.25,-142.43,-591.233,1596.97,-176.854,-566.874,1503.24,177.937,-608.899,1536.9,165.215,-627.377,1568.57,189.046,-622.917,1484.95,-281.667,-385.254,765.118,-251.854,-337.79,797.022,-201.36,-375.96,813.046,-295.75,-393.728,795.486,176.716,-482.317,786.033,227.624,-445.62,774.627,252.928,-491.237,734.413,270.652,-506.695,762.544,0,0,0,-749.909,-799.374,1275.45,-703.732,-801.815,1286.03,-689.836,782.771,1251.93,-703.839,781.223,1297.39,-736.55,781.63,1271.84,-726.456,-443.476,1295.34,-741.025,-440.443,1252.55,-697.75,-441.186,1259.51,0.373934,-1.35581,1.71075,1
2025789,-89.9919,89.9998,-14.9948,44.9917,5.00284,4.99256,-174.997,89.9926,90.005,15.0033,44.9967,5.00056,4.9921,5.00073,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.76223,-0.193983,1.57679,-6.73795,-0.792497,-2.3069,-0.716602,-9.26425,2.94687,-2.47943,-6.42922,-1.53719,-1.50601,-0.463027,0.0434495,-0.641216,1.48773,1.83917,0.239832,-1.722,-0.0432229,-0.626816,1.49499,-1.9577,0.217168,-1.78159,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.619729,-1.02845,1.27876,0.212295,-1.06094,0.815318,0.159108,-0.820182,0.963784,-0.229013,-0.787123,0.943258,-0.0628748,-1.01535,1.217,-0.0478268,-1.00905,1.29102,-0.156138,-1.06033,1.64376,-153.341,-552.793,1557.27,-142.214,-590.957,1596.97,-176.613,-566.631,1503.29,178.094,-608.889,1536.81,165.385,-627.359,1568.5,189.189,-622.911,1484.87,-281.565,-385.073,765.156,-251.78,-337.639,797.022,-201.323,-375.868,813.004,-295.711,-393.526,795.533,176.66,-482.529,785.885,227.539,-445.895,774.459,252.812,-491.877,733.999,270.522,-507.022,762.354,0,0,0,-749.77,-799.364,1275.46,-703.598,-801.806,1286.03,-689.761,782.788,1251.94,-703.773,781.244,1297.37,-736.501,781.647,1271.81,-726.278,-443.448,1295.48,-740.869,-440.393,1252.72,-697.591,-441.139,1259.68,0.373926,-1.35583,1.71075,1
2025790,-89.9919,89.9998,-14.9948,44.9917,5.00284,4.99256,-174.997,89.9926,90.005,15.0033,44.9967,5.00056,4.9921,5.00073,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.76223,-0.193983,1.57679,-6.73795,-0.792497,-2.3069,-0.716602,-9.26425,2.94687,-2.47943,-6.42922,-1.53719,-1.50601,-0.463027,0.0435558,-0.641177,1.48766,1.83886,0.239679,-1.72292,-0.0422982,-0.625194,1.49417,-1.9633,0.219225,-1.76888,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.620074,-1.02586,1.2786,0.212187,-1.06115,0.81529,0.159004,-0.820219,0.963749,-0.229142,-0.786968,0.943354,-0.0626136,-1.01548,1.21702,-0.0475882,-1.00914,1.29105,-0.157572,-1.05992,1.64366,-153.056,-552.556,1557.3,-141.166,-590.175,1596.78,-176.422,-566.402,1503.3,178.254,-608.896,1536.71,165.531,-627.361,1568.42,189.324,-622.881,1484.79,-281.493,-384.845,765.21,-251.65,-337.477,797.057,-201.241,-375.72,813.028,-295.611,-393.297,795.579,176.616,-482.743,785.777,227.508,-446.135,774.282,252.716,-492.166,733.859,270.457,-507.302,762.218,0,0,0,-749.557,-799.394,1275.46,-703.369,-801.848,1286.08,-689.746,782.739,1251.86,-703.739,781.236,1297.34,-736.464,781.619,1271.82,-726.147,-443.477,1295.59,-740.603,-440.457,1252.83,-697.444,-441.198,1259.81,0.37394,-1.35583,1.71074,1
2025791,-89.9919,89.9998,-14.9948,44.9917,5.00284,4.99251,-174.997,89.9928,90.0051,15.0033,44.9964,5.00056,4.99155,5.00073,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.98621,-0.0684881,1.70415,-6.74619,-0.788787,-2.3016,-0.702982,-9.07771,3.13093,-2.47876,-6.40338,-1.54347,-1.5101,-0.463568,0.0437368,-0.641164,1.48762,1.8389,0.239508,-1.7229,-0.0421508,-0.625162,1.49411,-1.964,0.218873,-1.76954,-0.711244,-0.00930442,1.26442,0.00957749,0.999949,0.00324755,-0.621861,-1.02545,1.28106,0.212087,-1.06132,0.81525,0.158948,-0.820243,0.963755,-0.229188,-0.786863,0.943389,-0.0622884,-1.01554,1.21701,-0.0473206,-1.00911,1.29106,-0.158988,-1.05951,1.64357,-152.812,-552.392,1557.32,-140.904,-589.972,1596.81,-176.212,-566.178,1503.36,178.424,-608.933,1536.65,165.707,-627.388,1568.34,189.491,-622.976,1484.7,-281.354,-384.565,765.296,-251.478,-337.179,797.128,-201.114,-375.521,813.068,-295.478,-393.017,795.656,176.596,-483.019,785.654,227.512,-446.427,774.143,252.652,-492.469,733.73,270.411,-507.544,762.106,0,0,0,-749.297,-799.453,1275.44,-703.134,-801.911,1286.07,-689.723,782.725,1251.89,-703.715,781.197,1297.35,-736.449,781.573,1271.81,-726.028,-443.528,1295.66,-740.853,-440.309,1252.89,-697.352,-441.234,1259.83,0.373913,-1.35584,1.71075,1
2025792,-89.9915,89.9998,-14.9946,44.9916,5.00284,4.9924,-174.997,89.9928,90.0052,15.0033,44.9964,5.00056,4.9915,5.00073,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.67095,-0.0360877,1.91003,-6.84265,-0.787263,-2.29442,-0.71862,-8.88252,3.33595,-2.44807,-6.25233,-1.53415,-1.48393,-0.464513,0.043862,-0.64102,1.48764,1.83845,0.238945,-1.72449,-0.0419587,-0.625023,1.49414,-1.96439,0.21848,-1.76982,-0.711284,-0.00930754,1.26441,0.00962863,0.999948,0.00324816,-0.623635,-1.02501,1.28336,0.211992,-1.06145,0.815198,0.158911,-0.820219,0.963758,-0.229238,-0.786807,0.943482,-0.0619727,-1.01552,1.21704,-0.0470573,-1.00899,1.29107,-0.160381,-1.05909,1.64347,-152.571,-552.184,1557.38,-140.647,-589.762,1596.89,-176.021,-566.009,1503.39,178.616,-609.004,1536.57,165.885,-627.439,1568.29,189.632,-623.118,1484.62,-281.454,-384.196,765.275,-251.227,-336.842,797.208,-200.932,-375.245,813.136,-295.418,-392.676,795.793,176.596,-483.256,785.536,227.533,-446.707,773.997,252.622,-492.723,733.618,270.39,-507.825,761.984,0,0,0,-749.07,-799.495,1275.44,-702.836,-801.99,1286.13,-689.741,782.651,1251.91,-703.72,781.144,1297.37,-736.454,781.523,1271.82,-725.918,-443.612,1295.57,-740.512,-440.547,1252.83,-697.241,-441.279,1259.76,0.374114,-1.35568,1.71066,1
