frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx
963574,-90.0028,90.0006,-14.999,44.9908,4.99916,4.99371,-175.001,90.0033,90.0062,14.9989,44.9915,5.00038,4.989,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.26614,0.521836,-0.402679,-5.75849,-0.319033,-1.98721,0.0420105,3.34442,3.07609,0.29471,-5.94437,-1.43334,-1.2768,-0.50219,0.0340256,-0.300387,1.3636,1.85517,-0.0985776,-1.50744,-0.0533524,-0.301798,1.36575,-1.93225,-0.122942,-1.57141,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.07971e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.023505,-0.70178,1.57883,-177.716,-232.87,1404.64,-159.992,-251.457,1454.2,-196.531,-267.431,1358.82,157.179,-225.334,1394.46,147.312,-234.341,1431.1,172.789,-252.43,1349.57,-310.107,-352.718,606.361,-294.729,-294.972,615.695,-236.798,-313.887,644.388,-309.723,-296.189,654.749,157.239,-341.604,642.636,191.481,-299.442,623.105,235.358,-350.128,594.229,254.694,-351.702,625.206,-807.013,-708.851,1253.85,-761.724,-707.989,1265.43,-786.93,-710.395,1298.5,-767.308,872.201,1244.82,-737.163,872.074,1272.52,-784.868,875.477,1289.81,-777.267,-351.939,1244.38,-761.269,-350.942,1287.48,-805.786,-349.122,1280.31,0.35992,-1.33307,1.7062,0
963575,-90.0028,90.0006,-14.999,44.9908,4.99916,4.99371,-175.001,90.0033,90.0062,14.9989,44.9915,5.00038,4.989,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.25321,0.477157,-0.407323,-5.76612,-0.323649,-1.98701,0.0334394,3.32635,3.0796,0.311107,-5.95856,-1.45271,-1.27162,-0.494323,0.034019,-0.300241,1.36364,1.85512,-0.0993885,-1.50747,-0.0533432,-0.301763,1.36575,-1.93229,-0.122639,-1.57113,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.06323e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235049,-0.70178,1.57883,-177.725,-232.873,1404.66,-160.002,-251.432,1454.19,-196.536,-267.436,1358.82,157.186,-225.343,1394.46,147.327,-234.347,1431.09,172.814,-252.623,1349.57,-310.111,-352.73,606.364,-294.795,-294.941,615.798,-236.792,-313.91,644.396,-309.713,-296.189,654.746,157.215,-341.605,642.634,191.467,-299.447,623.096,235.359,-350.134,594.23,254.709,-351.712,625.205,-807.058,-708.837,1253.8,-761.718,-708.024,1265.45,-786.918,-710.404,1298.5,-767.315,872.172,1244.83,-737.162,872.088,1272.53,-784.917,875.481,1289.81,-777.184,-352.06,1244.41,-761.269,-350.95,1287.48,-805.808,-349.105,1280.31,0.359923,-1.33307,1.7062,0
963576,-90.0028,90.0006,-14.999,44.9907,4.99916,4.99371,-175.001,90.0033,90.0063,14.9989,44.9909,5.00038,4.98884,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.27759,0.490107,-0.407266,-5.75143,-0.291013,-1.98285,0.0270565,3.29789,3.07011,0.269124,-5.90702,-1.42643,-1.26339,-0.478538,0.0339997,-0.300256,1.36365,1.85507,-0.0993725,-1.50766,-0.0533794,-0.302049,1.36593,-1.93161,-0.123895,-1.57211,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.07967e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235048,-0.70178,1.57883,-177.725,-232.876,1404.65,-160.005,-251.467,1454.35,-196.546,-267.427,1358.81,157.181,-225.349,1394.45,147.32,-234.349,1431.09,172.805,-252.629,1349.56,-310.104,-352.724,606.368,-294.728,-294.976,615.707,-236.803,-313.903,644.414,-309.711,-296.194,654.741,157.232,-341.597,642.635,191.475,-299.444,623.098,235.343,-350.119,594.234,254.687,-351.717,625.207,-806.992,-708.871,1253.84,-761.705,-708.007,1265.45,-786.924,-710.406,1298.51,-767.324,872.206,1244.82,-737.223,872.129,1272.54,-784.844,875.449,1289.81,-777.917,-351.301,1243.94,-761.269,-350.929,1287.48,-805.806,-349.113,1280.31,0.359932,-1.33307,1.7062,0
963577,-90.0028,90.0006,-14.999,44.9907,4.99916,4.99366,-175.001,90.0033,90.0064,14.9989,44.9905,5.00038,4.98873,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.27848,0.486136,-0.423789,-5.75749,-0.287776,-1.9958,0.0198769,3.35097,3.10876,0.288144,-5.94447,-1.4462,-1.28784,-0.495906,0.0340463,-0.300483,1.36359,1.85526,-0.098643,-1.50721,-0.0533497,-0.301903,1.36579,-1.93242,-0.123587,-1.5712,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.09612e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235047,-0.70178,1.57883,-177.72,-232.877,1404.64,-159.968,-251.419,1454.26,-196.547,-267.441,1358.82,157.176,-225.35,1394.45,147.307,-234.347,1431.09,172.793,-252.408,1349.57,-310.118,-352.737,606.363,-294.845,-294.927,615.793,-236.807,-313.876,644.394,-309.718,-296.177,654.747,157.225,-341.593,642.631,191.484,-299.454,623.077,235.341,-350.124,594.222,254.712,-351.707,625.213,-807.051,-708.817,1253.79,-761.695,-708.013,1265.42,-786.931,-710.393,1298.51,-767.288,872.185,1244.82,-737.211,872.101,1272.54,-784.847,875.444,1289.81,-777.241,-351.982,1244.41,-761.267,-350.948,1287.48,-805.793,-349.115,1280.31,0.359997,-1.33313,1.70623,0
963578,-90.0028,90.0006,-14.999,44.9907,4.99916,4.99366,-175.001,90.0033,90.0064,14.9989,44.9904,5.00038,4.9884,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.27848,0.486136,-0.423789,-5.75749,-0.287776,-1.9958,0.0198769,3.34401,3.10088,0.289178,-5.97334,-1.44731,-1.2678,-0.52093,0.0340053,-0.300388,1.36359,1.85527,-0.0984889,-1.50791,-0.0533573,-0.301955,1.36582,-1.93232,-0.123686,-1.57132,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.1126e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235046,-0.70178,1.57883,-177.724,-232.885,1404.65,-159.977,-251.413,1454.27,-196.553,-267.442,1358.82,157.188,-225.353,1394.47,147.316,-234.344,1431.09,172.786,-252.42,1349.58,-310.11,-352.725,606.358,-294.773,-294.968,615.77,-236.809,-313.897,644.392,-309.709,-296.18,654.746,157.23,-341.597,642.636,191.484,-299.429,623.102,235.365,-350.133,594.246,254.689,-351.713,625.209,-807.038,-708.8,1253.78,-761.714,-708.018,1265.46,-786.915,-710.405,1298.51,-767.271,872.165,1244.83,-737.169,872.089,1272.5,-784.845,875.464,1289.81,-777.301,-351.895,1244.39,-761.271,-350.942,1287.47,-805.8,-349.109,1280.32,0.359927,-1.33302,1.70623,0
963579,-90.0028,90.0006,-14.999,44.9907,4.99916,4.99366,-175.001,90.0033,90.0064,14.9989,44.9904,5.00038,4.98813,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.30197,0.498078,-0.399482,-5.80006,-0.325567,-1.96736,0.0326348,3.3415,3.0682,0.255628,-5.93507,-1.44708,-1.24609,-0.481119,0.0340439,-0.300516,1.36358,1.85528,-0.0983983,-1.5073,-0.0533577,-0.301788,1.36576,-1.93215,-0.122756,-1.57135,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.12907e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235046,-0.70178,1.57883,-177.73,-232.87,1404.65,-160.004,-251.476,1454.22,-196.545,-267.448,1358.81,157.176,-225.349,1394.46,147.305,-234.345,1431.1,172.781,-252.34,1349.58,-310.117,-352.734,606.363,-294.831,-294.933,615.765,-236.813,-313.899,644.384,-309.726,-296.19,654.751,157.244,-341.596,642.629,191.471,-299.438,623.1,235.354,-350.127,594.228,254.712,-351.71,625.205,-806.989,-708.877,1253.85,-761.707,-708.01,1265.46,-786.919,-710.422,1298.5,-767.327,872.193,1244.83,-737.225,872.093,1272.51,-784.891,875.482,1289.8,-777.261,-351.969,1244.39,-761.265,-350.953,1287.48,-805.799,-349.117,1280.31,0.359945,-1.33296,1.70626,0
963580,-90.0028,90.0006,-14.999,44.9907,4.99916,4.9936,-175.001,90.0033,90.0064,14.9989,44.9904,5.00038,4.98786,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.25158,0.517936,-0.423624,-5.76403,-0.305646,-1.98878,0.0348185,3.34233,3.09209,0.311529,-5.96782,-1.42399,-1.27042,-0.489759,0.0339851,-0.300361,1.36356,1.85549,-0.0985242,-1.50833,-0.0533406,-0.301857,1.36576,-1.93262,-0.123421,-1.57077,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.14552e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235046,-0.70178,1.57883,-177.731,-232.874,1404.64,-159.959,-251.418,1454.26,-196.557,-267.446,1358.81,157.189,-225.348,1394.46,147.302,-234.336,1431.1,172.788,-252.416,1349.57,-310.113,-352.731,606.367,-294.842,-294.927,615.799,-236.786,-313.913,644.389,-309.728,-296.183,654.742,157.25,-341.602,642.637,191.48,-299.446,623.09,235.355,-350.115,594.22,254.7,-351.696,625.203,-806.989,-708.859,1253.85,-761.727,-707.978,1265.44,-786.929,-710.385,1298.51,-767.315,872.177,1244.84,-737.245,872.094,1272.5,-784.864,875.441,1289.8,-777.258,-351.959,1244.38,-761.266,-350.951,1287.48,-805.798,-349.107,1280.32,0.360008,-1.33313,1.70622,0
963581,-90.0028,90.0006,-14.999,44.9907,4.99916,4.99355,-175.001,90.0033,90.0064,14.9989,44.9904,5.00038,4.98748,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.28588,0.473888,-0.405103,-5.77784,-0.286743,-1.98521,0.0317724,3.33316,3.07547,0.269865,-5.98922,-1.44802,-1.24346,-0.504605,0.0340121,-0.300279,1.36367,1.85502,-0.0994768,-1.50737,-0.0533663,-0.301975,1.36581,-1.93246,-0.123661,-1.57137,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.16198e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235047,-0.70178,1.57883,-177.723,-232.875,1404.65,-159.969,-251.395,1454.27,-196.565,-267.433,1358.81,157.173,-225.338,1394.46,147.315,-234.342,1431.1,172.805,-252.627,1349.56,-310.119,-352.718,606.363,-294.8,-294.939,615.783,-236.817,-313.88,644.402,-309.716,-296.193,654.738,157.232,-341.591,642.653,191.467,-299.435,623.092,235.355,-350.124,594.228,254.692,-351.708,625.207,-807.04,-708.803,1253.8,-761.707,-708.027,1265.45,-786.914,-710.408,1298.51,-767.295,872.19,1244.82,-737.254,872.135,1272.55,-784.843,875.441,1289.81,-777.307,-351.907,1244.36,-761.28,-350.903,1287.46,-805.798,-349.112,1280.31,0.359944,-1.33308,1.70621,0
963582,-90.0028,90.0006,-14.999,44.9907,4.99916,4.99355,-175.001,90.0033,90.0064,14.9989,44.9904,5.00038,4.9871,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.26425,0.457309,-0.402925,-5.7627,-0.29372,-1.97336,0.041974,3.33136,3.0957,0.296574,-5.94637,-1.42489,-1.28087,-0.510645,0.0340835,-0.300552,1.36359,1.85543,-0.0987076,-1.50683,-0.0533808,-0.301847,1.36576,-1.93231,-0.122884,-1.57151,-0.766431,0.0812661,1.25812,0.0139559,0.9999,-0.00223621,6.16745e-310,6.16745e-310,0,5.02472e-310,2.17843e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235047,-0.70178,1.57883,-177.735,-232.878,1404.65,-160.013,-251.44,1454.2,-196.564,-267.447,1358.81,157.177,-225.344,1394.46,147.305,-234.336,1431.1,172.812,-252.388,1349.58,-310.11,-352.72,606.367,-294.793,-294.961,615.783,-236.817,-313.873,644.39,-309.719,-296.185,654.746,157.236,-341.584,642.636,191.48,-299.438,623.09,235.361,-350.122,594.24,254.712,-351.705,625.204,-807.022,-708.791,1253.8,-761.702,-708.009,1265.47,-786.927,-710.387,1298.49,-767.326,872.176,1244.84,-737.222,872.097,1272.54,-784.87,875.459,1289.81,-777.326,-351.892,1244.42,-761.28,-350.924,1287.47,-805.794,-349.112,1280.32,0.359938,-1.33308,1.7062,0
963583,-90.0028,90.0006,-14.999,44.9907,4.99916,4.99349,-175.001,90.0033,90.0064,14.9989,44.9903,5.00038,4.9866,5.0008,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-4.2821,0.465466,-0.421129,-5.77719,-0.300959,-1.97656,0.0273673,3.35827,3.05742,0.299203,-5.9205,-1.43908,-1.24616,-0.504121,0.0339701,-0.300204,1.36366,1.85508,-0.0994943,-1.50809,-0.0531221,-0.301369,1.3659,-1.93169,-0.123877,-1.56816,-0.766432,0.0812663,1.25812,0.0139566,0.9999,-0.00223634,6.16745e-310,6.16745e-310,0,5.02472e-310,2.19489e-318,6.16745e-310,0,0,0,0,0,0,0,0,0,0,0,0,0.0235047,-0.70178,1.57883,-177.736,-232.886,1404.65,-159.976,-251.414,1454.26,-196.369,-267.416,1358.95,157.183,-225.346,1394.46,147.316,-234.34,1431.1,172.796,-252.637,1349.56,-310.124,-352.729,606.364,-294.806,-294.959,615.772,-236.828,-313.866,644.4,-309.72,-296.183,654.744,157.243,-341.59,642.62,191.489,-299.451,623.096,235.352,-350.117,594.226,254.714,-351.692,625.186,-807.036,-708.81,1253.81,-761.695,-708.025,1265.49,-786.932,-710.397,1298.51,-767.294,872.185,1244.83,-737.224,872.112,1272.53,-784.873,875.474,1289.81,-777.234,-352.007,1244.41,-761.267,-350.911,1287.47,-805.803,-349.117,1280.31,0.35994,-1.33308,1.7062,0
