frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,dq_cur_left_0,dq_cur_left_1,dq_cur_left_2,dq_cur_left_3,dq_cur_left_4,dq_cur_left_5,dq_cur_left_6,dq_cur_right_0,dq_cur_right_1,dq_cur_right_2,dq_cur_right_3,dq_cur_right_4,dq_cur_right_5,dq_cur_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RHIP_x,human_RHIP_y,human_RHIP_z,human_LHIP_x,human_LHIP_y,human_LHIP_z,human_CLAV_x,human_CLAV_y,human_CLAV_z,human_STRN_x,human_STRN_y,human_STRN_z,human_HEAD_x,human_HEAD_y,human_HEAD_z,left_fplate_x,left_fplate_y,left_fplate_z,right_fplate_x,right_fplate_y,right_fplate_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,target_x,target_y,target_z,state_idx,sub_action_idx
3063750,-89.9883,89.9992,-14.9933,44.9889,5.00031,4.99132,-175.001,89.9834,90.0068,15.0026,44.9938,4.99959,4.99325,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.000608138,0,-0.000606307,0,0,0,0,0.00394398,-0.00212526,0.0018189,0.000303151,0,0.00060676,0,4.90532,-2.98686,1.86147,-7.30743,-0.297178,-2.71303,0.245517,-4.02728,5.03913,-1.95756,-5.1586,-0.939754,-1.30349,-0.620436,0.119756,-0.576865,1.56315,1.74959,0.250091,-2.03919,0.0421461,-0.539412,1.57709,-2.02638,0.214453,-2.06033,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.656854,-0.803594,1.19004,0.164872,-0.92223,0.861024,0,0,0,0,0,0,0,0,0,0,0,0,-0.253715,-0.963236,1.69592,-38.7107,-15.6418,-448.701,39.6143,5.77764,-394.896,-39.6829,-438.998,1647.9,-35.9083,-479.086,1686.91,-68.7268,-443.606,1595.02,260.829,-587.943,1601.3,245.412,-603.791,1633.61,263.246,-602.621,1548.07,-155,-216.308,868.718,-114.378,-179.249,895.145,-74.1989,-230.475,911.155,-131.556,-185.246,933.022,241.057,-428.881,857.284,293.242,-404.795,847.586,307.658,-457.544,798.419,322.099,-478.121,824.512,-774.756,-741.838,1296.57,-794.674,-739.893,1253.95,-752.777,-743.191,1252.74,-787.754,841.761,1292.63,0,0,0,-742.994,842.262,1275.26,-795.196,-383.249,1284.5,-771.874,-383.617,1242.96,-750.465,-382.452,1282.44,0.365117,-1.32934,1.70666,1,0
3063751,-89.9883,89.9992,-14.9933,44.9889,5.00031,4.99132,-175.001,89.9832,90.007,15.0026,44.9937,4.99959,4.99314,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.000911508,-0.000303151,-0.00060676,0,0,0,0,0.00106263,0,0.00136522,-0.00182028,0,-0.00106183,0,4.69665,-2.91883,1.79289,-7.2777,-0.305209,-2.68336,0.247257,-4.30551,5.0191,-2.04105,-5.19006,-0.937221,-1.28078,-0.607174,0.119376,-0.577042,1.5633,1.74947,0.250194,-2.03747,0.0417109,-0.53945,1.57703,-2.02678,0.217066,-2.06063,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.654114,-0.803683,1.18809,0.164762,-0.922255,0.860975,0,0,0,0,0,0,0,0,0,0,0,0,-0.253722,-0.963388,1.69582,-37.2007,-15.3598,-450.04,37.8158,7.31684,-393.53,-40.3,-439.459,1647.96,-36.6115,-479.583,1686.74,-69.3215,-444.059,1595.1,260.493,-587.832,1601.46,245.123,-603.687,1633.76,262.947,-602.475,1548.22,-155.736,-216.747,868.773,-114.992,-179.334,895.422,-75.228,-230.963,911.108,-132.348,-185.595,933.149,240.709,-428.211,857.64,293.019,-404.188,847.891,307.543,-456.868,798.655,322.031,-477.471,824.786,-774.75,-741.85,1296.55,-794.672,-739.886,1253.94,-752.749,-743.204,1252.72,-787.737,841.752,1292.63,0,0,0,-742.975,842.225,1275.25,-795.22,-383.244,1284.54,-771.921,-383.544,1243.03,-750.49,-382.404,1282.46,0.365143,-1.32937,1.70666,1,0
3063752,-89.9883,89.9992,-14.9933,44.9889,5.00031,4.99132,-175.001,89.9832,90.007,15.0026,44.9937,4.99959,4.99314,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.000911508,-0.000303151,-0.00060676,0,0,0,0,0.00106263,0,0.00136522,-0.00182028,0,-0.00106183,0,4.69665,-2.91883,1.79289,-7.2777,-0.305209,-2.68336,0.247257,-4.30551,5.0191,-2.04105,-5.19006,-0.937221,-1.28078,-0.607174,0.119376,-0.577042,1.5633,1.74947,0.250194,-2.03747,0.0417109,-0.53945,1.57703,-2.02678,0.217066,-2.06063,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.654114,-0.803683,1.18809,0.164762,-0.922255,0.860975,0,0,0,0,0,0,0,0,0,0,0,0,-0.253722,-0.963388,1.69582,-37.2007,-15.3598,-450.04,37.8158,7.31684,-393.53,-40.8842,-439.859,1648.01,-37.1599,-479.997,1686.81,-69.8943,-444.507,1595.12,260.19,-587.707,1601.6,244.835,-603.593,1633.89,262.658,-602.309,1548.37,-156.486,-217.191,868.842,-115.825,-179.685,895.483,-75.9679,-231.284,911.169,-133.148,-186.019,933.23,240.6,-427.828,857.76,292.75,-403.545,848.144,307.496,-456.27,798.867,321.756,-476.589,825.24,-774.744,-741.858,1296.54,-794.674,-739.886,1253.93,-752.773,-743.184,1252.75,-787.661,841.723,1292.63,0,0,0,-742.944,842.256,1275.25,-795.23,-383.241,1284.59,-771.914,-383.542,1243.08,-750.494,-382.467,1282.52,0.365143,-1.32937,1.70666,1,0
3063753,-89.9883,89.9992,-14.9933,44.9887,5.00031,4.99126,-175.001,89.9828,90.0072,15.0026,44.9934,4.99959,4.99303,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.000910139,-0.00030338,-0.00030338,-0.00182028,0,-0.000606766,0,-0.00455414,0.00182302,0.00060676,-0.0047095,0,-0.00212368,0,4.44543,-2.86595,1.68828,-7.18411,-0.309246,-2.67852,0.245822,-4.97648,4.97998,-2.20091,-5.19982,-0.968782,-1.31399,-0.625652,0.119068,-0.577003,1.56345,1.74918,0.250849,-2.0367,0.0412766,-0.539762,1.57712,-2.0264,0.217219,-2.05925,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.651306,-0.803732,1.1861,0.164652,-0.922279,0.860924,0,0,0,0,0,0,0,0,0,0,0,0,-0.253727,-0.963544,1.69572,-38.4157,-15.5332,-450.674,40.3709,6.93801,-392.548,-41.458,-440.24,1648.06,-37.566,-480.275,1687.05,-70.4983,-444.912,1595.15,259.86,-587.556,1601.76,244.527,-603.474,1634.01,262.403,-602.123,1548.48,-157.243,-217.669,868.866,-116.869,-180.375,895.407,-76.6156,-231.662,911.26,-134.031,-186.52,933.275,240.226,-427.047,858.031,292.472,-402.894,848.399,307.361,-455.606,799.12,321.653,-475.947,825.46,-774.729,-741.844,1296.53,-794.65,-739.876,1253.92,-752.779,-743.126,1252.73,-787.745,841.789,1292.64,0,0,0,-742.957,842.273,1275.28,-795.149,-383.255,1284.55,-771.931,-383.53,1243.15,-750.486,-382.445,1282.56,0.365019,-1.32956,1.70668,1,0
3063754,-89.9884,89.9992,-14.9933,44.9887,5.00031,4.99121,-175.001,89.9826,90.0072,15.0025,44.9933,4.99959,4.99286,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.0015169,-0.00030338,-0.00030338,-0.00242704,0,-0.00106104,0,-0.00759597,0.00243071,-0.000303154,-0.00500955,0,-0.00379225,0,4.03214,-2.62059,1.50852,-7.03086,-0.308776,-2.62634,0.243985,-5.38373,4.92543,-2.33311,-5.2245,-0.978703,-1.36216,-0.631014,0.118243,-0.577942,1.56331,1.75064,0.253132,-2.02956,0.0403653,-0.540531,1.57729,-2.02577,0.215836,-2.0546,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.645497,-0.803715,1.18202,0.164436,-0.922329,0.860818,0,0,0,0,0,0,0,0,0,0,0,0,-0.253736,-0.963873,1.69551,-37.6653,-15.1014,-452.573,37.8331,5.17712,-392.647,-42.0955,-440.62,1648.11,-38.1196,-480.629,1687.06,-71.0522,-445.332,1595.18,259.519,-587.398,1601.87,244.235,-603.354,1634.13,262.272,-601.839,1548.48,-158.035,-218.213,868.887,-117.567,-180.501,895.593,-77.4787,-232.045,911.229,-134.825,-187.002,933.294,240.096,-426.783,858.199,292.169,-402.287,848.663,307.478,-455.115,799.122,321.528,-475.255,825.752,-774.702,-741.837,1296.52,-794.628,-739.852,1253.91,-752.757,-743.121,1252.72,-787.663,841.796,1292.63,0,0,0,-742.904,842.271,1275.29,-795.134,-383.259,1284.59,-771.836,-383.568,1243.16,-750.448,-382.404,1282.57,0.365072,-1.32935,1.7066,1,0
3063755,-89.9884,89.9992,-14.9933,44.9887,5.00031,4.99115,-175.001,89.9824,90.0072,15.0025,44.9933,4.99959,4.99243,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.0015169,0,-0.00030338,-0.00242521,0,-0.00166733,0,-0.0101709,0.00243071,-0.00106103,-0.00546502,0,-0.00820986,0,3.86772,-2.43811,1.53174,-6.99374,-0.324791,-2.61747,0.232155,-5.76403,4.87725,-2.49931,-5.3232,-0.951786,-1.35739,-0.604947,0.117897,-0.578144,1.56332,1.75119,0.253543,-2.02693,0.0401473,-0.540246,1.57719,-2.02595,0.219206,-2.05324,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.642501,-0.803657,1.17994,0.16433,-0.922354,0.860762,0,0,0,0,0,0,0,0,0,0,0,0,-0.253738,-0.964047,1.6954,-38.5673,-15.862,-452.277,39.4729,5.83063,-392.664,-42.7163,-440.979,1648.12,-38.812,-481.145,1686.84,-71.632,-445.735,1595.19,259.192,-587.209,1601.99,243.931,-603.198,1634.24,262.023,-601.632,1548.57,-158.779,-218.751,868.902,-118.599,-181.321,895.413,-78.236,-232.39,911.268,-135.721,-187.478,933.288,239.702,-426.095,858.528,291.832,-401.643,848.915,307.259,-454.534,799.343,321.409,-474.551,825.983,-774.678,-741.817,1296.53,-794.589,-739.834,1253.92,-752.713,-743.129,1252.71,-787.614,841.8,1292.62,0,0,0,-742.844,842.274,1275.29,-795.104,-383.22,1284.56,-771.846,-383.492,1243.1,-750.328,-382.061,1282.48,0.364986,-1.32954,1.70669,1,0
3063756,-89.9884,89.9993,-14.9933,44.9887,5.00031,4.9911,-175.001,89.982,90.0072,15.0024,44.9932,4.99959,4.99188,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.00182028,0.00060676,-0.00030338,-0.00242704,0,-0.00212206,0,-0.0213085,0.00243071,-0.00242521,-0.0065276,0,-0.0135208,0,3.81195,-2.21946,1.53216,-6.92769,-0.32278,-2.63262,0.248007,-6.15148,4.77306,-2.6007,-5.41876,-0.981754,-1.36978,-0.61663,0.117602,-0.578012,1.56335,1.75161,0.253959,-2.02652,0.0397124,-0.54048,1.57723,-2.02591,0.219156,-2.05264,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.639451,-0.803564,1.17783,0.164227,-0.92238,0.860705,0,0,0,0,0,0,0,0,0,0,0,0,-0.253739,-0.964226,1.69529,-38.5843,-15.2304,-451.526,39.3315,6.13129,-392.527,-43.2389,-441.313,1648.13,-39.3246,-481.485,1686.84,-72.1913,-446.149,1595.17,258.885,-587.028,1602.1,243.608,-603.031,1634.34,261.754,-601.433,1548.68,-159.584,-219.289,868.857,-119.237,-181.525,895.527,-78.9784,-232.777,911.299,-136.56,-187.959,933.28,239.595,-425.774,858.596,291.527,-401.079,849.108,306.563,-453.562,799.673,321.261,-473.977,826.177,-774.642,-741.793,1296.53,-794.597,-739.835,1253.94,-752.71,-743.133,1252.72,-787.599,841.779,1292.64,0,0,0,-742.889,842.305,1275.29,-795.114,-383.195,1284.58,-771.797,-383.527,1243.06,-750.322,-382.078,1282.43,0.365129,-1.32936,1.70667,1,0
3063757,-89.9884,89.9993,-14.9933,44.9887,5.00031,4.9911,-175.001,89.982,90.0072,15.0024,44.9932,4.99959,4.99188,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.00182028,0.00060676,-0.00030338,-0.00242704,0,-0.00212206,0,-0.0213085,0.00243071,-0.00242521,-0.0065276,0,-0.0135208,0,3.81195,-2.21946,1.53216,-6.92769,-0.32278,-2.63262,0.248007,-6.15148,4.77306,-2.6007,-5.41876,-0.981754,-1.36978,-0.61663,0.117602,-0.578012,1.56335,1.75161,0.253959,-2.02652,0.0397124,-0.54048,1.57723,-2.02591,0.219156,-2.05264,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.639451,-0.803564,1.17783,0.164227,-0.92238,0.860705,0,0,0,0,0,0,0,0,0,0,0,0,-0.253739,-0.964226,1.69529,-38.5843,-15.2304,-451.526,39.3315,6.13129,-392.527,-43.8252,-441.662,1648.13,-40.0034,-481.836,1686.68,-72.7296,-446.495,1595.18,258.595,-586.792,1602.19,243.326,-602.864,1634.44,261.523,-601.203,1548.76,-160.317,-219.788,868.842,-120.096,-181.927,895.54,-79.7327,-233.143,911.293,-137.363,-188.418,933.239,239.348,-425.365,858.726,291.234,-400.551,849.323,306.418,-452.775,799.944,321.163,-473.38,826.355,-774.664,-741.805,1296.57,-794.581,-739.844,1253.93,-752.694,-743.145,1252.75,-787.63,841.811,1292.64,0,0,0,-742.828,842.279,1275.28,-795.108,-383.198,1284.54,-771.775,-383.536,1242.99,-750.359,-382.222,1282.39,0.365129,-1.32936,1.70667,1,0
3063758,-89.9884,89.9993,-14.9933,44.9887,5.00031,4.9911,-175.001,89.9816,90.0071,15.0024,44.9931,4.99959,4.99145,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.00182028,0.000911526,0,-0.00242521,0,-0.00212368,0,-0.0327893,0.00151919,-0.0031879,-0.00729213,0,-0.0179263,0,3.79379,-2.00489,1.53572,-6.80426,-0.328398,-2.60256,0.245702,-6.47322,4.65086,-2.68647,-5.50648,-0.96893,-1.38323,-0.623767,0.117318,-0.578126,1.56337,1.75206,0.254299,-2.02379,0.0392683,-0.540552,1.57722,-2.02563,0.221093,-2.05302,-0.762029,0.0497736,1.26311,0.00447729,0.999969,0.00643018,-0.636349,-0.803445,1.17569,0.164126,-0.922406,0.860646,0,0,0,0,0,0,0,0,0,0,0,0,-0.253739,-0.964412,1.69518,-38.2449,-14.6713,-453.782,39.2862,7.32537,-395.814,-44.4151,-442.017,1648.16,-40.2875,-482.004,1687.02,-73.2646,-446.883,1595.16,258.352,-586.56,1602.31,243.074,-602.675,1634.54,261.273,-600.937,1548.89,-161.03,-220.266,868.807,-121.069,-182.616,895.375,-80.42,-233.478,911.269,-138.181,-188.873,933.191,238.873,-424.732,859.053,290.934,-400.027,849.508,306.468,-452.154,799.897,320.669,-472.821,826.506,-774.666,-741.816,1296.58,-794.597,-739.839,1253.95,-752.775,-743.054,1252.74,-787.627,841.819,1292.65,0,0,0,-742.827,842.306,1275.28,-795.084,-383.204,1284.5,-771.772,-383.582,1242.92,-750.366,-382.25,1282.37,0.365119,-1.32937,1.70668,1,0
3063759,-89.9884,89.9993,-14.9933,44.9887,5.00031,4.99099,-175.001,89.9809,90.0071,15.0024,44.9929,4.99964,4.99085,4.99839,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,-0.0015169,0.00151919,0,-0.00242521,0,-0.00319031,0,-0.0318809,0.00272836,-0.00288647,-0.00941188,0.000607672,-0.0404219,0,3.91261,-1.84151,1.53983,-6.76745,-0.312466,-2.58632,0.216873,-6.87807,4.56617,-2.6824,-5.67464,-0.974284,-1.44591,-0.639198,0.116828,-0.577903,1.56365,1.75151,0.254804,-2.02151,0.0383332,-0.541183,1.57755,-2.02333,0.220166,-2.05151,-0.762013,0.0497602,1.2631,0.00443224,0.99997,0.00639,-0.630018,-0.803138,1.17135,0.163932,-0.922458,0.860522,0,0,0,0,0,0,0,0,0,0,0,0,-0.25373,-0.964801,1.69493,-38.1033,-15.4123,-452.866,39.8642,6.61796,-400.279,-44.9859,-442.274,1648.15,-41.1691,-482.261,1686.71,-73.8091,-447.254,1595.16,258.106,-586.315,1602.41,242.871,-602.469,1634.66,261.043,-600.697,1548.99,-161.725,-220.662,868.776,-121.649,-182.627,895.538,-81.0279,-233.78,911.289,-138.901,-189.273,933.224,238.863,-424.623,859.017,290.658,-399.578,849.668,306.481,-452.223,800.083,320.501,-472.293,826.688,-774.68,-741.818,1296.57,-794.621,-739.85,1253.96,-752.72,-743.126,1252.73,-787.583,841.794,1292.64,0,0,0,-742.816,842.264,1275.29,-795.117,-383.201,1284.49,-771.804,-383.54,1242.95,-750.382,-382.306,1282.38,0.365138,-1.32941,1.70665,1,0
